# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000 -1491.496521117 -1553.172220610  4.555740404
    0.021038076    4.960348464    4.824834635    4.597287660
    0.041076152    7.461058635    7.428388207    4.597505114
    0.061114228    7.950875986    7.938255025    4.597762436
    0.081152305    8.128211714    8.122741050    4.598106819
    0.101190381    8.213937547    8.211809241    4.598544523
    0.121228457    8.263714613    8.263413223    4.599077266
    0.141266533    8.296824994    8.297630353    4.599705796
    0.161304609    8.321372163    8.322899065    4.600430593
    0.181342685    8.341241443    8.343265695    4.601252060
    0.201380762    8.358485822    8.360868456    4.602170592
    0.221418838    8.374276102    8.376926704    4.603186605
    0.241456914    8.389323631    8.392181108    4.604300543
    0.261494990    8.404085154    8.407106972    4.605512892
    0.281533066    8.418869051    8.422024897    4.606824182
    0.301571142    8.433893585    8.437161470    4.608234991
    0.321609218    8.449320387    8.452684152    4.609745947
    0.341647295    8.465274474    8.468722157    4.611357731
    0.361685371    8.481856666    8.485379392    4.613071082
    0.381723447    8.499151501    8.502742712    4.614886796
    0.401761523    8.517232386    8.520887300    4.616805734
    0.421799599    8.536164973    8.539880177    4.618828819
    0.441837675    8.556009282    8.559782429    4.620957042
    0.461875752    8.576820872    8.580650432    4.623191465
    0.481913828    8.598651131    8.602536172    4.625533217
    0.501951904    8.621546652    8.625486611    4.627983495
    0.521989980    8.645547478    8.649541912    4.630543562
    0.542028056    8.670683930    8.674732192    4.633214734
    0.562066132    8.696971649    8.701072448    4.635998368
    0.582104208    8.724404629    8.728555426    4.638895838
    0.602142285    8.752946721    8.757142904    4.641908503
    0.622180361    8.782523685    8.786757491    4.645037679
    0.642218437    8.813020882    8.817280129    4.648284622
    0.662256513    8.844294997    8.848561819    4.651650558
    0.682294589    8.876207675    8.880457631    4.655136798
    0.702332665    8.908678099    8.912880053    4.658744932
    0.722370741    8.941731127    8.945848021    4.662477027
    0.742408818    8.975506535    8.979496680    4.666335677
    0.762446894    9.010213328    9.014031544    4.670323794
    0.782484970    9.046046768    9.049645040    4.674444158
    0.802523046    9.083100188    9.086428288    4.678698837
    0.822561122    9.121293051    9.124300414    4.683088546
    0.842599198    9.160315862    9.162956311    4.687611954
    0.862637275    9.199577691    9.201818740    4.692264898
    0.882675351    9.238152979    9.239991201    4.697039492
    0.902713427    9.274748574    9.276229388    4.701923240
    0.922751503    9.307722716    9.308955252    4.706898372
    0.942789579    9.335198318    9.336349153    4.711941709
    0.962827655    9.355326557    9.356580686    4.717025449
    0.982865731    9.366729846    9.368227593    4.722119580
    1.002903808    9.369051882    9.370834110    4.727196739
    1.022941884    9.363382338    9.365380311    4.732239073
    1.042979960    9.352233723    9.354315593    4.737244101
    1.063018036    9.338927630    9.340979221    4.742225633
    1.083056112    9.326644335    9.328643295    4.747208840
    1.103094188    9.317640282    9.319690264    4.752222364
    1.123132265    9.313001880    9.315317730    4.757291159
    1.143170341    9.312918387    9.315774624    4.762432147
    1.163208417    9.317169102    9.320831787    4.767653214
    1.183246493    9.325531930    9.330192622    4.772954491
    1.203284569    9.338016133    9.343743812    4.778330313
    1.223322645    9.354979948    9.361705522    4.783771636
    1.243360721    9.377188544    9.384730855    4.789269819
    1.263398798    9.405736843    9.413860324    4.794821667
    1.283436874    9.441732456    9.450203953    4.800434487
    1.303474950    9.485845203    9.494457300    4.806130014
    1.323513026    9.538026816    9.546582846    4.811945539
    1.343551102    9.597581875    9.605865776    4.817929297
    1.363589178    9.663472983    9.671231835    4.824128878
    1.383627255    9.734629079    9.741582840    4.830576391
    1.403665331    9.810138989    9.816016290    4.837277221
    1.423703407    9.889338182    9.893926133    4.844207468
    1.443741483    9.971824332    9.975014770    4.851320173
    1.463779559   10.057419870   10.059234550    4.858556289
    1.483817635   10.146101566   10.146685343    4.865856671
    1.503855711   10.237931234   10.237513991    4.873175047
    1.523893788   10.333008344   10.331848730    4.880492560
    1.543931864   10.431419953   10.429752539    4.887827978
    1.563969940   10.533131226   10.531136568    4.895232392
    1.584008016   10.637782082   10.635582091    4.902766101
    1.604046092   10.744407542   10.742070832    4.910472363
    1.624084168   10.851131886   10.848674742    4.918366049
    1.644122244   10.954905740   10.952290261    4.926440954
    1.664160321   11.051396196   11.048538405    4.934685027
    1.684198397   11.135196296   11.131994004    4.943090258
    1.704236473   11.200539045   11.196916673    4.951651861
    1.724274549   11.242580981   11.238535406    4.960362636
    1.744312625   11.258954248   11.254582382    4.969212339
    1.764350701   11.250845981   11.246347001    4.978195624
    1.784388778   11.222855141   11.218518379    4.987325574
    1.804426854   11.181518073   11.177711217    4.996647749
    1.824464930   11.133316819   11.130471097    5.006245523
    1.844503006   11.083457985   11.082028929    5.016223950
    1.864541082   11.035883476   11.036275104    5.026670098
    1.884579158   10.993474692   10.995946486    5.037609745
    1.904617234   10.957477927   10.962074219    5.048989694
    1.924655311   10.926879168   10.933411903    5.060699453
    1.944693387   10.899155969   10.907247790    5.072620076
    1.964731463   10.872383568   10.881556429    5.084671131
    1.984769539   10.846941593   10.856725726    5.096829398
    2.004807615   10.825345116   10.835381261    5.109114481
    2.024845691   10.810620674   10.820727018    5.121560294
    2.044883768   10.804772783   10.814953547    5.134195025
    2.064921844   10.808326946   10.818724135    5.147035953
    2.084959920   10.820879322   10.831700318    5.160092259
    2.104997996   10.842110330   10.853574765    5.173370614
    2.125036072   10.872650427   10.884983550    5.186883721
    2.145074148   10.914154024   10.927627664    5.200660005
    2.165112224   10.968338020   10.983335414    5.214747428
    2.185150301   11.035617837   11.052676058    5.229206633
    2.205188377   11.114453660   11.134233869    5.244098448
    2.225226453   11.202029823   11.225199283    5.259476340
    2.245264529   11.295777748   11.322838913    5.275388224
    2.265302605   11.394504413   11.425636170    5.291880829
    2.285340681   11.498361018   11.533333174    5.308997210
    2.305378758   11.608023113   11.646222922    5.326767686
    2.325416834   11.723806618   11.764383661    5.345203059
    2.345454910   11.844986096   11.887066718    5.364295007
    2.365492986   11.969420291   12.012290542    5.384020366
    2.385531062   12.093694896   12.136867279    5.404345994
    2.405569138   12.213653179   12.256809832    5.425233681
    2.425607214   12.324724042   12.367591914    5.446641054
    2.445645291   12.421626002   12.463853596    5.468512868
    2.465683367   12.497687898   12.538773144    5.490766441
    2.485721443   12.544455164   12.583741544    5.513285434
    2.505759519   12.552133947   12.588861590    5.535935217
    2.525797595   12.510955434   12.544334736    5.558602978
    2.545835671   12.413057769   12.442333857    5.581253389
    2.565873747   12.254292243   12.278793269    5.603976507
    2.585911824   12.035416259   12.054591394    5.626993719
    2.605949900   11.762131358   11.775550398    5.650600408
    2.625987976   11.443483830   11.450758040    5.675068947
    2.646026052   11.088851495   11.089513411    5.700571186
    2.666064128   10.704876745   10.698338180    5.727160566
    2.686102204   10.293881652   10.279546419    5.754804877
    2.706140281    9.854025541    9.831488265    5.783436147
    2.726178357    9.380250405    9.349429487    5.812993357
    2.746216433    8.865377936    8.826509815    5.843450324
    2.766254509    8.301861667    8.255419170    5.874827095
    2.786292585    7.684809427    7.631432374    5.907182774
    2.806330661    7.015683855    6.956120238    5.940593461
    2.826368737    6.304911080    6.239936280    5.975125917
    2.846406814    5.571729288    5.502102183    6.010811295
    2.866444890    4.841097363    4.767644809    6.047612473
    2.886482966    4.139178986    4.062996589    6.085383275
    2.906521042    3.489365995    3.412006400    6.123832520
    2.926559118    2.909836857    2.833321223    6.162509816
    2.946597194    2.412540667    2.339114096    6.200821968
    2.966635271    2.003130385    1.934847632    6.238078580
    2.986673347    1.681416597    1.619762080    6.273556804
    3.006711423    1.442157950    1.387874255    6.306570436
    3.026749499    1.276329622    1.229476461    6.336531677
    3.046787575    1.172919199    1.133059625    6.363003948
    3.066825651    1.120867299    1.087276626    6.385752664
    3.086863727    1.110598723    1.082457153    6.404794663
    3.106901804    1.134773381    1.111336362    6.420428284
    3.126939880    1.188109813    1.168822507    6.433221559
    3.146977956    1.266371853    1.250875571    6.443956374
    3.167016032    1.365023612    1.353059469    6.453532177
    3.187054108    1.478342112    1.469634460    6.462815038
    3.207092184    1.599499813    1.593700475    6.472451223
    3.227130261    1.721538103    1.718240048    6.482739738
    3.247168337    1.838739987    1.837512510    6.493644890
    3.267206413    1.947794010    1.948197170    6.504920740
    3.287244489    2.048246160    2.049829435    6.516244094
    3.307282565    2.141982945    2.144303459    6.527273643
    3.327320641    2.231838867    2.234511708    6.537629532
    3.347358717    2.319837534    2.322593856    6.546851458
    3.367396794    2.405828113    2.408558260    6.554404693
    3.387434870    2.487098393    2.489880680    6.559755744
    3.407472946    2.559046417    2.562166841    6.562464553
    3.427511022    2.616623048    2.620569482    6.562227815
    3.447549098    2.656119913    2.661507626    6.558880846
    3.467587174    2.676621978    2.684024781    6.552407158
    3.487625251    2.680226844    2.689972398    6.542962817
    3.507663327    2.670712647    2.682768448    6.530873720
    3.527701403    2.651589441    2.665620447    6.516568298
    3.547739479    2.624987147    2.640541564    6.500462201
    3.567777555    2.591890929    2.608581236    6.482856116
    3.587815631    2.552946575    2.570510317    6.463887106
    3.607853707    2.508834539    2.527073806    6.443532411
    3.627891784    2.460058208    2.478765220    6.421678791
    3.647929860    2.406747462    2.425715266    6.398285257
    3.667967936    2.348907966    2.368026131    6.373585933
    3.688006012    2.286901265    2.306254784    6.348191852
    3.708044088    2.221740178    2.241612923    6.323011214
    3.728082164    2.155073235    2.175817996    6.299073538
    3.748120240    2.088963411    2.110812388    6.277411759
    3.768158317    2.025596211    2.048543604    6.259025405
    3.788196393    1.967034395    1.990860189    6.244806686
    3.808234469    1.915061825    1.939454325    6.235398180
    3.828272545    1.871042619    1.895730767    6.231120739
    3.848310621    1.835752663    1.860593690    6.232065579
    3.868348697    1.809281345    1.834296640    6.238261935
    3.888386774    1.791079044    1.816448916    6.249782425
    3.908424850    1.780082562    1.806108943    6.266748176
    3.928462926    1.774838700    1.801885128    6.289274940
    3.948501002    1.773602764    1.802032463    6.317402543
    3.968539078    1.774385422    1.804522052    6.351041693
    3.988577154    1.774978936    1.807081701    6.389969551
    4.008615230    1.773061494    1.807272374    6.433871736
    4.028653307    1.766380343    1.802631079    6.482392253
    4.048691383    1.752950771    1.790880930    6.535161235
    4.068729459    1.731311436    1.770265828    6.591808703
    4.088767535    1.700870590    1.740003346    6.651988381
    4.108805611    1.662221256    1.700671297    6.715411112
    4.128843687    1.617196146    1.654255794    6.781865528
    4.148881764    1.568427435    1.603636792    6.851207590
    4.168919840    1.518412899    1.551560477    6.923313170
    4.188957916    1.468566763    1.499617313    6.998013178
    4.208995992    1.418929139    1.447919177    7.075052070
    4.229034068    1.368744707    1.395687871    7.154086525
    4.249072144    1.317395808    1.342222077    7.234702757
    4.269110220    1.264908093    1.287433917    7.316429165
    4.289148297    1.211705635    1.231624850    7.398741521
    4.309186373    1.158004946    1.174910346    7.481069157
    4.329224449    1.103486346    1.116945024    7.562799452
    4.349262525    1.047527373    1.057210182    7.643263691
    4.369300601    0.989795783    0.995617035    7.721703784
    4.389338677    0.930761499    0.932961020    7.797236973
    4.409376754    0.871766673    0.870890829    7.868816353
    4.429414830    0.814634206    0.811430126    7.935196295
    4.449452906    0.761100689    0.756380940    7.994991927
    4.469490982    0.712348566    0.706880968    8.046926120
    4.489529058    0.668770178    0.663211288    8.090182507
    4.509567134    0.630027566    0.624884841    8.124610764
    4.529605210    0.595357989    0.590963614    8.150606913
    4.549643287    0.563922103    0.560427811    8.168764982
    4.569681363    0.535000977    0.532419457    8.179574760
    4.589719439    0.508032395    0.506325169    8.183364713
    4.609757515    0.482616527    0.481781545    8.180479540
    4.629795591    0.458550814    0.458650081    8.171523242
    4.649833667    0.435806946    0.436919308    8.157468047
    4.669871743    0.414385010    0.416533334    8.139535189
    4.689909820    0.394145117    0.397262110    8.118928986
    4.709947896    0.374778489    0.378726732    8.096606582
    4.729985972    0.355949931    0.360561217    8.073214353
    4.750024048    0.337505136    0.342601859    8.049179714
    4.770062124    0.319618171    0.325015517    8.024853660
    4.790100200    0.302775231    0.308294377    8.000611043
    4.810138277    0.287553587    0.293062947    7.976840235
    4.830176353    0.274315823    0.279770686    7.953785849
    4.850214429    0.263024574    0.268456647    7.931323211
    4.870252505    0.253249698    0.258699914    7.908809147
    4.890290581    0.244263739    0.249712746    7.885019918
    4.910328657    0.235120256    0.240481517    7.858063378
    4.930366733    0.224744300    0.229924497    7.825290302
    4.950404810    0.212122939    0.217085215    7.783419669
    4.970442886    0.196545145    0.201312119    7.729019646
    4.990480962    0.177667610    0.182268230    7.659258768
    5.010519038    0.155269813    0.159685000    7.572697095
    5.030557114    0.128889322    0.133034065    7.469844722
    5.050595190    0.097697491    0.101430076    7.353244126
    5.070633267    0.060757302    0.063891521    7.226949925
    5.090671343    0.017465955    0.019781687    7.095487318
