# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000 *************** -2342.472033257  4.576900670
    0.021038076  -66.556063364    4.726841928    4.671669439
    0.041076152   -7.188417235    8.014583121    4.671707706
    0.061114228    3.623695393    8.472895233    4.671721800
    0.081152305    7.100313674    8.574559336    4.671849651
    0.101190381    8.493695501    8.601543757    4.672121770
    0.121228457    9.078139194    8.611654033    4.672545290
    0.141266533    9.265496481    8.619846103    4.673118521
    0.161304609    9.214335834    8.630235563    4.673837000
    0.181342685    9.001638769    8.643643091    4.674695451
    0.201380762    8.683563209    8.659764926    4.675688295
    0.221418838    8.315158042    8.677990067    4.676810166
    0.241456914    7.949784947    8.697783123    4.678056502
    0.261494990    7.631156234    8.718829127    4.679423886
    0.281533066    7.386912596    8.741013121    4.680910065
    0.301571142    7.227045670    8.764317532    4.682513765
    0.321609218    7.146860260    8.788727190    4.684234463
    0.341647295    7.132663418    8.814193197    4.686072205
    0.361685371    7.167684616    8.840647579    4.688027465
    0.381723447    7.236270406    8.868032719    4.690101060
    0.401761523    7.325852390    8.896320859    4.692294081
    0.421799599    7.427279421    8.925519200    4.694607849
    0.441837675    7.534339381    8.955665912    4.697043883
    0.461875752    7.643051022    8.986822907    4.699603881
    0.481913828    7.751007927    9.019068677    4.702289708
    0.501951904    7.856865045    9.052492381    4.705103390
    0.521989980    7.959969134    9.087189268    4.708047110
    0.542028056    8.060104718    9.123257043    4.711123206
    0.562066132    8.157323610    9.160792607    4.714334164
    0.582104208    8.251831254    9.199888297    4.717682608
    0.602142285    8.343909648    9.240626392    4.721171274
    0.622180361    8.433862212    9.283070589    4.724802973
    0.642218437    8.521970386    9.327253656    4.728580523
    0.662256513    8.608455192    9.373161575    4.732506650
    0.682294589    8.693440133    9.420716010    4.736583840
    0.702332665    8.776915049    9.469758767    4.740814133
    0.722370741    8.858703475    9.520042550    4.745198841
    0.742408818    8.938435634    9.571228177    4.749738145
    0.762446894    9.015521875    9.622876795    4.754430526
    0.782484970    9.089111799    9.674413634    4.759271988
    0.802523046    9.158033148    9.725046639    4.764255115
    0.822561122    9.220751796    9.773663545    4.769368253
    0.842599198    9.275457037    9.818787236    4.774595303
    0.862637275    9.320380047    9.858690415    4.779916652
    0.882675351    9.354330028    9.891707030    4.785311206
    0.902713427    9.377220278    9.916630712    4.790758615
    0.922751503    9.390251493    9.932960743    4.796240382
    0.942789579    9.395593499    9.940811814    4.801739498
    0.962827655    9.395724161    9.940572621    4.807239619
    0.982865731    9.392766578    9.932643305    4.812725361
    1.002903808    9.388137360    9.917527908    4.818184581
    1.022941884    9.382632197    9.896195884    4.823611578
    1.042979960    9.376810363    9.870294546    4.829008310
    1.063018036    9.371368321    9.841898525    4.834381528
    1.083056112    9.367253695    9.812959678    4.839736782
    1.103094188    9.365495332    9.784910391    4.845072724
    1.123132265    9.366901938    9.758667321    4.850379635
    1.143170341    9.371798836    9.734890798    4.855644366
    1.163208417    9.379902543    9.714197084    4.860859975
    1.183246493    9.390379908    9.697169058    4.866034327
    1.203284569    9.402106305    9.684245786    4.871192445
    1.223322645    9.414075461    9.675673094    4.876372863
    1.243360721    9.425829125    9.671618279    4.881621790
    1.263398798    9.437742962    9.672384648    4.886986503
    1.283436874    9.451066985    9.678540888    4.892506536
    1.303474950    9.467720094    9.690816501    4.898203850
    1.323513026    9.489908079    9.709821187    4.904078309
    1.343551102    9.519674256    9.735846029    4.910114011
    1.363589178    9.558517341    9.768940313    4.916294167
    1.383627255    9.607192128    9.809159746    4.922615857
    1.403665331    9.665722417    9.856708651    4.929096463
    1.423703407    9.733545452    9.911839827    4.935768315
    1.443741483    9.809677318    9.974613223    4.942663977
    1.463779559    9.892866630   10.044706862    4.949799649
    1.483817635    9.981760310   10.121408584    4.957164340
    1.503855711   10.075065269   10.203785284    4.964716813
    1.523893788   10.171653799   10.290924040    4.972387818
    1.543931864   10.270599223   10.382119480    4.980087273
    1.563969940   10.371183880   10.476924492    4.987718760
    1.584008016   10.472916398   10.575044052    4.995199721
    1.604046092   10.575509465   10.676108568    5.002478453
    1.624084168   10.678699227   10.779407045    5.009538623
    1.644122244   10.781874190   10.883672920    5.016393280
    1.664160321   10.883670433   10.986970683    5.023083240
    1.684198397   10.981741794   11.086654478    5.029690116
    1.704236473   11.072766744   11.179336723    5.036351408
    1.724274549   11.152629991   11.260877847    5.043251716
    1.744312625   11.216795881   11.326578156    5.050580502
    1.764350701   11.261039640   11.371851830    5.058476316
    1.784388778   11.282570979   11.393413678    5.066990403
    1.804426854   11.281111692   11.390451753    5.076090410
    1.824464930   11.259215929   11.364990213    5.085699448
    1.844503006   11.221541057   11.321150502    5.095743548
    1.864541082   11.173558031   11.263910730    5.106175937
    1.884579158   11.120494681   11.198300556    5.116965505
    1.904617234   11.066728578   11.129243561    5.128067619
    1.924655311   11.015215890   11.061376286    5.139410831
    1.944693387   10.967001306   10.998517410    5.150917024
    1.964731463   10.921630442   10.943380628    5.162540714
    1.984769539   10.878688641   10.897911141    5.174294857
    2.004807615   10.839230728   10.863639726    5.186242132
    2.024845691   10.805732359   10.841423527    5.198461064
    2.044883768   10.780735221   10.830916536    5.211014395
    2.064921844   10.765557224   10.830490739    5.223937152
    2.084959920   10.760089741   10.837768082    5.237241093
    2.104997996   10.763595970   10.850497546    5.250922940
    2.125036072   10.775704807   10.867452802    5.264969808
    2.145074148   10.796835520   10.888893605    5.279363813
    2.165112224   10.827818197   10.916195736    5.294088139
    2.185150301   10.869118014   10.950863024    5.309132918
    2.205188377   10.920368118   10.993717371    5.324500386
    2.225226453   10.980521516   11.044819503    5.340210951
    2.245264529   11.048239948   11.103830445    5.356308113
    2.265302605   11.121982881   11.170137277    5.372856181
    2.285340681   11.199802901   11.242551789    5.389929040
    2.305378758   11.279276274   11.318963514    5.407596739
    2.325416834   11.357777780   11.396322213    5.425917751
    2.345454910   11.432936803   11.471015002    5.444935953
    2.365492986   11.502984724   11.539453215    5.464675030
    2.385531062   11.566727299   11.598569095    5.485128572
    2.405569138   11.623048890   11.646001288    5.506254016
    2.425607214   11.670154613   11.679909354    5.527979189
    2.445645291   11.704952903   11.698480257    5.550222852
    2.465683367   11.722868429   11.699341338    5.572923644
    2.485721443   11.718063228   11.679181784    5.596065669
    2.505759519   11.683911818   11.633732568    5.619684652
    2.525797595   11.613695576   11.558042701    5.643846318
    2.545835671   11.501525425   11.447009973    5.668609115
    2.565873747   11.343324870   11.296200357    5.693994754
    2.585911824   11.137525972   11.102783237    5.719979956
    2.605949900   10.885159639   10.866157427    5.746507429
    2.625987976   10.589239863   10.587982354    5.773508041
    2.646026052   10.253660290   10.271692152    5.800926069
    2.666064128    9.882091636    9.921659523    5.828738929
    2.686102204    9.477294094    9.541998154    5.856962397
    2.706140281    9.040836347    9.135032678    5.885638390
    2.726178357    8.573014215    8.699881838    5.914815232
    2.746216433    8.073093224    8.231990271    5.944537570
    2.766254509    7.540282088    7.724366877    5.974855703
    2.786292585    6.975485975    7.170647477    6.005846993
    2.806330661    6.383146003    6.569139381    6.037626258
    2.826368737    5.772141209    5.926247118    6.070322674
    2.846406814    5.155253901    5.257693467    6.104024485
    2.866444890    4.547565970    4.586807032    6.138720817
    2.886482966    3.964551916    3.940396396    6.174273237
    2.906521042    3.420478469    3.343749094    6.210424655
    2.926559118    2.927356241    2.816450171    6.246829128
    2.946597194    2.494326545    2.370006975    6.283091718
    2.966635271    2.127213512    2.007449191    6.318824449
    2.986673347    1.828154892    1.724606956    6.353706760
    3.006711423    1.595514689    1.512466709    6.387499577
    3.026749499    1.424347671    1.359783508    6.419980785
    3.046787575    1.307462627    1.255230775    6.450855123
    3.066825651    1.236788638    1.188800895    6.479731829
    3.086863727    1.204550788    1.152559992    6.506200807
    3.106901804    1.203896479    1.140909334    6.529959411
    3.126939880    1.228981872    1.150337043    6.550925208
    3.146977956    1.274786403    1.178623035    6.569288743
    3.167016032    1.336844375    1.223708500    6.585480801
    3.187054108    1.410903206    1.282725043    6.600057998
    3.207092184    1.492612666    1.351704970    6.613543710
    3.227130261    1.577541457    1.426121257    6.626283750
    3.247168337    1.661681416    1.501850605    6.638376616
    3.267206413    1.742204828    1.575926525    6.649706442
    3.287244489    1.818002203    1.646752870    6.660054441
    3.307282565    1.889654155    1.713903986    6.669221931
    3.327320641    1.958830251    1.777808948    6.677094822
    3.347358717    2.027361525    1.839475833    6.683623117
    3.367396794    2.096275468    1.900189855    6.688744301
    3.387434870    2.165045459    1.961032669    6.692309199
    3.407472946    2.231292938    2.022215818    6.694060766
    3.427511022    2.291126025    2.082519657    6.693670920
    3.447549098    2.340158541    2.139319924    6.690791632
    3.467587174    2.374994152    2.189457604    6.685062619
    3.487625251    2.394553020    2.230574608    6.676049807
    3.507663327    2.400395800    2.262037203    6.663162107
    3.527701403    2.395720766    2.284807817    6.645661119
    3.547739479    2.383740095    2.300513621    6.622851570
    3.567777555    2.366547766    2.310585184    6.594408619
    3.587815631    2.344938788    2.316015375    6.560672365
    3.607853707    2.318810589    2.317501151    6.522728476
    3.627891784    2.287601299    2.315447050    6.482207582
    3.647929860    2.250574457    2.309718156    6.440908081
    3.667967936    2.207075951    2.299476610    6.400453153
    3.688006012    2.156864142    2.283386728    6.362127635
    3.708044088    2.100407812    2.260112119    6.326879323
    3.728082164    2.038997496    2.228832440    6.295393105
    3.748120240    1.974682658    2.189601378    6.268172003
    3.768158317    1.910127291    2.143512727    6.245579780
    3.788196393    1.848351009    2.092673756    6.227817804
    3.808234469    1.792268045    2.039968878    6.214872378
    3.828272545    1.744114721    1.988604708    6.206519976
    3.848310621    1.705073808    1.941474166    6.202445316
    3.868348697    1.675333955    1.900494941    6.202428827
    3.888386774    1.654430353    1.866198561    6.206477884
    3.908424850    1.641454984    1.837790790    6.214802614
    3.928462926    1.634931674    1.813632562    6.227670578
    3.948501002    1.632565278    1.791830276    6.245270145
    3.968539078    1.631280392    1.770628354    6.267666862
    3.988577154    1.627776536    1.748520114    6.294835782
    4.008615230    1.619362367    1.724175874    6.326711200
    4.028653307    1.604532680    1.696326327    6.363211896
    4.048691383    1.582961280    1.663721492    6.404224018
    4.068729459    1.555067896    1.625243923    6.449546828
    4.088767535    1.521565181    1.580166534    6.498838371
    4.108805611    1.483242447    1.528449037    6.551612853
    4.128843687    1.440952444    1.470921437    6.607311572
    4.148881764    1.395637346    1.409245225    6.665415265
    4.168919840    1.348310860    1.345664719    6.725536778
    4.188957916    1.299995766    1.282646193    6.787451968
    4.208995992    1.251596246    1.222482244    6.851065674
    4.229034068    1.203719750    1.166932534    6.916329851
    4.249072144    1.156586168    1.117014819    6.983139467
    4.269110220    1.110165564    1.073017315    7.051245712
    4.289148297    1.064488913    1.034671194    7.120225619
    4.309186373    1.019886836    1.001339719    7.189520101
    4.329224449    0.976975332    0.972135360    7.258519549
    4.349262525    0.936452361    0.946008726    7.326648403
    4.369300601    0.898894841    0.921887054    7.393384754
    4.389338677    0.864659582    0.898839256    7.458181386
    4.409376754    0.833858311    0.876182578    7.520333183
    4.429414830    0.806340714    0.853500007    7.578890367
    4.449452906    0.781689168    0.830602217    7.632694318
    4.469490982    0.759288404    0.807480869    7.680553268
    4.489529058    0.738464705    0.784279369    7.721522396
    4.509567134    0.718580677    0.761239812    7.755192766
    4.529605210    0.699013721    0.738545008    7.781838061
    4.549643287    0.679101476    0.716097911    7.802299764
    4.569681363    0.658178060    0.693432189    7.817648405
    4.589719439    0.635693317    0.669862434    7.828821160
    4.609757515    0.611303797    0.644766335    7.836434728
    4.629795591    0.584874689    0.617827766    7.840806647
    4.649833667    0.556432262    0.589148818    7.842071890
    4.669871743    0.526146144    0.559211320    7.840293746
    4.689909820    0.494378024    0.528717290    7.835559666
    4.709947896    0.461738908    0.498386409    7.828068948
    4.729985972    0.429045742    0.468796175    7.818164918
    4.750024048    0.397129014    0.440295275    7.806254763
    4.770062124    0.366564803    0.412963704    7.792631329
    4.790100200    0.337485484    0.386600701    7.777292213
