# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000   86.940534052   55.692436821    5.192635004
    0.021038076   72.974957401   70.174505630    1.178881921
    0.041076152   61.224678967   58.673953415    0.914840552
    0.061114228   53.728308227   51.891448977    0.807157665
    0.081152305   48.136936395   46.998948664    0.751116633
    0.101190381   43.642059298   42.978157833    0.719427507
    0.121228457   39.866598458   39.424102960    0.700960569
    0.141266533   36.620386432   36.180663397    0.690055963
    0.161304609   33.789106913   33.194614152    0.683179539
    0.181342685   31.280757507   30.445266042    0.677552690
    0.201380762   29.007027494   27.911523737    0.670617159
    0.221418838   26.886564354   25.563652416    0.660028221
    0.241456914   24.856133525   23.369585962    0.643949248
    0.261494990   22.877710996   21.305342581    0.621363445
    0.281533066   20.938229526   19.361489846    0.592241039
    0.301571142   19.045456985   17.542213230    0.557565166
    0.321609218   17.222547696   15.858731136    0.519180907
    0.341647295   15.500859125   14.321717207    0.479390327
    0.361685371   13.911547818   12.936533830    0.440405254
    0.381723447   12.478713656   11.702308477    0.403929390
    0.401761523   11.216215699   10.613669796    0.371021331
    0.421799599   10.127806159    9.663209225    0.342180722
    0.441837675    9.209041888    8.843288538    0.317527219
    0.461875752    8.449819147    8.146880580    0.296972981
    0.481913828    7.836923824    7.567738176    0.280328037
    0.501951904    7.356212764    7.100161477    0.267321682
    0.521989980    6.994244624    6.738573425    0.257576568
    0.542028056    6.739387305    6.477207313    0.250594469
    0.562066132    6.582334710    6.310053622    0.245791628
    0.582104208    6.515637544    6.230803298    0.242583865
    0.602142285    6.531991430    6.232412486    0.240486928
    0.622180361    6.621921153    6.306344278    0.239184204
    0.642218437    6.772237019    6.442019913    0.238536370
    0.662256513    6.966208623    6.626924937    0.238542963
    0.682294589    7.185085241    6.847269763    0.239281855
    0.702332665    7.409789984    7.088748380    0.240852327
    0.722370741    7.622297694    7.337104023    0.243343077
    0.742408818    7.807315589    7.578560673    0.246830870
    0.762446894    7.954454056    7.800294861    0.251388812
    0.782484970    8.059576322    7.991060146    0.257073586
    0.802523046    8.124049905    8.142054571    0.263888331
    0.822561122    8.152500730    8.248093097    0.271757028
    0.842599198    8.150837260    8.308837706    0.280550110
    0.862637275    8.125590532    8.329348845    0.290156990
    0.882675351    8.084274077    8.319324353    0.300553230
    0.902713427    8.035661190    8.291158922    0.311808486
    0.922751503    7.989001623    8.257446199    0.324022222
    0.942789579    7.952233732    8.228435613    0.337215615
    0.962827655    7.930195401    8.209811646    0.351227181
    0.982865731    7.923660198    8.201388940    0.365657963
    1.002903808    7.929329533    8.197577415    0.379893545
    1.022941884    7.940759899    8.189955119    0.393199795
    1.042979960    7.950200917    8.170911234    0.404865103
    1.063018036    7.950871166    8.136475559    0.414363364
    1.083056112    7.938810861    8.087210689    0.421513206
    1.103094188    7.913582771    8.027376597    0.426569260
    1.123132265    7.877645171    7.963124591    0.430163904
    1.143170341    7.834876199    7.900400338    0.433109132
    1.163208417    7.789031111    7.843178052    0.436179703
    1.183246493    7.742753179    7.792636733    0.439991699
    1.203284569    7.697383619    7.747562772    0.444999096
    1.223322645    7.653428678    7.705626750    0.451563988
    1.243360721    7.611274417    7.664752110    0.460034881
    1.263398798    7.571674866    7.623901185    0.470772449
    1.283436874    7.535738842    7.583069698    0.484098922
    1.303474950    7.504518792    7.542728632    0.500203815
    1.323513026    7.478576500    7.503201986    0.519067950
    1.343551102    7.457860053    7.464450296    0.540449621
    1.363589178    7.441947732    7.426359766    0.563937435
    1.383627255    7.430429212    7.389197280    0.589042066
    1.403665331    7.423046147    7.353835858    0.615283190
    1.423703407    7.419326974    7.321646596    0.642233887
    1.443741483    7.417946677    7.294187106    0.669516100
    1.463779559    7.416549304    7.272824260    0.696777377
    1.483817635    7.412526510    7.258405859    0.723689300
    1.503855711    7.404310972    7.251142461    0.749990793
    1.523893788    7.392231285    7.250756134    0.775573021
    1.543931864    7.378428242    7.256666555    0.800568221
    1.563969940    7.366032383    7.267924219    0.825377222
    1.584008016    7.358050758    7.282903388    0.850590976
    1.604046092    7.356319418    7.298996735    0.876827993
    1.624084168    7.360798825    7.312485536    0.904559328
    1.644122244    7.369403562    7.318675320    0.933989996
    1.664160321    7.378357317    7.312451599    0.965029542
    1.684198397    7.382958024    7.289381139    0.997347230
    1.704236473    7.378687685    7.247144007    1.030489439
    1.724274549    7.362527264    7.186677770    1.064026872
    1.744312625    7.334112751    7.112391137    1.097673884
    1.764350701    7.296271538    7.031269111    1.131310245
    1.784388778    7.254638141    6.951304624    1.164889851
    1.804426854    7.216384148    6.879967966    1.198308051
    1.824464930    7.188477292    6.823216415    1.231322519
    1.844503006    7.176132805    6.785109674    1.263563484
    1.864541082    7.181993039    6.767760444    1.294599465
    1.884579158    7.206080095    6.771305748    1.324008004
    1.904617234    7.246173739    6.793797341    1.351427325
    1.924655311    7.298350648    6.831179762    1.376579210
    1.944693387    7.357779706    6.877689225    1.399250504
    1.964731463    7.419882162    6.926907477    1.419241640
    1.984769539    7.481368882    6.973249358    1.436327210
    2.004807615    7.540277319    7.013214487    1.450280909
    2.024845691    7.594880512    7.045836789    1.460976831
    2.044883768    7.642557873    7.072311752    1.468517792
    2.064921844    7.679891981    7.095199953    1.473313537
    2.084959920    7.704141057    7.117647858    1.476053433
    2.104997996    7.714998186    7.142856923    1.477566410
    2.125036072    7.715364798    7.173774479    1.478624911
    2.145074148    7.710722635    7.212814122    1.479788997
    2.165112224    7.707575538    7.261430556    1.481350108
    2.185150301    7.711712819    7.319675494    1.483365472
    2.205188377    7.726929550    7.386237508    1.485742938
    2.225226453    7.754647862    7.459331036    1.488343525
    2.245264529    7.794515267    7.538028040    1.491088052
    2.265302605    7.845477229    7.623072967    1.494049800
    2.285340681    7.906542596    7.716582173    1.497487001
    2.305378758    7.976846874    7.820858441    1.501772846
    2.325416834    8.055265050    7.937088802    1.507229668
    2.345454910    8.140118376    8.064656013    1.513923886
    2.365492986    8.229348209    8.201305980    1.521506454
    2.385531062    8.321165668    8.343882540    1.529169464
    2.405569138    8.414861752    8.489120513    1.535729770
    2.425607214    8.511344212    8.634129136    1.539816812
    2.445645291    8.613107699    8.776529259    1.540167271
    2.465683367    8.723570408    8.914420881    1.536003055
    2.485721443    8.845889223    9.046290227    1.527339751
    2.505759519    8.981553421    9.170822694    1.515013705
    2.525797595    9.129200369    9.286622698    1.500379156
    2.545835671    9.284033805    9.392000449    1.484868298
    2.565873747    9.438073132    9.485035645    1.469664034
    2.585911824    9.581392615    9.563972517    1.455577258
    2.605949900    9.704283837    9.627762451    1.443054826
    2.625987976    9.799698544    9.676487482    1.432225405
    2.646026052    9.864883344    9.711539259    1.422963705
    2.666064128    9.901432314    9.735531888    1.414992027
    2.686102204    9.913864811    9.751852347    1.408013129
    2.706140281    9.907527410    9.763812624    1.401827359
    2.726178357    9.886782842    9.773731515    1.396370465
    2.746216433    9.854158096    9.782422489    1.391643558
    2.766254509    9.810514759    9.789134547    1.387583461
    2.786292585    9.755773427    9.791619505    1.383959593
    2.806330661    9.689654369    9.786249472    1.380340066
    2.826368737    9.612099784    9.768421023    1.376126029
    2.846406814    9.523220448    9.733262006    1.370666979
    2.866444890    9.422887651    9.676356148    1.363475916
    2.886482966    9.310426467    9.594360892    1.354499176
    2.906521042    9.184799884    9.485647429    1.344299642
    2.926559118    9.045192989    9.350903013    1.334002979
    2.946597194    8.891607254    9.193279948    1.325002695
    2.966635271    8.725238855    9.017803666    1.318597746
    2.986673347    8.548655416    8.830287977    1.315758417
    3.006711423    8.365755967    8.636260004    1.317081892
    3.026749499    8.181419450    8.440228053    1.322867661
    3.046787575    8.000894086    8.245471023    1.333217562
    3.066825651    7.829174051    8.054450508    1.348110765
    3.086863727    7.670574680    7.869670411    1.367444225
    3.106901804    7.528529293    7.694461318    1.391044953
    3.126939880    7.405505813    7.533170649    1.418669101
    3.146977956    7.302895303    7.390651948    1.450001632
    3.167016032    7.220781894    7.271396764    1.484653984
    3.187054108    7.157759902    7.178770797    1.522152992
    3.207092184    7.111177228    7.114598800    1.561940115
    3.227130261    7.077930006    7.079090177    1.603420520
    3.247168337    7.055348040    7.070967117    1.646078747
    3.267206413    7.041518014    7.087583044    1.689622867
    3.287244489    7.034903736    7.124851273    1.734075692
    3.307282565    7.033766003    7.177054443    1.779739779
    3.327320641    7.035976976    7.236869617    1.827033154
    3.347358717    7.039321764    7.295893086    1.876286211
    3.367396794    7.041885822    7.345687935    1.927619572
    3.387434870    7.042200127    7.379208285    1.980940947
    3.407472946    7.039233430    7.392283515    2.035991984
    3.427511022    7.032447007    7.384556424    2.092360131
    3.447549098    7.021843867    7.359250473    2.149435154
    3.467587174    7.007769774    7.321719390    2.206346404
    3.487625251    6.990509434    7.277488114    2.261932884
    3.507663327    6.970060203    7.230719668    2.314801602
    3.527701403    6.946326824    7.183651660    2.363524799
    3.547739479    6.919552459    7.136980252    2.406966197
    3.567777555    6.890611166    7.090722527    2.444606907
    3.587815631    6.860932823    7.044921260    2.476682403
    3.607853707    6.832075423    6.999833227    2.504049795
    3.627891784    6.805177669    6.955773815    2.527887697
    3.647929860    6.780639769    6.913045343    2.549400148
    3.667967936    6.758217876    6.872120973    2.569621375
    3.688006012    6.737344398    6.833814383    2.589326527
    3.708044088    6.717357984    6.799054887    2.609026440
    3.728082164    6.697609065    6.768295131    2.629031770
    3.748120240    6.677601485    6.741033977    2.649574713
    3.768158317    6.657135528    6.715851396    2.670963401
    3.788196393    6.636254302    6.690886864    2.693697471
