# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    4.468234376
    0.021038076  -32.912544610  -51.548972820    4.754379461
    0.041076152    0.991290302   -3.751079709    4.754760140
    0.061114228    7.288650967    5.328780021    4.754908335
    0.081152305    9.425864411    8.452332798    4.755119668
    0.101190381   10.360448828    9.837115505    4.755433366
    0.121228457   10.822981560   10.542126731    4.755867125
    0.141266533   11.065349589   10.934309883    4.756434991
    0.161304609   11.194065000   11.165913026    4.757148494
    0.181342685   11.259088311   11.305001443    4.758015571
    0.201380762   11.282848361   11.379881846    4.759039854
    0.221418838   11.271596483   11.397036975    4.760220901
    0.241456914   11.221149955   11.350037132    4.761555300
    0.261494990   11.120752468   11.225521424    4.763038125
    0.281533066   10.956214858   11.008644078    4.764664266
    0.301571142   10.713600770   10.689488083    4.766429340
    0.321609218   10.385327022   10.271245575    4.768330175
    0.341647295    9.978378811    9.777689266    4.770364966
    0.361685371    9.519582517    9.253487720    4.772533218
    0.381723447    9.051695918    8.753171341    4.774835552
    0.401761523    8.620679612    8.323982566    4.777273406
    0.421799599    8.262306643    7.993728220    4.779848723
    0.441837675    7.995561707    7.769290585    4.782563685
    0.461875752    7.823284778    7.642371013    4.785420565
    0.481913828    7.736521590    7.596608605    4.788421687
    0.501951904    7.719779558    7.613157721    4.791569470
    0.521989980    7.755743746    7.674294008    4.794866485
    0.542028056    7.828569676    7.765290710    4.798315484
    0.562066132    7.925472107    7.874947807    4.801919383
    0.582104208    8.036974806    7.995278269    4.805681193
    0.602142285    8.156434564    8.120829676    4.809603906
    0.622180361    8.279328224    8.247956358    4.813690308
    0.642218437    8.402565070    8.374186880    4.817942723
    0.662256513    8.523922331    8.497725836    4.822362645
    0.682294589    8.641626381    8.617089326    4.826950275
    0.702332665    8.754091601    8.730879055    4.831704011
    0.722370741    8.859847712    8.837725500    4.836620045
    0.742408818    8.957685681    8.936436310    4.841692365
    0.762446894    9.046975170    9.026320327    4.846913515
    0.782484970    9.127960952    9.107521960    4.852276236
    0.802523046    9.201775549    9.181118446    4.857775407
    0.822561122    9.270048040    9.248835437    4.863408812
    0.842599198    9.334238889    9.312451618    4.869174948
    0.862637275    9.394977832    9.373113135    4.875067419
    0.882675351    9.451695586    9.430823855    4.881067933
    0.902713427    9.502757623    9.484337918    4.887141429
    0.922751503    9.546114571    9.531548415    4.893236324
    0.942789579    9.580223450    9.570280675    4.899291325
    0.962827655    9.604806020    9.599212661    4.905248920
    0.982865731    9.621060895    9.618516383    4.911073693
    1.002903808    9.631257816    9.629878369    4.916769686
    1.022941884    9.637986164    9.635878147    4.922387548
    1.042979960    9.643442394    9.639075851    4.928013558
    1.063018036    9.649002753    9.641280195    4.933740147
    1.083056112    9.655120259    9.643258257    4.939628550
    1.103094188    9.661460341    9.644835337    4.945682389
    1.123132265    9.667176774    9.645210669    4.951848013
    1.143170341    9.671259358    9.643382548    4.958041136
    1.163208417    9.672861307    9.638600723    4.964180939
    1.183246493    9.671501329    9.630719887    4.970209517
    1.203284569    9.667148062    9.620362318    4.976089700
    1.223322645    9.660295954    9.608877739    4.981792020
    1.243360721    9.652040772    9.598113107    4.987286246
    1.263398798    9.644016725    9.590043992    4.992544885
    1.283436874    9.638136514    9.586422143    4.997555810
    1.303474950    9.636266027    9.588606706    5.002336113
    1.323513026    9.639991806    9.597593584    5.006941491
    1.343551102    9.650516812    9.614101574    5.011470299
    1.363589178    9.668615327    9.638563063    5.016060523
    1.383627255    9.694585473    9.670992140    5.020873158
    1.403665331    9.728247956    9.710859071    5.026059784
    1.423703407    9.769101695    9.757149455    5.031725972
    1.443741483    9.816641902    9.808672230    5.037909048
    1.463779559    9.870679189    9.864505040    5.044581454
    1.483817635    9.931448653    9.924364922    5.051677060
    1.503855711    9.999429984    9.988706620    5.059124798
    1.523893788   10.075016283   10.058477037    5.066870466
    1.543931864   10.158261017   10.134656116    5.074879139
    1.563969940   10.248807032   10.217838125    5.083124863
    1.584008016   10.345921632   10.308031564    5.091576906
    1.604046092   10.448546153   10.404683277    5.100187579
    1.624084168   10.555376060   10.506811927    5.108883999
    1.644122244   10.664990175   10.613101709    5.117564693
