# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.241244854    0.501835451    0.001103888
    0.021038076    3.248872379    6.421828005    0.010884488
    0.041076152    3.855761160    7.605846355    0.011535581
    0.061114228    3.906136195    7.703183606    0.011983773
    0.081152305    3.845892282    7.602057773    0.012713221
    0.101190381    3.749524475    7.469652753    0.013608397
    0.121228457    3.633575082    7.344936103    0.014584369
    0.141266533    3.512391796    7.255918112    0.015606730
    0.161304609    3.400755594    7.226614806    0.016662899
    0.181342685    3.308544211    7.266997075    0.017741743
    0.201380762    3.237135220    7.365903411    0.018828713
    0.221418838    3.179025053    7.489134663    0.019912618
    0.241456914    3.119970851    7.582498425    0.020993907
    0.261494990    3.043239419    7.582419409    0.022086190
    0.281533066    2.935775179    7.436088184    0.023211217
    0.301571142    2.794177832    7.123874688    0.024392872
    0.321609218    2.626628599    6.668702940    0.025653443
    0.341647295    2.449177452    6.124542864    0.027011734
    0.361685371    2.279253317    5.553159624    0.028482719
    0.381723447    2.130657634    5.005020046    0.030079642
    0.401761523    2.011906671    4.512151654    0.031817950
    0.421799599    1.927058670    4.090282377    0.033718199
    0.441837675    1.877339576    3.744211298    0.035805840
    0.461875752    1.862463964    3.472613523    0.038108738
    0.481913828    1.881295217    3.271281435    0.040654469
    0.501951904    1.931887691    3.134976873    0.043468235
    0.521989980    2.011113747    3.058176840    0.046571155
    0.542028056    2.114171822    3.034918505    0.049978931
    0.562066132    2.234326710    3.058024456    0.053701633
    0.582104208    2.363223086    3.118211418    0.057745589
    0.602142285    2.492048591    3.203821528    0.062118174
    0.622180361    2.613588254    3.301920982    0.066835359
    0.642218437    2.724547443    3.400956167    0.071929491
    0.662256513    2.826789120    3.494044872    0.077452718
    0.682294589    2.926390788    3.581020234    0.083473434
    0.702332665    3.030745253    3.667551411    0.090066848
    0.722370741    3.144961230    3.761209500    0.097300313
    0.742408818    3.268834405    3.866041973    0.105211424
    0.762446894    3.395342692    3.977969660    0.113779233
    0.782484970    3.511450103    4.083254564    0.122894670
    0.802523046    3.601460262    4.161550607    0.132337597
    0.822561122    3.651879488    4.192997449    0.141767423
    0.842599198    3.655592948    4.165888058    0.150739685
    0.862637275    3.613539451    4.080550927    0.158766857
    0.882675351    3.533735136    3.947935978    0.165429672
    0.902713427    3.428540001    3.784909613    0.170505058
    0.922751503    3.311186297    3.609134287    0.174037660
    0.942789579    3.192795927    3.435375767    0.176304005
    0.962827655    3.080873888    3.273823653    0.177697529
    0.982865731    2.979254433    3.130034091    0.178608488
    1.002903808    2.888864723    3.005763747    0.179345713
    1.022941884    2.808831949    2.900190296    0.180104767
    1.042979960    2.737664424    2.811209567    0.180971859
    1.063018036    2.674204323    2.736487945    0.181950698
    1.083056112    2.618105207    2.674061923    0.182997265
    1.103094188    2.569837436    2.622554409    0.184049251
    1.123132265    2.530421123    2.581189066    0.185045481
    1.143170341    2.501057359    2.549658989    0.185938737
    1.163208417    2.482716601    2.527838103    0.186705603
    1.183246493    2.475776878    2.515453704    0.187353701
    1.203284569    2.479906644    2.511928068    0.187924059
    1.223322645    2.494294026    2.516459412    0.188483735
    1.243360721    2.518054044    2.528236764    0.189107249
    1.263398798    2.550524859    2.546682792    0.189856648
    1.283436874    2.591346245    2.571676412    0.190774657
    1.303474950    2.640447584    2.603667935    0.191893210
    1.323513026    2.698068300    2.643564063    0.193243590
    1.343551102    2.764747646    2.692350725    0.194855465
    1.363589178    2.841118498    2.750572099    0.196748393
    1.383627255    2.927445960    2.817870666    0.198927664
    1.403665331    3.023088419    2.892790339    0.201387707
    1.423703407    3.126237749    2.972980942    0.204116342
    1.443741483    3.234211906    3.055793468    0.207094445
    1.463779559    3.344198153    3.139039433    0.210293080
    1.483817635    3.453974859    3.221593471    0.213675287
    1.503855711    3.562160217    3.303625999    0.217206867
    1.523893788    3.667943499    3.386352379    0.220869673
    1.543931864    3.770647688    3.471262852    0.224664047
    1.563969940    3.869549975    3.559110657    0.228598013
    1.584008016    3.964165571    3.649297663    0.232678331
    1.604046092    4.054793276    3.740131574    0.236915033
    1.624084168    4.142805337    3.829732529    0.241330410
    1.644122244    4.230356735    3.916838193    0.245960192
    1.664160321    4.319729839    4.000953678    0.250849715
    1.684198397    4.412763350    4.082010556    0.256050541
    1.704236473    4.510611271    4.160143825    0.261612075
    1.724274549    4.613846469    4.235966300    0.267563328
    1.744312625    4.722828535    4.311214492    0.273893725
    1.764350701    4.838149725    4.389251833    0.280544613
    1.784388778    4.960857716    4.474824055    0.287411755
    1.804426854    5.092238081    4.572903429    0.294356013
    1.824464930    5.233201050    4.687142877    0.301226326
    1.844503006    5.383464997    4.818622405    0.307896236
    1.864541082    5.540781926    4.965167845    0.314302761
    1.884579158    5.700631607    5.121313682    0.320470679
    1.904617234    5.856870131    5.279162677    0.326509018
    1.924655311    6.003322159    5.430227612    0.332577893
    1.944693387    6.135520070    5.567610627    0.338840560
    1.964731463    6.251610069    5.687486173    0.345424134
    1.984769539    6.352140501    5.789306831    0.352402697
    2.004807615    6.439192004    5.874904114    0.359799241
    2.024845691    6.515423372    5.947236101    0.367597501
    2.044883768    6.583308191    6.009668093    0.375760465
    2.064921844    6.644635963    6.066016843    0.384252707
    2.084959920    6.700432133    6.120690193    0.393057819
    2.104997996    6.751497151    6.178256804    0.402182242
    2.125036072    6.799394724    6.242614005    0.411645593
    2.145074148    6.847157218    6.316420247    0.421465518
    2.165112224    6.898979734    6.401148986    0.431644405
    2.185150301    6.959012758    6.497570629    0.442163123
    2.205188377    7.030150761    6.606221504    0.452986965
    2.225226453    7.113574401    6.727545436    0.464082896
    2.245264529    7.209108703    6.861716633    0.475437950
    2.265302605    7.315990586    7.008405141    0.487066959
    2.285340681    7.433547544    7.166755305    0.499004040
    2.305378758    7.561429409    7.335637246    0.511283291
    2.325416834    7.699374988    7.514000306    0.523923741
    2.345454910    7.846842429    7.701122874    0.536928524
    2.365492986    8.002856850    7.896659411    0.550290091
    2.385531062    8.166170426    8.100477998    0.563987438
    2.405569138    8.335588139    8.312414893    0.577976969
    2.425607214    8.510215968    8.532204469    0.592190566
    2.445645291    8.689480656    8.759701070    0.606542889
    2.465683367    8.873014524    8.995092338    0.620936324
    2.485721443    9.060596747    9.238574839    0.635261480
    2.505759519    9.252158262    9.489371420    0.649408952
    2.525797595    9.447711444    9.744762971    0.663306140
    2.545835671    9.647148609   10.000054037    0.676968055
    2.565873747    9.849946379   10.249652006    0.690524430
    2.585911824   10.054797317   10.488480215    0.704185418
    2.605949900   10.259246961   10.712763598    0.718144553
    2.625987976   10.459604867   10.919890286    0.732468385
    2.646026052   10.651426732   11.107793230    0.747045175
    2.666064128   10.830484887   11.274441558    0.761632637
    2.686102204   10.993644248   11.417700063    0.775974524
    2.706140281   11.139032527   11.535520634    0.789902065
    2.726178357   11.265475755   11.626317906    0.803351323
    2.746216433   11.371751907   11.689335740    0.816307964
    2.766254509   11.456195355   11.724866675    0.828759384
    2.786292585   11.516751111   11.734327287    0.840719985
    2.806330661   11.551258555   11.720223373    0.852320302
    2.826368737   11.557723984   11.685957370    0.863895411
    2.846406814   11.534522165   11.635390577    0.876012719
    2.866444890   11.480668025   11.572141620    0.889417843
    2.886482966   11.396283584   11.498774463    0.904917430
    2.906521042   11.283103440   11.416161857    0.923245120
    2.926559118   11.144652139   11.323296797    0.944958594
    2.946597194   10.985868381   11.217698291    0.970391646
    2.966635271   10.812281654   11.096309480    0.999655711
    2.986673347   10.629066129   10.956541993    1.032666430
    3.006711423   10.440310233   10.797113755    1.069168634
    3.026749499   10.248740240   10.618483113    1.108752399
    3.046787575   10.055963332   10.422797012    1.150877093
    3.066825651    9.863027000   10.213421706    1.194920882
    3.086863727    9.670926243    9.994339164    1.240253966
    3.106901804    9.480856503    9.769717590    1.286321107
    3.126939880    9.294305601    9.543742127    1.332718347
    3.146977956    9.113121573    9.320571962    1.379251161
    3.167016032    8.939511055    9.104241831    1.425960397
    3.187054108    8.775850025    8.898418227    1.473100436
    3.207092184    8.624342849    8.706060359    1.521064092
    3.227130261    8.486715505    8.529136539    1.570275213
    3.247168337    8.364055607    8.368521384    1.621093871
    3.267206413    8.256734882    8.224071078    1.673769377
    3.287244489    8.164330151    8.094809525    1.728424998
    3.307282565    8.085595575    7.979217550    1.785019409
    3.327320641    8.018608759    7.875646014    1.843265694
    3.347358717    7.961112835    7.782762504    1.902564775
    3.367396794    7.910931989    7.699846279    1.962032027
    3.387434870    7.866297220    7.626839582    2.020639827
    3.407472946    7.825967975    7.564216984    2.077423054
    3.427511022    7.789109913    7.512747455    2.131655204
    3.447549098    7.755002984    7.473165551    2.182920957
    3.467587174    7.722774708    7.445801875    2.231078814
    3.487625251    7.691355258    7.430306032    2.276182751
    3.507663327    7.659694123    7.425569781    2.318444613
    3.527701403    7.627082740    7.429824683    2.358243248
    3.547739479    7.593344987    7.440811805    2.396108490
    3.567777555    7.558763348    7.455953056    2.432632055
    3.587815631    7.523818450    7.472508072    2.468345924
    3.607853707    7.488923510    7.487750992    2.503634457
    3.627891784    7.454276885    7.499221601    2.538686241
    3.647929860    7.419889535    7.505018968    2.573450842
    3.667967936    7.385791133    7.503992859    2.607605105
    3.688006012    7.352268903    7.495720002    2.640581682
    3.708044088    7.319894907    7.480295837    2.671682314
    3.728082164    7.289283531    7.458086682    2.700227001
    3.748120240    7.260816459    7.429628070    2.725686464
    3.768158317    7.234596262    7.395755938    2.747797588
    3.788196393    7.210620420    7.357803680    2.766659495
    3.808234469    7.188942407    7.317564974    2.782753968
    3.828272545    7.169639095    7.276944146    2.796841729
    3.848310621    7.152622382    7.237526503    2.809769680
    3.868348697    7.137470535    7.200307838    2.822272935
    3.888386774    7.123422769    7.165625872    2.834831054
    3.908424850    7.109552751    7.133253956    2.847604224
    3.928462926    7.095021536    7.102637360    2.860465093
    3.948501002    7.079274235    7.073208011    2.873126782
    3.968539078    7.062087049    7.044634152    2.885318770
    3.988577154    7.043467925    7.016879996    2.896914815
    4.008615230    7.023520187    6.990077836    2.907941457
    4.028653307    7.002395335    6.964328878    2.918490817
    4.048691383    6.980338532    6.939543403    2.928635579
    4.068729459    6.957694369    6.915355895    2.938422818
    4.088767535    6.934767554    6.891136039    2.947939443
    4.108805611    6.911605859    6.866138702    2.957385051
    4.128843687    6.887889136    6.839772745    2.967097369
    4.148881764    6.863028792    6.811847680    2.977526084
    4.168919840    6.836397019    6.782635355    2.989194258
    4.188957916    6.807517284    6.752713890    3.002678094
    4.208995992    6.776117835    6.722702390    3.018585697
    4.229034068    6.742075236    6.693020205    3.037501555
    4.249072144    6.705337305    6.663749974    3.059911097
    4.269110220    6.665881259    6.634620356    3.086154497
    4.289148297    6.623713040    6.605093562    3.116438714
    4.309186373    6.578913279    6.574541681    3.150900835
    4.329224449    6.531731551    6.542456480    3.189694225
    4.349262525    6.482679133    6.508579663    3.233050604
    4.369300601    6.432536523    6.472881136    3.281268091
    4.389338677    6.382240844    6.435444888    3.334623900
    4.409376754    6.332707139    6.396390015    3.393278197
    4.429414830    6.284677887    6.355883324    3.457236256
    4.449452906    6.238654180    6.314198261    3.526373208
    4.469490982    6.194887532    6.271748336    3.600491318
    4.489529058    6.153385196    6.229053468    3.679394076
    4.509567134    6.113918023    6.186636424    3.762959616
    4.529605210    6.076057338    6.144887256    3.851165434
    4.549643287    6.039260958    6.103977719    3.944021116
    4.569681363    6.002982622    6.063902427    4.041430642
    4.589719439    5.966752187    6.024625265    4.143066881
    4.609757515    5.930214021    5.986207217    4.248337106
    4.629795591    5.893162319    5.948812638    4.356463230
    4.649833667    5.855593972    5.912607807    4.466640269
    4.669871743    5.817729523    5.877643163    4.578205810
    4.689909820    5.779934081    5.843802945    4.690763261
    4.709947896    5.742561945    5.810861498    4.804228741
    4.729985972    5.705841055    5.778623165    4.918792233
    4.750024048    5.669872403    5.747048414    5.034811034
    4.770062124    5.634708415    5.716255107    5.152688266
    4.790100200    5.600430042    5.686386212    5.272789076
    4.810138277    5.567176023    5.657460167    5.395406432
    4.830176353    5.535122251    5.629323477    5.520760312
    4.850214429    5.504416063    5.601714245    5.649013562
    4.870252505    5.475062230    5.574357871    5.780283959
    4.890290581    5.446807539    5.547030612    5.914629780
    4.910328657    5.419142165    5.519584921    6.052013387
    4.930366733    5.391488645    5.491955699    6.192282711
    4.950404810    5.363492164    5.464174894    6.335203708
    4.970442886    5.335234754    5.436423270    6.480524138
    4.990480962    5.307248818    5.409089795    6.628005318
    5.010519038    5.280317793    5.382738580    6.777376710
    5.030557114    5.255153460    5.357926902    6.928234541
    5.050595190    5.232114015    5.334955138    7.079950846
    5.070633267    5.211117435    5.313702169    7.231650384
    5.090671343    5.191764130    5.293619455    7.382277791
    5.110709419    5.173522259    5.273825465    7.530729794
    5.130747495    5.155824945    5.253222276    7.675977945
    5.150785571    5.138060427    5.230630610    7.817113922
    5.170823647    5.119524210    5.204968929    7.953333141
    5.190861723    5.099392224    5.175457829    8.083934485
    5.210899800    5.076750509    5.141778392    8.208360671
    5.230937876    5.050705083    5.104105062    8.326204279
    5.250975952    5.020562773    5.062992181    8.437099655
    5.271014028    4.986024797    5.019179816    8.540511523
    5.291052104    4.947297016    4.973415565    8.635510916
    5.311090180    4.905037159    4.926342389    8.720675445
    5.331128257    4.860148898    4.878453323    8.794245840
    5.351166333    4.813521271    4.830104563    8.854523606
    5.371204409    4.765826507    4.781567259    8.900299592
    5.391242485    4.717446154    4.733078611    8.931093852
    5.411280561    4.668536309    4.684867515    8.947143963
    5.431318637    4.619195421    4.637176981    8.949209768
    5.451356713    4.569667990    4.590317184    8.938315191
    5.471394790    4.520491312    4.544723598    8.915522428
    5.491432866    4.472504707    4.500954727    8.881746014
    5.511470942    4.426722311    4.459620635    8.837604451
    5.531509018    4.384150025    4.421304389    8.783383694
    5.551547094    4.345633548    4.386532592    8.719161248
    5.571585170    4.311780497    4.355792505    8.645007153
    5.591623246    4.282943536    4.329541697    8.561129111
    5.611661323    4.259217917    4.308162715    8.467917626
    5.631699399    4.240432325    4.291883082    8.365948611
    5.651737475    4.226160994    4.280721592    8.255995083
    5.671775551    4.215786374    4.274476923    8.139010513
    5.691813627    4.208599641    4.272720673    8.016035607
    5.711851703    4.203895226    4.274777634    7.888084800
    5.731889780    4.201014973    4.279726303    7.756104372
    5.751927856    4.199324769    4.286449968    7.620994711
    5.771965932    4.198154062    4.293724108    7.483613348
    5.792004008    4.196762843    4.300308452    7.344721778
    5.812042084    4.194387026    4.305034088    7.204926070
    5.832080160    4.190348693    4.306890585    7.064675705
    5.852118236    4.184145757    4.305103115    6.924330681
    5.872156313    4.175441933    4.299168379    6.784253075
    5.892194389    4.163970505    4.288818909    6.644864979
    5.912232465    4.149434089    4.273921526    6.506654078
    5.932270541    4.131471607    4.254377188    6.370156746
    5.952308617    4.109723299    4.230116480    6.235922534
    5.972346693    4.083978385    4.201212700    6.104412581
    5.992384770    4.054334641    4.168011685    5.975844934
    6.012422846    4.021280915    4.131151444    5.850124314
    6.032460922    3.985663199    4.091455413    5.726966206
