# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    2.605481272
    0.021038076  -45.259699305  -67.609956631    4.993357947
    0.041076152    5.129951753   -1.498001329    4.994842445
    0.061114228   12.362679326    9.029533504    4.994685215
    0.081152305   13.675232304   11.682714090    4.994632083
    0.101190381   13.581852960   12.292674076    4.994801683
    0.121228457   13.111406993   12.209583183    4.995198085
    0.141266533   12.566987661   11.844937476    4.995817077
    0.161304609   12.047031401   11.345589430    4.996656399
    0.181342685   11.580541299   10.776307242    4.997713967
    0.201380762   11.168324134   10.179528947    4.998986121
    0.221418838   10.798310580    9.593373683    5.000467824
    0.241456914   10.453937713    9.052182043    5.002154394
    0.261494990   10.119984695    8.581558031    5.004043732
    0.281533066    9.786212231    8.195336330    5.006137880
    0.301571142    9.449186542    7.896834686    5.008442987
    0.321609218    9.113211431    7.682624916    5.010967607
    0.341647295    8.790126894    7.546116105    5.013720225
    0.361685371    8.496450305    7.479547207    5.016707162
    0.381723447    8.247734012    7.474446137    5.019931370
    0.401761523    8.052812130    7.521265842    5.023392027
    0.421799599    7.911512638    7.609072491    5.027084764
    0.441837675    7.817218614    7.726006358    5.031002367
    0.461875752    7.761987188    7.860465264    5.035135450
    0.481913828    7.740211128    8.002195199    5.039472321
    0.501951904    7.748795036    8.142687140    5.043997875
    0.521989980    7.785173717    8.275149812    5.048692426
    0.542028056    7.845752109    8.394724558    5.053532112
    0.562066132    7.925951138    8.499145831    5.058492187
    0.582104208    8.021195385    8.589371788    5.063553144
    0.602142285    8.127694237    8.669512163    5.068707665
    0.622180361    8.242513548    8.745699515    5.073965086
    0.642218437    8.363132297    8.824108497    5.079350221
    0.662256513    8.486967520    8.908915681    5.084895507
    0.682294589    8.611211626    9.001143874    5.090628772
    0.702332665    8.732910050    9.098738785    5.096561937
    0.722370741    8.849013103    9.197510887    5.102686624
    0.742408818    8.956437875    9.292436645    5.108979464
    0.762446894    9.052471274    9.378981196    5.115413726
    0.782484970    9.135568069    9.454090100    5.121969159
    0.802523046    9.206028898    9.516468669    5.128633157
    0.822561122    9.265947647    9.566123299    5.135392785
    0.842599198    9.318366860    9.603708705    5.142223366
    0.862637275    9.366171428    9.630354430    5.149081072
    0.882675351    9.411364180    9.648102272    5.155903607
    0.902713427    9.454997122    9.660355249    5.162616433
    0.922751503    9.497519608    9.671532145    5.169137531
    0.942789579    9.539152204    9.685833606    5.175376762
    0.962827655    9.580140392    9.705975577    5.181232430
    0.982865731    9.620899915    9.732739992    5.186590216
    1.002903808    9.662033860    9.765368693    5.191330193
    1.022941884    9.704229349    9.802297406    5.195346439
    1.042979960    9.748122550    9.841816957    5.198577178
    1.063018036    9.794223457    9.882523479    5.201034735
    1.083056112    9.842885705    9.923543417    5.202819713
    1.103094188    9.894199674    9.964497627    5.204105552
    1.123132265    9.947786016   10.005226631    5.205094279
    1.143170341   10.002712577   10.045490811    5.205968405
    1.163208417   10.057750557   10.084900533    5.206873726
    1.183246493   10.111816034   10.123086929    5.207943538
    1.203284569   10.164175328   10.159884687    5.209334717
    1.223322645   10.214224508   10.195336461    5.211234079
    1.243360721   10.261123758   10.229535383    5.213823887
    1.263398798   10.303724745   10.262433758    5.217232829
    1.283436874   10.340951350   10.293709689    5.221506737
    1.303474950   10.372384055   10.322722785    5.226611918
    1.323513026   10.398590884   10.348575346    5.232458107
    1.343551102   10.420937408   10.370312020    5.238921854
    1.363589178   10.441044384   10.387285122    5.245864851
    1.383627255   10.460294253   10.399598897    5.253153534
    1.403665331   10.479621212   10.408374093    5.260681332
