# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000186275    0.000186259    0.000028440
    0.021038076    0.003919410    0.003919070    0.000598338
    0.041076152    0.007655468    0.007654805    0.001168360
    0.061114228    0.011397241    0.011396254    0.001738625
    0.081152305    0.015147535    0.015146223    0.002309250
    0.101190381    0.018909176    0.018907538    0.002880355
    0.121228457    0.022685017    0.022683051    0.003452059
    0.141266533    0.026477947    0.026475651    0.004024480
    0.161304609    0.030290894    0.030288268    0.004597739
    0.181342685    0.034126840    0.034123880    0.005171956
    0.201380762    0.037988820    0.037985524    0.005747253
    0.221418838    0.041879935    0.041876300    0.006323751
    0.241456914    0.045803361    0.045799384    0.006901573
    0.261494990    0.049762355    0.049758033    0.007480843
    0.281533066    0.053760267    0.053755595    0.008061685
    0.301571142    0.057800547    0.057795522    0.008644225
    0.321609218    0.061886759    0.061881376    0.009228589
    0.341647295    0.066022588    0.066016842    0.009814907
    0.361685371    0.070211857    0.070205743    0.010403307
    0.381723447    0.074458534    0.074452047    0.010993921
    0.401761523    0.078766751    0.078759885    0.011586881
    0.421799599    0.083140815    0.083133563    0.012182321
    0.441837675    0.087585226    0.087577581    0.012780378
    0.461875752    0.092104693    0.092096649    0.013381190
    0.481913828    0.096704154    0.096695702    0.013984896
    0.501951904    0.101388796    0.101379929    0.014591638
    0.521989980    0.106164077    0.106154785    0.015201562
    0.542028056    0.111035749    0.111026024    0.015814813
    0.562066132    0.116009889    0.115999721    0.016431541
    0.582104208    0.121092923    0.121082302    0.017051897
    0.602142285    0.126291662    0.126280577    0.017676037
    0.622180361    0.131613336    0.131601776    0.018304118
    0.642218437    0.137065635    0.137053587    0.018936300
    0.662256513    0.142656749    0.142644202    0.019572747
    0.682294589    0.148395421    0.148382360    0.020213626
    0.702332665    0.154290999    0.154277410    0.020859108
    0.722370741    0.160353494    0.160339362    0.021509367
    0.742408818    0.166593650    0.166578959    0.022164581
    0.762446894    0.173023020    0.173007754    0.022824934
    0.782484970    0.179654049    0.179638189    0.023490611
    0.802523046    0.186500169    0.186483697    0.024161803
    0.822561122    0.193575910    0.193558806    0.024838707
    0.842599198    0.200897019    0.200879262    0.025521523
    0.862637275    0.208480601    0.208462169    0.026210457
    0.882675351    0.216345277    0.216326146    0.026905719
    0.902713427    0.224511363    0.224491508    0.027607528
    0.922751503    0.233001080    0.232980475    0.028316106
    0.942789579    0.241838790    0.241817406    0.029031682
    0.962827655    0.251051271    0.251029080    0.029754491
    0.982865731    0.260668036    0.260645005    0.030484777
    1.002903808    0.270721701    0.270697798    0.031222788
    1.022941884    0.281248417    0.281223605    0.031968782
    1.042979960    0.292288371    0.292262613    0.032723024
    1.063018036    0.303886379    0.303859634    0.033485787
    1.083056112    0.316092581    0.316064806    0.034257354
    1.103094188    0.328963270    0.328934419    0.035038015
