# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    8.335344704   12.767725575    0.008695130
    0.021038076    6.725990312    9.808337798    0.005535082
    0.041076152    7.697967674   10.815832115    0.006518436
    0.061114228    8.244361580   11.241825514    0.008046041
    0.081152305    8.505947385   11.291409778    0.009697255
    0.101190381    8.600498829   11.131174802    0.011367679
    0.121228457    8.583549298   10.830150638    0.013018300
    0.141266533    8.481447855   10.413672723    0.014636377
    0.161304609    8.310046356    9.896372829    0.016225815
    0.181342685    8.083714734    9.297735898    0.017801952
    0.201380762    7.819175729    8.647275078    0.019385196
    0.221418838    7.534427464    7.981409906    0.020993182
    0.241456914    7.243394277    7.334432829    0.022634311
    0.261494990    6.950087361    6.729364062    0.024306019
    0.281533066    6.647519239    6.174617554    0.025998814
    0.301571142    6.323626544    5.667867681    0.027703686
    0.321609218    5.970786256    5.203487605    0.029418816
    0.341647295    5.592395235    4.778377045    0.031152959
    0.361685371    5.202630612    4.393379485    0.032925372
    0.381723447    4.820891423    4.051099288    0.034762994
    0.401761523    4.465156342    3.752712986    0.036695443
    0.421799599    4.147412201    3.495864512    0.038749337
    0.441837675    3.872112327    3.274494051    0.040944350
    0.461875752    3.637226444    3.080461259    0.043292839
    0.481913828    3.436748586    2.906059504    0.045802881
    0.501951904    3.263245613    2.746067020    0.048482735
    0.521989980    3.109414883    2.598243445    0.051343757
    0.542028056    2.968703135    2.462265410    0.054399910
    0.562066132    2.835820020    2.338193911    0.057665428
    0.582104208    2.707442602    2.225542998    0.061154456
    0.602142285    2.582428017    2.123113432    0.064884795
    0.622180361    2.461093520    2.029243765    0.068884298
    0.642218437    2.344250547    1.942302852    0.073196527
    0.662256513    2.232958180    1.861350094    0.077882300
    0.682294589    2.128986964    1.786653416    0.083015025
    0.702332665    2.035081538    1.719687224    0.088668042
    0.722370741    1.954358889    1.662573974    0.094890559
    0.742408818    1.889084866    1.617272077    0.101670151
    0.762446894    1.839573277    1.584854172    0.108891829
    0.782484970    1.803835882    1.565121447    0.116323847
    0.802523046    1.778267535    1.556707197    0.123671069
    0.822561122    1.759179171    1.557654203    0.130707251
    0.842599198    1.744370515    1.566175944    0.137420455
    0.862637275    1.733738284    1.581180278    0.144055392
    0.882675351    1.728669924    1.602353430    0.151005911
    0.902713427    1.730919389    1.629913360    0.158636301
    0.922751503    1.741741731    1.664219489    0.167136157
    0.942789579    1.761515439    1.705374211    0.176439988
    0.962827655    1.789717459    1.752952060    0.186192616
    0.982865731    1.825115764    1.805974432    0.195765707
    1.002903808    1.866123596    1.863123341    0.204378172
    1.022941884    1.911241286    1.923052654    0.211357235
    1.042979960    1.959440935    1.984640905    0.216454757
    1.063018036    2.010332818    2.047116666    0.220010699
    1.083056112    2.064048225    2.110064930    0.222821533
    1.103094188    2.120935296    2.173342231    0.225804325
    1.123132265    2.181265009    2.236945783    0.229683749
    1.143170341    2.245103893    2.300936438    0.234843002
    1.163208417    2.312364279    2.365505268    0.241327738
