# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000   45.577461873   45.571897029    1.852471829
    0.021038076   40.910265766   40.909906374    0.568689538
    0.041076152   34.480530323   34.479611752    0.438051841
    0.061114228   30.886469289   30.885332766    0.397327425
    0.081152305   28.528145716   28.526930465    0.382588148
    0.101190381   26.781100815   26.779840366    0.377390888
    0.121228457   25.365427948   25.364149614    0.375620054
    0.141266533   24.135781384   24.134530918    0.374550501
    0.161304609   23.007575505   23.006412785    0.372965000
    0.181342685   21.926212085   21.925195352    0.370387814
    0.201380762   20.856387310   20.855557135    0.366609417
    0.221418838   19.780439715   19.779809364    0.361353835
    0.241456914   18.696444547   18.695999431    0.354103201
    0.261494990   17.612327718   17.612033278    0.344156571
    0.281533066   16.538260473   16.538074388    0.330974527
    0.301571142   15.481343964   15.481227240    0.314648683
    0.321609218   14.444590553   14.444514463    0.296116385
    0.341647295   13.428816158   13.428765115    0.276887731
    0.361685371   12.434726539   12.434697774    0.258490704
    0.381723447   11.464501804   11.464501986    0.242037528
    0.401761523   10.523559986   10.523599208    0.228099578
    0.421799599    9.621676587    9.621761496    0.216804516
    0.441837675    8.771847998    8.771977101    0.207997350
    0.461875752    7.987171194    7.987334643    0.201376677
    0.481913828    7.277875107    7.278058622    0.196591667
    0.501951904    6.650257018    6.650447029    0.193310507
    0.521989980    6.107422512    6.107609564    0.191258438
    0.542028056    5.650444938    5.650624455    0.190208906
    0.562066132    5.278895840    5.279067132    0.189931145
    0.582104208    4.990764610    4.990929309    0.190136994
    0.602142285    4.782200170    4.782360759    0.190473421
    0.622180361    4.647267581    4.647426156    0.190568580
    0.642218437    4.577779726    4.577936942    0.190106163
    0.662256513    4.563384829    4.563539054    0.188898700
    0.682294589    4.592058755    4.592205534    0.186936888
    0.702332665    4.650828912    4.650960940    0.184395909
    0.722370741    4.726443345    4.726551144    0.181591650
    0.742408818    4.806134414    4.806207760    0.178903685
    0.762446894    4.878855369    4.878885223    0.176697364
    0.782484970    4.936654445    4.936634807    0.175267060
    0.802523046    4.975189238    4.975118348    0.174803111
    0.822561122    4.993068965    4.992949673    0.175379679
    0.842599198    4.990848542    4.990687879    0.176962921
    0.862637275    4.970358275    4.970166175    0.179435360
    0.882675351    4.934152191    4.933939556    0.182629864
    0.902713427    4.884829631    4.884606374    0.186370960
    0.922751503    4.824547263    4.824321081    0.190519538
    0.942789579    4.755101507    4.754877670    0.195004786
    0.962827655    4.678545943    4.678327826    0.199823249
    0.982865731    4.597861120    4.597651023    0.205004168
    1.002903808    4.517150929    4.516950782    0.210566446
    1.022941884    4.441280603    4.441092293    0.216497031
    1.042979960    4.375264569    4.375089778    0.222759602
    1.063018036    4.323748688    4.323588428    0.229321457
    1.083056112    4.290746471    4.290600756    0.236188285
    1.103094188    4.279545416    4.279413425    0.243445576
    1.123132265    4.292606531    4.292487237    0.251288428
    1.143170341    4.331437799    4.331330672    0.259998427
    1.163208417    4.396536251    4.396441596    0.269853735
    1.183246493    4.487345104    4.487263923    0.281021748
    1.203284569    4.602050399    4.601983982    0.293506795
    1.223322645    4.737257939    4.737207417    0.307187615
    1.243360721    4.887904890    4.887870893    0.321922590
    1.263398798    5.047681020    5.047663537    0.337661072
    1.283436874    5.209792613    5.209791114    0.354492636
    1.303474950    5.367709079    5.367722817    0.372599161
    1.323513026    5.515848815    5.515877102    0.392134333
    1.343551102    5.650391182    5.650433440    0.413102551
    1.363589178    5.770104434    5.770159931    0.435310297
    1.383627255    5.876660325    5.876727600    0.458418301
    1.403665331    5.973905319    5.973981621    0.482061355
    1.423703407    6.066099049    6.066180284    0.505972092
    1.443741483    6.155853971    6.155935376    0.530067952
    1.463779559    6.242750891    6.242828101    0.554491308
    1.483817635    6.323205070    6.323275059    0.579596280
    1.503855711    6.391557389    6.391619007    0.605878243
    1.523893788    6.441760513    6.441814652    0.633859855
    1.543931864    6.468726094    6.468775489    0.663971143
    1.563969940    6.468967290    6.469015763    0.696473654
    1.584008016    6.441031111    6.441082162    0.731458399
    1.604046092    6.386056583    6.386111837    0.768909285
    1.624084168    6.307985388    6.308043786    0.808804299
    1.644122244    6.212992059    6.213050350    0.851212200
    1.664160321    6.108417413    6.108471641    0.896313190
    1.684198397    6.001653690    6.001700747    0.944284538
    1.704236473    5.899104417    5.899142843    0.995088166
    1.724274549    5.805274824    5.805304634    1.048281486
    1.744312625    5.722245094    5.722267018    1.102936824
    1.764350701    5.649805938    5.649820666    1.157662536
    1.784388778    5.586273765    5.586281505    1.210707238
    1.804426854    5.529667635    5.529668105    1.260194401
    1.824464930    5.478733167    5.478725961    1.304531478
    1.844503006    5.433353420    5.433338548    1.342865435
    1.864541082    5.394214275    5.394192571    1.375276718
    1.884579158    5.362020368    5.361993510    1.402522308
    1.904617234    5.336839888    5.336810043    1.425506217
    1.924655311    5.318095992    5.318065301    1.444853628
    1.944693387    5.305258586    5.305228741    1.460796502
    1.964731463    5.298719876    5.298691920    1.473270205
    1.984769539    5.300171312    5.300145662    1.482009153
    2.004807615    5.312199008    5.312175591    1.486600757
    2.024845691    5.337383205    5.337361586    1.486639597
    2.044883768    5.377447357    5.377426811    1.482043849
    2.064921844    5.432862756    5.432842298    1.473367460
    2.084959920    5.502957744    5.502936177    1.461881279
    2.104997996    5.586227265    5.586203357    1.449364939
    2.125036072    5.680478352    5.680451215    1.437728769
    2.145074148    5.782851765    5.782821304    1.428622352
    2.165112224    5.890191688    5.890158845    1.423156178
    2.185150301    5.999981066    5.999947654    1.421815313
    2.205188377    6.111295254    6.111263474    1.424521212
    2.225226453    6.224967638    6.224939603    1.430678415
    2.245264529    6.342773232    6.342750774    1.439114079
    2.265302605    6.466182906    6.466167641    1.448057155
    2.285340681    6.595459391    6.595452796    1.455431729
    2.305378758    6.729564873    6.729568138    1.459546337
    2.325416834    6.866783294    6.866797009    1.459861934
    2.345454910    7.005564682    7.005588560    1.457286398
    2.365492986    7.145209892    7.145242784    1.453689848
    2.385531062    7.286334499    7.286374751    1.450908303
    2.405569138    7.431086898    7.431132866    1.449849140
    2.425607214    7.582872005    7.582922535    1.450168105
    2.445645291    7.745413470    7.745468231    1.450602159
    2.465683367    7.921591332    7.921650937    1.449700180
    2.485721443    8.112786436    8.112852286    1.446512831
    2.505759519    8.318900563    8.318974422    1.440867510
    2.525797595    8.538617790    8.538701251    1.433165537
    2.545835671    8.769536793    8.769630782    1.423976582
    2.565873747    9.008119738    9.008224124    1.413771569
    2.585911824    9.249510709    9.249623973    1.402916738
    2.605949900    9.487382449    9.487501463    1.391816123
    2.625987976    9.714182232    9.714302377    1.381007415
    2.646026052    9.922068682    9.922184478    1.371081025
    2.666064128   10.104352116   10.104458299    1.362442134
    2.686102204   10.256906689   10.256999281    1.355054965
    2.706140281   10.379073106   10.379149986    1.348329428
    2.726178357   10.473693526   10.473754293    1.341251505
    2.746216433   10.546078399   10.546123753    1.332720104
    2.766254509   10.602117802   10.602148847    1.321898355
    2.786292585   10.646207203   10.646224905    1.308397294
    2.806330661   10.679780512   10.679785302    1.292300070
    2.826368737   10.700969555   10.700961131    1.274152089
    2.846406814   10.705335904   10.705313296    1.254948232
    2.866444890   10.687054474   10.687016403    1.236021738
    2.886482966   10.639941972   10.639887381    1.218782719
    2.906521042   10.558331349   10.558259897    1.204411013
    2.926559118   10.438125985   10.438038355    1.193668884
    2.946597194   10.277924206   10.277822195    1.186900267
    2.966635271   10.079572031   10.079458480    1.184154133
    2.986673347    9.847780646    9.847659195    1.185326813
    3.006711423    9.589223069    9.589097716    1.190254820
    3.026749499    9.311694151    9.311568727    1.198740617
    3.046787575    9.023426384    9.023304181    1.210534731
    3.066825651    8.732378523    8.732262190    1.225324852
    3.086863727    8.445528254    8.445419855    1.242761473
    3.106901804    8.168466691    8.168367808    1.262501795
    3.126939880    7.905522358    7.905434196    1.284259168
    3.146977956    7.660235572    7.660159003    1.307873991
    3.167016032    7.435680865    7.435616398    1.333386392
    3.187054108    7.234321538    7.234269280    1.361051731
    3.207092184    7.057589592    7.057549284    1.391284076
    3.227130261    6.905656694    6.905627806    1.424570228
    3.247168337    6.777690220    6.777672047    1.461389422
    3.267206413    6.672517538    6.672509276    1.502143538
    3.287244489    6.589381268    6.589382073    1.547102838
    3.307282565    6.528463913    6.528472945    1.596386377
    3.327320641    6.490950177    6.490966604    1.649998816
    3.347358717    6.478498569    6.478521567    1.707930247
    3.367396794    6.492210097    6.492238835    1.770270782
    3.387434870    6.531466068    6.531499637    1.837232764
    3.407472946    6.593138996    6.593176273    1.909010499
    3.427511022    6.671611246    6.671650729    1.985519139
    3.447549098    6.759760387    6.759800142    2.066115411
    3.467587174    6.850486664    6.850524475    2.149405773
    3.487625251    6.937876894    6.937910603    2.233250020
    3.507663327    7.017442320    7.017470219    2.315040972
    3.527701403    7.085731339    7.085752464    2.392221512
    3.547739479    7.139927816    7.139942032    2.462801871
    3.567777555    7.177685747    7.177693572    2.525547966
    3.587815631    7.197181851    7.197184090    2.579725132
    3.607853707    7.197396719    7.197394073    2.624656833
    3.627891784    7.178585439    7.178578293    2.659531616
    3.647929860    7.142649200    7.142637615    2.683695488
    3.667967936    7.092987895    7.092971762    2.697235277
    3.688006012    7.033678604    7.033657871    2.701374094
    3.708044088    6.968289527    6.968264439    2.698368647
    3.728082164    6.898901020    6.898872301    2.691000768
    3.748120240    6.825870303    6.825839233    2.681955182
    3.768158317    6.748557959    6.748526280    2.673337727
    3.788196393    6.666665467    6.666635121    2.666472835
    3.808234469    6.581389427    6.581362249    2.661936547
    3.828272545    6.495673647    6.495651169    2.659657199
    3.848310621    6.413409011    6.413392439    2.659045218
    3.868348697    6.338120957    6.338111199    2.659317274
    3.888386774    6.271971905    6.271969554    2.660072477
    3.908424850    6.215579008    6.215584289    2.661810125
    3.928462926    6.168576379    6.168589130    2.665976935
    3.948501002    6.130464282    6.130483977    2.674521464
    3.968539078    6.101233335    6.101259080    2.689332590
    3.988577154    6.081512603    6.081543112    2.711887652
    4.008615230    6.072318827    6.072352460    2.743121480
    4.028653307    6.074583142    6.074618042    2.783351376
    4.048691383    6.088582519    6.088616817    2.832140333
    4.068729459    6.113440750    6.113472739    2.888105032
    4.088767535    6.146933995    6.146962238    2.948765294
    4.108805611    6.185782270    6.185805677    3.010592196
    4.128843687    6.226363692    6.226381606    3.069454628
    4.148881764    6.265442246    6.265454539    3.121571139
    4.168919840    6.300477482    6.300484598    3.164717008
    4.188957916    6.329543550    6.329546468    3.199030796
    4.208995992    6.351201009    6.351201143    3.226854241
    4.229034068    6.364461288    6.364460309    3.251730604
    4.249072144    6.368755803    6.368755342    3.277260724
    4.269110220    6.363905404    6.363906686    3.306388850
    4.289148297    6.350158730    6.350162348    3.341189876
    4.309186373    6.328257816    6.328263762    3.382945215
    4.329224449    6.299411288    6.299419234    3.432309854
    4.349262525    6.265112661    6.265122310    3.489457841
    4.369300601    6.226885286    6.226896655    3.554169907
    4.389338677    6.186127051    6.186140509    3.625907640
    4.409376754    6.144101695    6.144117720    3.703914081
    4.429414830    6.101942698    6.101961478    3.787299681
    4.449452906    6.060556396    6.060577551    3.875069197
    4.469490982    6.020444834    6.020467409    3.966112256
    4.489529058    5.981561129    5.981583845    4.059189487
