# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    5.585691725    5.580509174    0.000322429
    0.021038076    6.072563551    6.071769415    0.001240257
    0.041076152    4.351441902    4.350330847    0.002246408
    0.061114228    3.567609859    3.566585319    0.003217614
    0.081152305    3.112615764    3.111678075    0.004167055
    0.101190381    2.815964915    2.815093016    0.005096883
    0.121228457    2.614219459    2.613399985    0.006006248
    0.141266533    2.479229580    2.478455185    0.006895367
    0.161304609    2.397137696    2.396403930    0.007766679
    0.181342685    2.360310067    2.359613288    0.008624678
    0.201380762    2.363655777    2.362991865    0.009475285
    0.221418838    2.403023054    2.402386878    0.010324937
    0.241456914    2.474543378    2.473929396    0.011179590
    0.261494990    2.573656485    2.573060839    0.012043996
    0.281533066    2.692735132    2.692158944    0.012921434
    0.301571142    2.817759375    2.817211840    0.013813822
    0.321609218    2.926664641    2.926163623    0.014722032
    0.341647295    2.992582086    2.992150299    0.015646283
    0.361685371    2.992410452    2.992067723    0.016586519
    0.381723447    2.916148223    2.915903654    0.017542745
    0.401761523    2.770373708    2.770222236    0.018515268
    0.421799599    2.573889863    2.573814714    0.019504809
    0.441837675    2.349873681    2.349852430    0.020512495
    0.461875752    2.119610592    2.119621371    0.021539770
    0.481913828    1.899353998    1.899379504    0.022588297
    0.501951904    1.699509213    1.699537981    0.023659891
    0.521989980    1.525214314    1.525240002    0.024756497
    0.542028056    1.377664727    1.377684596    0.025880202
    0.562066132    1.255602347    1.255615790    0.027033240
    0.582104208    1.156559856    1.156567336    0.028218008
    0.602142285    1.077718070    1.077720469    0.029437097
    0.622180361    1.016412997    1.016411272    0.030693391
    0.642218437    0.970376900    0.970371931    0.031990242
    0.662256513    0.937789052    0.937781593    0.033331680
    0.682294589    0.917205857    0.917196541    0.034722532
    0.702332665    0.907439897    0.907429252    0.036168328
    0.722370741    0.907447780    0.907436229    0.037675058
    0.742408818    0.916258295    0.916246132    0.039248930
    0.762446894    0.932933586    0.932920955    0.040896312
    0.782484970    0.956538296    0.956525211    0.042623828
    0.802523046    0.986111694    0.986098118    0.044438462
    0.822561122    1.020664243    1.020650186    0.046347636
    0.842599198    1.059222342    1.059207937    0.048359350
    0.862637275    1.100935885    1.100921396    0.050482476
    0.882675351    1.145246066    1.145231819    0.052727112
    0.902713427    1.192066310    1.192052591    0.055104667
    0.922751503    1.241875660    1.241862641    0.057627304
    0.942789579    1.295612832    1.295600606    0.060306624
    0.962827655    1.354323329    1.354312042    0.063152150
    0.982865731    1.418632077    1.418622097    0.066170380
    1.002903808    1.488224918    1.488216935    0.069364512
    1.022941884    1.561564437    1.561559403    0.072734850
    1.042979960    1.636009471    1.636008376    0.076280672
    1.063018036    1.708352281    1.708355862    0.080004214
    1.083056112    1.775591728    1.775600244    0.083915819
    1.103094188    1.835635434    1.835648633    0.088037665
    1.123132265    1.887656791    1.887674046    0.092402916
    1.143170341    1.932016478    1.932036993    0.097048267
    1.163208417    1.969879177    1.969902168    0.102001184
    1.183246493    2.002765466    2.002790203    0.107266976
