# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000***************-2531.882371122    4.692472921
    0.021038076  -14.745765779    3.804284840    4.722069579
    0.041076152    5.767204107    7.727088697    4.722206349
    0.061114228    8.866593175    8.360882975    4.722413825
    0.081152305    9.520720043    8.534916203    4.722724260
    0.101190381    9.599263412    8.596805829    4.723147458
    0.121228457    9.520118542    8.624866263    4.723691180
    0.141266533    9.396134681    8.642503208    4.724361277
    0.161304609    9.251849692    8.657823245    4.725160783
    0.181342685    9.083405509    8.673655556    4.726089969
    0.201380762    8.883168841    8.690757214    4.727147236
    0.221418838    8.652757275    8.709095824    4.728330243
    0.241456914    8.407548277    8.728442381    4.729636777
    0.261494990    8.172610332    8.748629219    4.731065195
    0.281533066    7.973257524    8.769612221    4.732614531
    0.301571142    7.826314582    8.791428481    4.734284415
    0.321609218    7.736624843    8.814129275    4.736074942
    0.341647295    7.699057486    8.837741829    4.737986557
    0.361685371    7.703162148    8.862268831    4.740019968
    0.381723447    7.737440542    8.887705175    4.742176096
    0.401761523    7.791855666    8.914051918    4.744456038
    0.421799599    7.858708991    8.941320924    4.746861039
    0.441837675    7.932565728    8.969532676    4.749392474
    0.461875752    8.009809841    8.998711890    4.752051832
    0.481913828    8.088150470    9.028884128    4.754840699
    0.501951904    8.166206368    9.060073828    4.757760743
    0.521989980    8.243193771    9.092300674    4.760813695
    0.542028056    8.318703625    9.125569432    4.764001328
    0.562066132    8.392545068    9.159851004    4.767325423
    0.582104208    8.464635705    9.195058801    4.770787743
    0.602142285    8.534926904    9.231030352    4.774390011
    0.622180361    8.603360226    9.267526845    4.778133924
    0.642218437    8.669855881    9.304260962    4.782021197
    0.662256513    8.734332114    9.340951621    4.786053623
    0.682294589    8.796745410    9.377384071    4.790233072
    0.702332665    8.857130544    9.413439639    4.794561360
    0.722370741    8.915616270    9.449069841    4.799040002
    0.742408818    8.972403351    9.484225673    4.803669933
    0.762446894    9.027713522    9.518789526    4.808451349
