# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    4.569770165
    0.021038076  -57.279548528  -57.321945057    4.829770614
    0.041076152   -6.202524128   -6.214284297    4.830259534
    0.061114228    3.352464150    3.346901925    4.830538078
    0.081152305    6.597060558    6.593781495    4.830892907
    0.101190381    8.036887230    8.034718194    4.831358284
    0.121228457    8.786559504    8.785027668    4.831945290
    0.141266533    9.222819410    9.221695759    4.832661943
    0.161304609    9.498018225    9.497176538    4.833515290
    0.181342685    9.680306130    9.679669901    4.834511077
    0.201380762    9.801391478    9.800911307    4.835653219
    0.221418838    9.875539334    9.875182826    4.836943480
    0.241456914    9.907593310    9.907340674    4.838381627
    0.261494990    9.896059533    9.895901369    4.839966035
    0.281533066    9.834655585    9.834590353    4.841694475
    0.301571142    9.715285597    9.715315164    4.843564779
    0.321609218    9.533903521    9.534026684    4.845575302
    0.341647295    9.297464415    9.297670531    4.847725161
    0.361685371    9.027173188    9.027439583    4.850014315
    0.381723447    8.754142274    8.754437711    4.852443495
    0.401761523    8.509339000    8.509631543    4.855014023
    0.421799599    8.314618687    8.314883415    4.857727592
    0.441837675    8.179625714    8.179848699    4.860586057
    0.461875752    8.103683833    8.103861761    4.863591314
    0.481913828    8.079465310    8.079602284    4.866745254
    0.501951904    8.096489369    8.096593057    4.870049790
    0.521989980    8.143836763    8.143915400    4.873506898
    0.542028056    8.211874440    8.211935192    4.877118640
    0.562066132    8.293010744    8.293059162    4.880887192
    0.582104208    8.381747310    8.381787407    4.884814870
    0.602142285    8.474363740    8.474398296    4.888904190
    0.622180361    8.568476641    8.568507538    4.893157935
    0.642218437    8.662600497    8.662628998    4.897579171
    0.662256513    8.755776254    8.755803210    4.902171121
    0.682294589    8.847305135    8.847331123    4.906936909
    0.702332665    8.936598405    8.936623801    4.911879256
    0.722370741    9.023122778    9.023147797    4.917000337
    0.742408818    9.106397379    9.106422114    4.922301845
    0.762446894    9.186001501    9.186026001    4.927785179
    0.782484970    9.261584885    9.261609239    4.933451547
    0.802523046    9.332897831    9.332922235    4.939301966
    0.822561122    9.399848870    9.399873626    4.945337246
    0.842599198    9.462574555    9.462600010    4.951558004
    0.862637275    9.521490342    9.521516789    4.957964573
    0.882675351    9.577272901    9.577300502    4.964556598
    0.902713427    9.630716427    9.630745217    4.971332230
    0.922751503    9.682445243    9.682475224    4.978287164
    0.942789579    9.732550888    9.732582156    4.985414133
    0.962827655    9.780305415    9.780338222    4.992703413
    0.982865731    9.824120631    9.824155332    5.000144135
    1.002903808    9.861849153    9.861886019    5.007725920
    1.022941884    9.891386101    9.891425081    5.015440867
    1.042979960    9.911381703    9.911422259    5.023285803
    1.063018036    9.921785483    9.921826615    5.031263372
    1.083056112    9.923982447    9.924022900    5.039380001
    1.103094188    9.920456918    9.920495468    5.047639800
    1.123132265    9.914142476    9.914178154    5.056035613
    1.143170341    9.907752628    9.907784799    5.064540952
    1.163208417    9.903346821    9.903375114    5.073107844
    1.183246493    9.902206151    9.902230327    5.081673812
    1.203284569    9.904912380    9.904932241    5.090176658
    1.223322645    9.911473686    9.911489118    5.098570891
    1.243360721    9.921458003    9.921469144    5.106837544
    1.263398798    9.934225972    9.934233388    5.114982327
    1.283436874    9.949278115    9.949282811    5.123023979
    1.303474950    9.966525715    9.966528959    5.130979893
    1.323513026    9.986302769    9.986305819    5.138856738
    1.343551102   10.009221015   10.009224839    5.146650517
    1.363589178   10.036116632   10.036121639    5.154353595
    1.383627255   10.068078341   10.068084257    5.161960829
    1.403665331   10.106299375   10.106305403    5.169470567
    1.423703407   10.151708812   10.151714063    5.176884295
    1.443741483   10.204684581   10.204688541    5.184210226
    1.463779559   10.265085183   10.265087954    5.191470120
    1.483817635   10.332482686   10.332484931    5.198701744
    1.503855711   10.406329609   10.406332266    5.205950535
    1.523893788   10.485978054   10.485981988    5.213255355
    1.543931864   10.570693683   10.570699400    5.220640166
    1.563969940   10.659790859   10.659798361    5.228116470
    1.584008016   10.752824167   10.752832967    5.235694460
    1.604046092   10.849665921   10.849675171    5.243400039
    1.624084168   10.950390565   10.950399226    5.251287281
    1.644122244   11.055032584   11.055039574    5.259427074
    1.664160321   11.163325745   11.163330048    5.267867185
    1.684198397   11.274499640   11.274500379    5.276589022
    1.704236473   11.387134771   11.387131271    5.285492723
    1.724274549   11.498955514   11.498947378    5.294420550
    1.744312625   11.606466516   11.606453689    5.303209807
    1.764350701   11.704599031   11.704581805    5.311756445
    1.784388778   11.786740271   11.786719213    5.320059569
    1.804426854   11.845462519   11.845438404    5.328220924
    1.824464930   11.873983297   11.873957064    5.336401841
    1.844503006   11.867955186   11.867927864    5.344762830
    1.864541082   11.826885125   11.826857662    5.353409094
    1.884579158   11.754658634   11.754631786    5.362361804
    1.904617234   11.659120981   11.659095518    5.371574637
    1.924655311   11.550870137   11.550847355    5.380991295
    1.944693387   11.441243768   11.441225936    5.390603871
    1.964731463   11.339696820   11.339687098    5.400473086
    1.984769539   11.251626392   11.251628177    5.410712895
    2.004807615   11.177882668   11.177898698    5.421469899
    2.024845691   11.116015341   11.116046924    5.432914876
    2.044883768   11.062160760   11.062207331    5.445235864
    2.064921844   11.012534329   11.012593355    5.458614915
    2.084959920   10.964231164   10.964298330    5.473193939
    2.104997996   10.915627972   10.915697492    5.489058608
    2.125036072   10.866688037   10.866753116    5.506252660
    2.145074148   10.819000042   10.819053598    5.524796900
    2.165112224   10.775201205   10.775236806    5.544685223
    2.185150301   10.737862308   10.737875086    5.565864825
    2.205188377   10.708390281   10.708377640    5.588227329
    2.225226453   10.686572817   10.686534909    5.611622619
    2.245264529   10.670946487   10.670886389    5.635885120
    2.265302605   10.659512463   10.659435847    5.660855269
    2.285340681   10.650162160   10.650076293    5.686385483
    2.305378758   10.640678619   10.640590859    5.712335071
    2.325416834   10.628677242   10.628593578    5.738574724
    2.345454910   10.611889723   10.611814000    5.765018966
    2.365492986   10.588853741   10.588787786    5.791673380
    2.385531062   10.559538725   10.559483084    5.818652134
    2.405569138   10.525273730   10.525228484    5.846138235
    2.425607214   10.487936206   10.487901415    5.874315978
    2.445645291   10.448965293   10.448940963    5.903330483
    2.465683367   10.408625333   10.408611130    5.933288034
    2.485721443   10.365475423   10.365470532    5.964258706
    2.505759519   10.315881659   10.315884893    5.996246615
    2.525797595   10.253701780   10.253711791    6.029139420
    2.545835671   10.170576551   10.170591938    6.062673859
    2.565873747   10.057146554   10.057165804    6.096439966
    2.585911824    9.904956892    9.904978241    6.129923971
    2.605949900    9.708280676    9.708302054    6.162575464
    2.625987976    9.465056457    9.465075646    6.193876230
    2.646026052    9.176641406    9.176656394    6.223385561
    2.666064128    8.846740559    8.846749928    6.250740594
    2.686102204    8.480204080    8.480207283    6.275607531
    2.706140281    8.082227492    8.082224896    6.297612950
    2.726178357    7.658052917    7.658045608    6.316310340
    2.746216433    7.212892915    7.212882448    6.331227071
    2.766254509    6.751746157    6.751734418    6.341988596
    2.786292585    6.279068559    6.279057754    6.348462384
    2.806330661    5.798582653    5.798575230    6.350854472
    2.826368737    5.313465660    5.313463990    6.349733660
    2.846406814    4.826920007    4.826925802    6.345994661
    2.866444890    4.343076808    4.343090529    6.340751831
    2.886482966    3.868001480    3.868022105    6.335124252
    2.906521042    3.410118953    3.410144257    6.329935931
    2.926559118    2.979456872    2.979484048    6.325487081
    2.946597194    2.585969480    2.585995823    6.321564455
    2.966635271    2.237899382    2.237922796    6.317686244
    2.986673347    1.940890375    1.940909600    6.313405270
    3.006711423    1.697753205    1.697767764    6.308491450
    3.026749499    1.508412122    1.508422137    6.302947705
    3.046787575    1.369949040    1.369955056    6.296932325
    3.066825651    1.277051196    1.277054090    6.290664442
    3.086863727    1.222981666    1.222982537    6.284325745
    3.106901804    1.200782421    1.200782424    6.277956608
    3.126939880    1.204257714    1.204257885    6.271389188
    3.146977956    1.228433410    1.228434561    6.264278685
    3.167016032    1.269486584    1.269489290    6.256244796
    3.187054108    1.324354001    1.324358584    6.247058138
    3.207092184    1.390247683    1.390254166    6.236769896
    3.227130261    1.464248499    1.464256591    6.225720208
    3.247168337    1.543141995    1.543151154    6.214434842
    3.267206413    1.623613478    1.623623044    6.203471904
    3.287244489    1.702692049    1.702701386    6.193293292
    3.307282565    1.778117459    1.778126038    6.184214275
    3.327320641    1.848432212    1.848439621    6.176443959
    3.347358717    1.912921429    1.912927313    6.170176101
    3.367396794    1.971536645    1.971540642    6.165636059
    3.387434870    2.024686678    2.024688431    6.163008227
    3.407472946    2.072759311    2.072758568    6.162273536
    3.427511022    2.115515059    2.115511782    6.163072252
    3.447549098    2.151696144    2.151690542    6.164708916
    3.467587174    2.179131296    2.179123759    6.166346793
    3.487625251    2.195395575    2.195386571    6.167314425
    3.507663327    2.198831493    2.198821498    6.167328827
    3.527701403    2.189520180    2.189509703    6.166466012
    3.547739479    2.169698855    2.169688516    6.164920631
    3.567777555    2.143279376    2.143269970    6.162786443
    3.587815631    2.114607527    2.114599984    6.160040958
    3.607853707    2.087155924    2.087151163    6.156702776
    3.627891784    2.062875048    2.062873790    6.152979703
    3.647929860    2.042329029    2.042331649    6.149265990
    3.667967936    2.025220081    2.025226550    6.146014093
    3.688006012    2.010891378    2.010901286    6.143612592
    3.708044088    1.998590600    1.998603251    6.142348966
    3.728082164    1.987484992    1.987499523    6.142433683
    3.748120240    1.976643655    1.976659148    6.144038467
    3.768158317    1.965176560    1.965192104    6.147324320
    3.788196393    1.952410726    1.952425451    6.152441604
    3.808234469    1.937882625    1.937895763    6.159499241
    3.828272545    1.921189696    1.921200692    6.168527957
    3.848310621    1.901906990    1.901915620    6.179464543
    3.868348697    1.879620171    1.879626573    6.192170304
    3.888386774    1.853977654    1.853982219    6.206486006
    3.908424850    1.824721590    1.824724756    6.222304282
    3.928462926    1.791744999    1.791747072    6.239633171
    3.948501002    1.755175525    1.755176622    6.258643335
    3.968539078    1.715363535    1.715363641    6.279680764
    3.988577154    1.672676936    1.672675987    6.303206146
    4.008615230    1.627262428    1.627260343    6.329663605
    4.028653307    1.579085674    1.579082361    6.359343048
    4.048691383    1.528310153    1.528305535    6.392300235
    4.068729459    1.475706431    1.475700527    6.428347850
    4.088767535    1.422738114    1.422731118    6.467093289
    4.108805611    1.371218370    1.371210650    6.508006672
    4.128843687    1.322730471    1.322722462    6.550521449
    4.148881764    1.278180219    1.278172271    6.594150846
    4.168919840    1.237714874    1.237707141    6.638562106
    4.188957916    1.200908019    1.200900440    6.683558526
    4.208995992    1.166988842    1.166981221    6.729001145
    4.229034068    1.135045927    1.135038050    6.774766735
    4.249072144    1.104232819    1.104224557    6.820792337
    4.269110220    1.073959125    1.073950472    6.867151695
    4.289148297    1.044006194    1.043997246    6.914073711
    4.309186373    1.014508464    1.014499379    6.961869648
    4.329224449    0.985803670    0.985794651    7.010806312
    4.349262525    0.958250090    0.958241406    7.060993288
    4.369300601    0.932130151    0.932122150    7.112335732
    4.389338677    0.907679434    0.907672527    7.164551473
    4.409376754    0.885161953    0.885156559    7.217199108
    4.429414830    0.864851354    0.864847830    7.269656623
    4.449452906    0.846870977    0.846869531    7.321051014
    4.469490982    0.831012202    0.831012834    7.370226994
    4.489529058    0.816675699    0.816678186    7.415839890
    4.509567134    0.802955574    0.802959517    7.456540816
    4.529605210    0.788793367    0.788798284    7.491149722
    4.549643287    0.773143383    0.773148814    7.518776950
    4.569681363    0.755118884    0.755124464    7.538924228
    4.589719439    0.734053144    0.734058626    7.551563368
    4.609757515    0.709415823    0.709421062    7.557148839
    4.629795591    0.680665266    0.680670176    7.556546965
    4.649833667    0.647227204    0.647231699    7.550906978
    4.669871743    0.608695116    0.608699055    7.541514744
    4.689909820    0.565144386    0.565147550    7.529659715
    4.709947896    0.517340362    0.517342475    7.516533249
    4.729985972    0.466686661    0.466687458    7.503181824
    4.750024048    0.414963452    0.414962759    7.490506526
    4.770062124    0.364056739    0.364054543    7.479219522
    4.790100200    0.315806072    0.315802543    7.469685615
    4.810138277    0.271899024    0.271894482    7.461733077
    4.830176353    0.233672058    0.233666907    7.454597822
    4.850214429    0.201816892    0.201811544    7.447056944
    4.870252505    0.176154727    0.176149532    7.437678932
    4.890290581    0.155637174    0.155632372    7.425093894
    4.910328657    0.138592006    0.138587717    7.408205447
    4.930366733    0.123110086    0.123106343    7.386274286
    4.950404810    0.107425853    0.107422668    7.358834090
    4.970442886    0.090151786    0.090149184    7.325448912
    4.990480962    0.070310294    0.070308298    7.285373255
    5.010519038    0.047241274    0.047239843    7.237270489
    5.030557114    0.020514811    0.020513782    7.179200792
    5.050595190   -0.010092266   -0.010093191    7.108933601
    5.070633267   -0.044579162   -0.044580377    7.024374761
    5.090671343   -0.082714528   -0.082716458    6.923869732
    5.110709419   -0.124083751   -0.124086763    6.806374878
    5.130747495   -0.168196642   -0.168200958    6.671615204
    5.150785571   -0.214613607   -0.214619212    6.520207080
    5.170823647   -0.263023926   -0.263030533    6.353542266
    5.190861723   -0.313199469   -0.313206554    6.173285227
    5.210899800   -0.364759971   -0.364766875    5.980650802
    5.230937876   -0.416805133   -0.416811219    5.775867689
    5.250975952   -0.467651129   -0.467655915    5.558112533
    5.271014028   -0.514936346   -0.514939579    5.325868087
    5.291052104   -0.556140016   -0.556141639    5.077459922
    5.311090180   -0.589249083   -0.589249153    4.811594078
    5.331128257   -0.613187425   -0.613186037    4.527824025
    5.351166333   -0.627827853   -0.627825121    4.226855383
    5.371204409   -0.633718098   -0.633714158    3.910638180
    5.391242485   -0.631746839   -0.631741862    3.582333166
    5.411280561   -0.622877391   -0.622871565    3.246260975
    5.431318637   -0.607988205   -0.607981702    2.907817608
    5.451356713   -0.587831416   -0.587824379    2.573243206
    5.471394790   -0.563093762   -0.563086317    2.249160548
    5.491432866   -0.534503647   -0.534495933    1.941865596
    5.511470942   -0.502919586   -0.502911776    1.656493522
    5.531509018   -0.469360767   -0.469353069    1.396411363
    5.551547094   -0.434954755   -0.434947394    1.163139674
    5.571585170   -0.400802915   -0.400796114    0.956691419
    5.591623246   -0.367833426   -0.367827382    0.775975636
    5.611661323   -0.336746264   -0.336741120    0.619105494
    5.631699399   -0.308082127   -0.308077952    0.483682364
    5.651737475   -0.282343900   -0.282340667    0.367091640
    5.671775551   -0.260079211   -0.260076801    0.266723466
    5.691813627   -0.241899877   -0.241898091    0.180084863
    5.711851703   -0.228472071   -0.228470652    0.104885479
    5.731889780   -0.220484649   -0.220483315    0.039136598
    5.751927856   -0.218557406   -0.218555908   -0.018807557
    5.771965932   -0.223085489   -0.223083673   -0.070316520
    5.792004008   -0.234081997   -0.234079844   -0.116588705
    5.812042084   -0.251083104   -0.251080719   -0.158705211
    5.832080160   -0.273144714   -0.273142278   -0.197650988
    5.852118236   -0.298945403   -0.298943105   -0.234378663
    5.872156313   -0.326993994   -0.326991995   -0.269897628
    5.892194389   -0.355886854   -0.355885281   -0.305235766
    5.912232465   -0.384515159   -0.384514121   -0.341153451
    5.932270541   -0.412154356   -0.412153938   -0.377740804
    5.952308617   -0.438448515   -0.438448776   -0.414218011
    5.972346693   -0.463340960   -0.463341926   -0.449095808
    5.992384770   -0.486985736   -0.486987403   -0.480531300
    6.012422846   -0.509649139   -0.509651479   -0.506659980
    6.032460922   -0.531597836   -0.531600798   -0.525862239
    6.052498998   -0.552993218   -0.552996726   -0.536986045
    6.072537074   -0.573851236   -0.573855188   -0.539464804
    6.092575150   -0.594099566   -0.594103831   -0.533275652
    6.112613226   -0.613687941   -0.613692353   -0.518828085
    6.132651303   -0.632679739   -0.632684104   -0.496930481
    6.152689379   -0.651278420   -0.651282539   -0.468833266
    6.172727455   -0.669784198   -0.669787886   -0.436192880
    6.192765531   -0.688528819   -0.688531911   -0.400845894
    6.212803607   -0.707852245   -0.707854582   -0.364458951
    6.232841683   -0.728116429   -0.728117840   -0.328235442
    6.252879760   -0.749670432   -0.749670740   -0.292821819
    6.272917836   -0.772696256   -0.772695313   -0.258405725
    6.292955912   -0.796969157   -0.796966897   -0.224869042
    6.312993988   -0.821670154   -0.821666636   -0.191896232
    6.333032064   -0.845411893   -0.845407309   -0.159086131
    6.353070140   -0.866535814   -0.866530449   -0.126125039
    6.373108216   -0.883552741   -0.883546897   -0.092934340
    6.393146293   -0.895490033   -0.895483942   -0.059668249
    6.413184369   -0.901990538   -0.901984321   -0.026563709
    6.433222445   -0.903189472   -0.903183151    0.006261394
    6.453260521   -0.899496442   -0.899490003    0.038977889
    6.473298597   -0.891390922   -0.891384377    0.072117877
    6.493336673   -0.879284689   -0.879278124    0.106490254
    6.513374749   -0.863471766   -0.863465369    0.142940954
    6.533412826   -0.844158434   -0.844152479    0.182059631
    6.553450902   -0.821528056   -0.821522853    0.223982962
    6.573488978   -0.795796506   -0.795792325    0.268388026
    6.593527054   -0.767262401   -0.767259397    0.314635547
    6.613565130   -0.736370920   -0.736369110    0.361933037
    6.633603206   -0.703774845   -0.703774132    0.409447181
    6.653641283   -0.670354264   -0.670354500    0.456407853
    6.673679359   -0.637168801   -0.637169839    0.502224643
    6.693717435   -0.605353540   -0.605355260    0.546535009
    6.713755511   -0.575998558   -0.576000875    0.589119207
    6.733793587   -0.550036129   -0.550038981    0.629740397
    6.753831663   -0.528130502   -0.528133844    0.668042948
    6.773869739   -0.510575150   -0.510578945    0.703594826
    6.793907816   -0.497235650   -0.497239863    0.736043562
    6.813945892   -0.487575051   -0.487579633    0.765279115
    6.833983968   -0.480758998   -0.480763865    0.791502017
    6.854022044   -0.475810155   -0.475815173    0.815135990
    6.874060120   -0.471775437   -0.471780429    0.836601368
    6.894098196   -0.467863314   -0.467868099    0.856084452
    6.914136273   -0.463506211   -0.463510643    0.873464936
    6.934174349   -0.458324896   -0.458328896    0.888422326
    6.954212425   -0.452027304   -0.452030856    0.900604516
    6.974250501   -0.444320094   -0.444323225    0.909756166
    6.994288577   -0.434891448   -0.434894190    0.915784626
    7.014326653   -0.423467393   -0.423469761    0.918781579
    7.034364729   -0.409911959   -0.409913936    0.919030647
    7.054402806   -0.394329725   -0.394331277    0.917029393
    7.074440882   -0.377124106   -0.377125210    0.913520547
