# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000   21.649567781   21.758283501    0.020460623
    0.021038076    3.329523120    3.309204206    0.176822465
    0.041076152    2.310974580    2.301662447    0.136356936
    0.061114228    1.703159831    1.698042295    0.101839072
    0.081152305    1.313311683    1.310060673    0.079294734
    0.101190381    1.048874282    1.046596155    0.064181408
    0.121228457    0.861224081    0.859527616    0.053633111
    0.141266533    0.723736348    0.722427478    0.046052399
    0.161304609    0.620885164    0.619857073    0.040512810
    0.181342685    0.543024922    0.542213764    0.036443120
    0.201380762    0.483820461    0.483185640    0.033469967
    0.221418838    0.438917772    0.438432415    0.031337176
    0.241456914    0.405217900    0.404863936    0.029862352
    0.261494990    0.380457939    0.380223418    0.028912149
    0.281533066    0.362956167    0.362833755    0.028387349
    0.301571142    0.351449446    0.351435564    0.028213376
    0.321609218    0.344985172    0.345079521    0.028333994
    0.341647295    0.342847153    0.343052502    0.028706981
    0.361685371    0.344503627    0.344825791    0.029301109
    0.381723447    0.349570410    0.350018379    0.030093998
    0.401761523    0.357784806    0.358371037    0.031070617
    0.421799599    0.368987537    0.369728393    0.032222243
    0.441837675    0.383110880    0.384027245    0.033545753
    0.461875752    0.400171834    0.401289928    0.035043133
    0.481913828    0.420269555    0.421621977    0.036721075
    0.501951904    0.443586497    0.445213522    0.038590452
    0.521989980    0.470392770    0.472343915    0.040665392
    0.542028056    0.501053044    0.503388875    0.042961568
    0.562066132    0.536034808    0.538828872    0.045493415
    0.582104208    0.575915883    0.579256469    0.048270413
    0.602142285    0.621387850    0.625379009    0.051293711
    0.622180361    0.673251458    0.678012326    0.054555452
    0.642218437    0.732402286    0.738063349    0.058042210
    0.662256513    0.799812931    0.806507712    0.061739451
    0.682294589    0.876529750    0.884380623    0.065629459
    0.702332665    0.963700767    0.972797883    0.069679347
    0.722370741    1.062609258    1.072981500    0.073829182
    0.742408818    1.174611858    1.186189847    0.077998127
    0.762446894    1.300847155    1.313424640    0.082114546
    0.782484970    1.441664158    1.454876344    0.086152333
    0.802523046    1.595887670    1.609233005    0.090145852
    0.822561122    1.760201880    1.773121230    0.094171678
    0.842599198    1.929033531    1.941026158    0.098310583
    0.862637275    2.095243925    2.105969875    0.102615233
    0.882675351    2.251560282    2.260879096    0.107102696
    0.902713427    2.392152770    2.400072932    0.111774205
    0.922751503    2.513593711    2.520143129    0.116646878
    0.942789579    2.614872135    2.619942264    0.121773972
