# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    5.178416715
    0.021038076  -24.696195080  -24.179109731    4.973169749
    0.041076152    0.719263508    0.846704482    4.878081829
    0.061114228    5.466243998    5.516785660    4.846341887
    0.081152305    7.130225392    7.152903456    4.833823271
    0.101190381    7.913267660    7.922773605    4.828604516
    0.121228457    8.353820521    8.356074800    4.826749303
    0.141266533    8.634340131    8.632182444    4.826679894
    0.161304609    8.830212480    8.825172925    4.827661131
    0.181342685    8.977084629    8.970060011    4.829309649
    0.201380762    9.093578875    9.085129725    4.831409278
    0.221418838    9.190220965    9.180716085    4.833832216
    0.241456914    9.273364970    9.263057536    4.836501310
    0.261494990    9.347072385    9.336142614    4.839370140
    0.281533066    9.414074717    9.402655034    4.842411639
    0.301571142    9.476294840    9.464485378    4.845611199
    0.321609218    9.535143216    9.523021709    4.848962325
    0.341647295    9.591693506    9.579321808    4.852463817
    0.361685371    9.646790800    9.634219288    4.856117886
    0.381723447    9.701120706    9.688391323    4.859928865
    0.401761523    9.755254871    9.742403243    4.863902257
    0.421799599    9.809681711    9.796738615    4.868043981
    0.441837675    9.864827414    9.851819751    4.872359654
    0.461875752    9.921070139    9.908021484    4.876853810
    0.481913828    9.978748938    9.965679678    4.881528938
    0.501951904   10.038168077   10.025095092    4.886384261
    0.521989980   10.099596689   10.086532445    4.891414245
    0.542028056   10.163263131   10.150213988    4.896607051
    0.562066132   10.229342974   10.216306415    4.901943484
    0.582104208   10.297939512   10.284899919    4.907397449
    0.602142285   10.369056526   10.355979097    4.912938858
    0.622180361   10.442565428   10.429387990    4.918538490
    0.642218437   10.518172672   10.504795571    4.924171495
    0.662256513   10.595394846   10.581669820    4.929815261
    0.682294589   10.673538778   10.659258523    4.935442739
    0.702332665   10.751655181   10.736545892    4.941021381
    0.722370741   10.828406233   10.812126631    4.946528048
    0.742408818   10.901815259   10.883968811    4.951975063
    0.762446894   10.968977053   10.949147683    4.957425600
    0.782484970   11.025928221   11.003746066    4.962979476
    0.802523046   11.067903145   11.043128758    4.968734262
    0.822561122   11.090104813   11.062695521    4.974747787
    0.842599198   11.088907963   11.059023471    4.981026229
    0.862637275   11.063097765   11.031028265    4.987542368
    0.882675351   11.014519072   10.980558775    4.994269295
    0.902713427   10.947706713   10.912023144    5.001206495
    0.922751503   10.868687333   10.831246789    5.008380866
    0.942789579   10.783665908   10.744260302    5.015823471
    0.962827655   10.698240650   10.656611531    5.023540812
    0.982865731   10.617180391   10.573179159    5.031498937
    1.002903808   10.544268391   10.497976824    5.039622960
    1.022941884   10.481894651   10.433670687    5.047803798
    1.042979960   10.430703584   10.381170183    5.055904799
    1.063018036   10.389744222   10.339754925    5.063765216
    1.083056112   10.357061422   10.307660932    5.071204154
    1.103094188   10.330312111   10.282695090    5.078038162
    1.123132265   10.307165656   10.262629605    5.084124325
    1.143170341   10.285490969   10.245384679    5.089417945
    1.163208417   10.263410060   10.229096257    5.094009129
