# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000   55.213057794    7.953298323    2.682669716
    0.021038076   44.644725921    6.968936237    0.579030367
    0.041076152   40.106638562    6.574678199    0.473844781
    0.061114228   35.673488051    6.086470845    0.431580345
    0.081152305   31.934377379    5.662498809    0.409132628
    0.101190381   28.863626629    5.301655481    0.397435467
    0.121228457   26.340145434    4.989210076    0.392812286
    0.141266533   24.246406060    4.712951702    0.392330940
    0.161304609   22.481848369    4.463603769    0.393046775
    0.181342685   20.958059075    4.232679601    0.392205507
    0.201380762   19.593400286    4.010881683    0.387606369
    0.221418838   18.314923852    3.788894858    0.377912056
    0.241456914   17.068614732    3.560443737    0.362871859
    0.261494990   15.830667857    3.325068438    0.343354199
    0.281533066   14.609501818    3.087979289    0.321053253
    0.301571142   13.436014295    2.857156749    0.297937469
    0.321609218   12.348910283    2.640114994    0.275729106
    0.341647295   11.382153238    2.441971393    0.255645982
    0.361685371   10.557008778    2.264765253    0.238392799
    0.381723447    9.879136451    2.107739654    0.224253745
    0.401761523    9.340285178    1.968662702    0.213175657
    0.421799599    8.921920847    1.845719780    0.204813725
    0.441837675    8.597486282    1.738733591    0.198567638
    0.461875752    8.333483520    1.648952793    0.193667888
    0.481913828    8.093165002    1.577988748    0.189352694
    0.501951904    7.844462346    1.526972709    0.185086083
    0.521989980    7.567809610    1.496372708    0.180687187
    0.542028056    7.258142922    1.486242495    0.176282196
    0.562066132    6.920816626    1.496550683    0.172128852
    0.582104208    6.565999486    1.527404004    0.168447071
    0.602142285    6.205393742    1.579118599    0.165341059
    0.622180361    5.851764280    1.652145791    0.162803192
    0.642218437    5.519321645    1.746876720    0.160756053
    0.662256513    5.222807378    1.863368663    0.159109722
    0.682294589    4.974920505    2.001040608    0.157818284
    0.702332665    4.783510262    2.158367871    0.156906190
    0.722370741    4.650066154    2.332642731    0.156448443
    0.742408818    4.569942276    2.519999150    0.156525708
    0.762446894    4.533888141    2.715890166    0.157188910
    0.782484970    4.530264717    2.915861849    0.158451404
    0.802523046    4.547383284    3.116163580    0.160307444
    0.822561122    4.575435591    3.313913907    0.162763608
    0.842599198    4.607542268    3.506964915    0.165862214
    0.862637275    4.639750948    3.693803581    0.169678704
    0.882675351    4.670362628    3.873653236    0.174293893
    0.902713427    4.699230969    4.046530537    0.179760888
    0.922751503    4.727340000    4.212882188    0.186086381
    0.942789579    4.756528615    4.372942636    0.193231052
    0.962827655    4.789159992    4.526405997    0.201119238
    0.982865731    4.827617740    4.672580945    0.209646179
    1.002903808    4.873600439    4.810558843    0.218684746
    1.022941884    4.927385860    4.939032853    0.228102842
    1.042979960    4.987381434    5.055952015    0.237790071
