# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    8.765592561    0.714097903    0.000076711
    0.021038076    6.570647384    1.334572282    0.001301841
    0.041076152    5.560378737    1.140395860    0.002308165
    0.061114228    5.119235725    0.960155799    0.003190327
    0.081152305    4.875464926    0.811731978    0.003979764
    0.101190381    4.742287832    0.691815389    0.004707434
    0.121228457    4.687739280    0.595045488    0.005399099
    0.141266533    4.685217845    0.516636482    0.006073100
    0.161304609    4.701616762    0.452944395    0.006741998
    0.181342685    4.697115393    0.401308067    0.007414608
    0.201380762    4.632837268    0.359677380    0.008096951
    0.221418838    4.482443596    0.326320706    0.008792634
    0.241456914    4.240146941    0.299716917    0.009503345
    0.261494990    3.920409205    0.278581766    0.010229513
    0.281533066    3.550973336    0.261921973    0.010970943
    0.301571142    3.163651664    0.249035321    0.011727244
    0.321609218    2.786380473    0.239441530    0.012498062
    0.341647295    2.438620881    0.232787877    0.013283189
    0.361685371    2.130588141    0.228779963    0.014082601
    0.381723447    1.865121555    0.227153094    0.014896482
    0.401761523    1.640404282    0.227670502    0.015725231
    0.421799599    1.452306174    0.230130307    0.016569463
    0.441837675    1.295945365    0.234371412    0.017430023
    0.461875752    1.166553507    0.240275906    0.018307987
    0.481913828    1.059872118    0.247768840    0.019204673
    0.501951904    0.972281261    0.256816870    0.020121670
    0.521989980    0.900794747    0.267426895    0.021060859
    0.542028056    0.842999128    0.279645443    0.022024454
    0.562066132    0.796976675    0.293559335    0.023015058
    0.582104208    0.761231258    0.309297937    0.024035722
    0.602142285    0.734624579    0.327036946    0.025090032
    0.622180361    0.716324197    0.347002789    0.026182204
    0.642218437    0.705761506    0.369475887    0.027317200
    0.662256513    0.702596053    0.394790518    0.028500856
    0.682294589    0.706681530    0.423329154    0.029740025
    0.702332665    0.718028765    0.455510611    0.031042720
    0.722370741    0.736763196    0.491775214    0.032418260
    0.742408818    0.763078798    0.532575522    0.033877395
    0.762446894    0.797192275    0.578381369    0.035432363
    0.782484970    0.839289889    0.629693141    0.037096745
    0.802523046    0.889432134    0.687028005    0.038884911
    0.822561122    0.947367187    0.750824952    0.040810831
    0.842599198    1.012250201    0.821241565    0.042886263
    0.862637275    1.082380491    0.897897087    0.045118811
    0.882675351    1.155173187    0.979708443    0.047510794
    0.902713427    1.227534850    1.064979337    0.050059637
    0.922751503    1.296560037    1.151760581    0.052759370
    0.942789579    1.360206521    1.238266245    0.055601840
    0.962827655    1.417604661    1.323039411    0.058576517
    0.982865731    1.468884015    1.404766739    0.061669148
    1.002903808    1.514659693    1.481989749    0.064860865
    1.022941884    1.555492488    1.553104666    0.068129850
    1.042979960    1.591628259    1.616768237    0.071455812
    1.063018036    1.623109723    1.672370408    0.074824634
    1.083056112    1.650094281    1.720130684    0.078229649
    1.103094188    1.673115814    1.760759172    0.081667843
    1.123132265    1.693134428    1.795018217    0.085132277
    1.143170341    1.711374315    1.823517257    0.088604810
    1.163208417    1.729026302    1.846779209    0.092054287
    1.183246493    1.746903909    1.865378673    0.095442334
    1.203284569    1.765156958    1.879957379    0.098733153
    1.223322645    1.783162909    1.891094791    0.101901628
    1.243360721    1.799674075    1.899171503    0.104937888
    1.263398798    1.813190444    1.904387637    0.107849930
    1.283436874    1.822429181    1.906973483    0.110663856
    1.303474950    1.826741981    1.907440958    0.113418004
    1.323513026    1.826368275    1.906642095    0.116149910
    1.343551102    1.822459699    1.905563240    0.118882387
    1.363589178    1.816875833    1.905064291    0.121617846
    1.383627255    1.811836953    1.905832917    0.124344691
    1.403665331    1.809577843    1.908577469    0.127052205
    1.423703407    1.812114237    1.914243525    0.129746241
    1.443741483    1.821123075    1.924054061    0.132457644
    1.463779559    1.837877006    1.939344447    0.135239255
    1.483817635    1.863222263    1.961309850    0.138154261
    1.503855711    1.897629979    1.990822931    0.141262208
    1.523893788    1.941308843    2.028416773    0.144605743
    1.543931864    1.994323269    2.074429094    0.148197666
    1.563969940    2.056686233    2.129233436    0.152010795
    1.584008016    2.128464606    2.193458988    0.155977185
    1.604046092    2.209957947    2.268111330    0.160000033
    1.624084168    2.301912315    2.354543956    0.163971222
    1.644122244    2.405596121    2.454294577    0.167781247
    1.664160321    2.522595719    2.568857210    0.171317588
    1.684198397    2.654383733    2.699454023    0.174466465
    1.704236473    2.801827089    2.846790872    0.177136029
    1.724274549    2.964713048    3.010693461    0.179296227
    1.744312625    3.141261849    3.189550633    0.181006829
    1.764350701    3.327715180    3.379744164    0.182408270
    1.784388778    3.518378511    3.575566719    0.183675871
    1.804426854    3.706488455    3.770055927    0.184962707
    1.824464930    3.885719820    3.956517042    0.186363174
    1.844503006    4.051553693    4.129857564    0.187915262
    1.864541082    4.201806997    4.286979656    0.189632721
    1.884579158    4.336373093    4.426377299    0.191536310
    1.904617234    4.456778990    4.547785569    0.193655884
    1.924655311    4.565723334    4.652227050    0.196003321
    1.944693387    4.666113058    4.741876726    0.198544462
    1.964731463    4.759689594    4.819433902    0.201199760
    1.984769539    4.846421276    4.887629748    0.203877772
    2.004807615    4.925473117    4.949376380    0.206516543
    2.024845691    4.996893137    5.008048656    0.209103020
    2.044883768    5.062418342    5.067182634    0.211663294
    2.064921844    5.124852148    5.129699383    0.214239888
    2.084959920    5.186802233    5.197235983    0.216874468
    2.104997996    5.249879681    5.269935521    0.219600823
    2.125036072    5.314846911    5.346841524    0.222442363
    2.145074148    5.382423777    5.426863882    0.225409586
    2.165112224    5.454042435    5.509829084    0.228498870
    2.185150301    5.531956942    5.596886669    0.231693841
    2.205188377    5.618725118    5.690066361    0.234967821
    2.225226453    5.716661226    5.791588516    0.238288162
    2.245264529    5.827752737    5.903632072    0.241625798
    2.265302605    5.953874916    6.028554250    0.244968593
    2.285340681    6.096804003    6.169010456    0.248330744
    2.305378758    6.257920453    6.327659091    0.251752609
    2.325416834    6.437928474    6.506622093    0.255294728
    2.345454910    6.636880723    6.707041160    0.259033861
    2.365492986    6.854567534    6.928983933    0.263061557
    2.385531062    7.091115299    7.171742973    0.267477478
    2.405569138    7.347455747    7.434359516    0.272372836
    2.425607214    7.625335888    7.716139556    0.277809432
    2.445645291    7.926804867    8.016935333    0.283804687
    2.465683367    8.253437569    8.337020940    0.290331843
    2.485721443    8.605610643    8.676601190    0.297340566
    2.505759519    8.981939650    9.035194869    0.304792825
    2.525797595    9.378886618    9.411080573    0.312694604
    2.545835671    9.790669731    9.800856248    0.321102940
    2.565873747   10.209674340   10.199258232    0.330106484
    2.585911824   10.627395283   10.599503583    0.339794992
    2.605949900   11.035668186   10.994180349    0.350233291
    2.625987976   11.427763259   11.376341765    0.361447507
    2.646026052   11.798912458   11.740444636    0.373426235
    2.666064128   12.146109745   12.083025784    0.386136335
    2.686102204   12.467451453   12.403041341    0.399547424
    2.706140281   12.761401248   12.701539741    0.413651875
    2.726178357   13.026015843   12.980273973    0.428468085
    2.746216433   13.257960052   13.239283109    0.444028089
    2.766254509   13.451520539   13.474175274    0.460365161
    2.786292585   13.598324672   13.674368734    0.477520543
    2.806330661   13.688356896   13.823493833    0.495575941
    2.826368737   13.712068951   13.902359802    0.514694365
    2.846406814   13.662634163   13.893690084    0.535136772
    2.866444890   13.537428763   13.786938526    0.557235301
    2.886482966   13.338434729   13.581393233    0.581335671
    2.906521042   13.071792626   13.286551662    0.607739408
    2.926559118   12.746954822   12.919994966    0.636663296
    2.946597194   12.375817376   12.503828355    0.668212349
    2.966635271   11.971903046   12.060826725    0.702370479
    2.986673347   11.549412150   11.611174210    0.739034481
    3.006711423   11.122022983   11.170422835    0.778092043
    3.026749499   10.701615112   10.748884370    0.819479490
    3.046787575   10.297314067   10.352152618    0.863149644
    3.066825651    9.915212741    9.982189927    0.908966449
    3.086863727    9.558805959    9.638559555    0.956613342
    3.106901804    9.229806744    9.319672750    1.005580483
    3.126939880    8.928906948    9.023980183    1.055237633
    3.146977956    8.656273459    8.750859347    1.104966143
    3.167016032    8.411832610    8.500855188    1.154305666
    3.187054108    8.195362176    8.275137705    1.203061374
    3.207092184    8.006276857    8.074469811    1.251327866
    3.227130261    7.843158740    7.898324380    1.299415691
    3.247168337    7.703400402    7.744684066    1.347708664
    3.267206413    7.583352395    7.610527583    1.396516614
    3.287244489    7.479034635    7.492564469    1.445992578
    3.307282565    7.387097194    7.387803348    1.496147654
    3.327320641    7.305598440    7.293856093    1.546937831
    3.347358717    7.234324761    7.209116808    1.598356456
    3.367396794    7.174582334    7.132946557    1.650473226
    3.387434870    7.128502002    7.065803845    1.703401712
    3.407472946    7.097991024    7.009073707    1.757226922
    3.427511022    7.083596255    6.964379014    1.811950907
    3.447549098    7.083666585    6.932503321    1.867493257
    3.467587174    7.094277011    6.912515752    1.923731675
    3.487625251    7.110219249    6.901777799    1.980518271
    3.507663327    7.126742982    6.896945401    2.037596942
    3.527701403    7.141022443    6.895261011    2.094416905
    3.547739479    7.152433383    6.895206094    2.149955288
    3.567777555    7.161727443    6.896269310    2.202710732
    3.587815631    7.169958545    6.898404295    2.250944101
    3.607853707    7.177830436    6.901786401    2.293085117
    3.627891784    7.185498626    6.906861194    2.328107619
    3.647929860    7.192531430    6.914269867    2.355684421
    3.667967936    7.197870471    6.924455044    2.376081661
    3.688006012    7.199881371    6.937181386    2.389923550
    3.708044088    7.196604427    6.951303559    2.397984887
    3.728082164    7.186127221    6.964876297    2.401071354
    3.748120240    7.166925209    6.975491475    2.399979819
    3.768158317    7.138154213    6.980718535    2.395514388
    3.788196393    7.099939190    6.978583596    2.388502107
    3.808234469    7.053556554    6.968026254    2.379741574
    3.828272545    7.001300796    6.949243156    2.369881331
    3.848310621    6.945990602    6.923787072    2.359310684
    3.868348697    6.890405849    6.894289062    2.348167261
    3.888386774    6.837035963    6.863812724    2.336487308
    3.908424850    6.788173543    6.835091598    2.324398893
    3.928462926    6.746009175    6.810011608    2.312217700
    3.948501002    6.712391378    6.789526231    2.300406760
    3.968539078    6.688266843    6.773888787    2.289478630
    3.988577154    6.673199603    6.762947122    2.279927805
    4.008615230    6.665417654    6.756326351    2.272220178
    4.028653307    6.662431846    6.753449569    2.266822054
    4.048691383    6.661805020    6.753426698    2.264237098
    4.068729459    6.661606022    6.754909650    2.265013414
    4.088767535    6.660437952    6.756047736    2.269693937
    4.108805611    6.657260690    6.754638212    2.278724734
    4.128843687    6.651261080    6.748467158    2.292376923
    4.148881764    6.641840105    6.735723571    2.310736082
    4.168919840    6.628651139    6.715331551    2.333767862
    4.188957916    6.611646364    6.687121815    2.361422894
    4.208995992    6.591102512    6.651831914    2.393735544
    4.229034068    6.567536788    6.610920264    2.430885961
    4.249072144    6.541466276    6.566224573    2.473204418
    4.269110220    6.513143214    6.519597285    2.521111683
    4.289148297    6.482490841    6.472663594    2.575020142
    4.309186373    6.449308335    6.426737014    2.635242289
    4.329224449    6.413563317    6.382801953    2.701950672
    4.349262525    6.375545772    6.341472821    2.775213655
    4.369300601    6.335835886    6.302957852    2.855088155
    4.389338677    6.295191491    6.267106681    2.941694762
    4.409376754    6.254453424    6.233539713    3.035191938
    4.429414830    6.214471224    6.201788421    3.135632964
    4.449452906    6.176000358    6.171395985    3.242767733
    4.469490982    6.139586526    6.141974122    3.355881129
    4.489529058    6.105531007    6.113252900    3.473757838
    4.509567134    6.073966365    6.085166934    3.594842154
    4.529605210    6.044933497    6.057924052    3.717581357
    4.549643287    6.018354510    6.031913835    3.840808619
    4.569681363    5.993948671    6.007438537    3.963954294
    4.589719439    5.971217624    5.984453815    4.086979407
    4.609757515    5.949530381    5.962495777    4.210126338
    4.629795591    5.928228210    5.940802518    4.333679888
    4.649833667    5.906672704    5.918541369    4.457845985
    4.669871743    5.884236983    5.895045948    4.582720966
    4.689909820    5.860313860    5.869977083    4.708303258
    4.709947896    5.834415303    5.843357470    4.834557593
    4.729985972    5.806344218    5.815500736    4.961544509
    4.750024048    5.776320316    5.786900349    5.089559808
    4.770062124    5.744938171    5.758117690    5.219186175
    4.790100200    5.712930824    5.729654683    5.351201606
    4.810138277    5.680845122    5.701795574    5.486385156
    4.830176353    5.648826593    5.674480693    5.625333480
    4.850214429    5.616664358    5.647348996    5.768383872
    4.870252505    5.584067384    5.620013505    5.915645973
    4.890290581    5.550994384    5.592420044    6.067071945
    4.910328657    5.517848153    5.565018534    6.222489648
    4.930366733    5.485428450    5.538609019    6.381558727
    4.950404810    5.454662813    5.513972665    6.543672724
    4.970442886    5.426265558    5.491533347    6.707901378
    4.990480962    5.400514123    5.471241288    6.873078282
    5.010519038    5.377221103    5.452681686    7.038056081
    5.030557114    5.355823706    5.435233739    7.202031679
    5.050595190    5.335470369    5.418108835    7.364779509
    5.070633267    5.315071922    5.400267611    7.526665319
    5.090671343    5.293352620    5.380341757    7.688409720
    5.110709419    5.268913534    5.356665072    7.850692291
    5.130747495    5.240322640    5.327463792    8.013799283
    5.150785571    5.206284700    5.291210747    8.177508989
    5.170823647    5.165884551    5.247028963    8.341224299
    5.190861723    5.118796584    5.194928297    8.504167151
    5.210899800    5.065366703    5.135740278    8.665457134
    5.230937876    5.006550729    5.070810388    8.824080813
    5.250975952    4.943732597    5.001631804    8.978886175
    5.271014028    4.878463186    4.929587538    9.128656674
    5.291052104    4.812193293    4.855856029    9.272121231
    5.311090180    4.746107449    4.781439476    9.407682875
    5.331128257    4.681122488    4.707246913    9.532878862
    5.351166333    4.617983017    4.634160908    9.643975316
    5.371204409    4.557319584    4.563039157    9.736196846
