# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    9.336164403   12.179894597    0.000471509
    0.021038076    6.142050154    5.276732918    0.001502828
    0.041076152    4.349970971    3.667198417    0.002552804
    0.061114228    3.567875678    3.102904481    0.003547331
    0.081152305    3.186668783    2.872914302    0.004498321
    0.101190381    3.000472079    2.786463040    0.005404155
    0.121228457    2.920116420    2.773506471    0.006264445
    0.141266533    2.902861454    2.807255806    0.007082791
    0.161304609    2.928861002    2.879809767    0.007867013
    0.181342685    2.990970607    2.991757757    0.008628064
    0.201380762    3.088715791    3.146469668    0.009378163
    0.221418838    3.223744960    3.346030984    0.010128818
    0.241456914    3.396172606    3.587785421    0.010889359
    0.261494990    3.601785998    3.861378267    0.011666312
    0.281533066    3.829737288    4.146440131    0.012463522
    0.301571142    4.060156433    4.411387815    0.013282722
    0.321609218    4.262790668    4.615408321    0.014124237
    0.341647295    4.400280343    4.716792158    0.014987652
    0.361685371    4.438409960    4.687064433    0.015872360
    0.381723447    4.359155423    4.523091712    0.016778001
    0.401761523    4.167630200    4.247959983    0.017704736
    0.421799599    3.888428993    3.900267718    0.018653364
    0.441837675    3.555586985    3.520448984    0.019625298
    0.461875752    3.202986721    3.141786198    0.020622452
    0.481913828    2.858323698    2.787281771    0.021647132
    0.501951904    2.540532380    2.470103909    0.022701988
    0.521989980    2.259885119    2.195615355    0.023790049
    0.542028056    2.019823496    1.963885811    0.024914815
    0.562066132    1.819390952    1.772000701    0.026080382
    0.582104208    1.655373907    1.615786921    0.027291592
    0.602142285    1.523781494    1.490892279    0.028554174
    0.622180361    1.420690764    1.393347602    0.029874891
    0.642218437    1.342632379    1.319783133    0.031261665
    0.662256513    1.286683852    1.267432559    0.032723636
    0.682294589    1.250380335    1.234002840    0.034271087
    0.702332665    1.231506856    1.217450617    0.035915128
    0.722370741    1.227830691    1.215706325    0.037667038
    0.742408818    1.236877446    1.226433599    0.039537290
    0.762446894    1.255907873    1.246969719    0.041534537
    0.782484970    1.282208889    1.274567793    0.043665272
    0.802523046    1.313616443    1.306894103    0.045935042
    0.822561122    1.348987897    1.342542704    0.048351564
    0.842599198    1.388340631    1.381296369    0.050928591
    0.862637275    1.432539790    1.423981077    0.053687812
    0.882675351    1.482607629    1.471918690    0.056656202
    0.902713427    1.538900477    1.526141657    0.059858382
    0.922751503    1.600512410    1.586651961    0.063305950
    0.942789579    1.665221999    1.652028805    0.066986932
    0.962827655    1.730056950    1.719603237    0.070859046
    0.982865731    1.792209253    1.786200903    0.074851393
    1.002903808    1.849836778    1.849143801    0.078878470
    1.022941884    1.902404028    1.907015358    0.082865681
    1.042979960    1.950523565    1.959832994    0.086777906
    1.063018036    1.995496560    2.008647865    0.090637334
    1.083056112    2.038792007    2.054891564    0.094518269
    1.103094188    2.081616482    2.099790294    0.098517318
    1.123132265    2.124627547    2.143969523    0.102713179
    1.143170341    2.167814950    2.187261735    0.107139051
    1.163208417    2.210566883    2.228745367    0.111782048
    1.183246493    2.251853732    2.267003422    0.116603266
    1.203284569    2.290400493    2.300503501    0.121558595
    1.223322645    2.324828740    2.327991791    0.126605395
    1.243360721    2.353873816    2.348814232    0.131695272
    1.263398798    2.376687176    2.363056420    0.136763249
    1.283436874    2.393060412    2.371438376    0.141723438
    1.303474950    2.403443368    2.375060498    0.146474691
    1.323513026    2.408803143    2.375192997    0.150913304
    1.343551102    2.410450441    2.373216233    0.154949777
    1.363589178    2.409901489    2.370653871    0.158529980
    1.383627255    2.408735591    2.369141654    0.161657507
    1.403665331    2.408382270    2.370222101    0.164404769
    1.423703407    2.409888033    2.375020306    0.166900793
    1.443741483    2.413826850    2.383993236    0.169297691
    1.463779559    2.420468362    2.396932967    0.171731032
    1.483817635    2.430135301    2.413271874    0.174292982
    1.503855711    2.443525259    2.432576801    0.177029953
    1.523893788    2.461797309    2.454996849    0.179960605
    1.543931864    2.486424985    2.481438534    0.183098007
    1.563969940    2.518984764    2.513422028    0.186463464
    1.584008016    2.561011010    2.552768100    0.190089916
    1.604046092    2.613901702    2.601311061    0.194017186
    1.624084168    2.678837308    2.660755834    0.198281470
    1.644122244    2.756768494    2.732673100    0.202900748
    1.664160321    2.848521784    2.818512526    0.207856048
    1.684198397    2.954959902    2.919527173    0.213071245
    1.704236473    3.077081740    3.036649751    0.218400889
    1.724274549    3.215962789    3.170428946    0.223638201
    1.744312625    3.372449332    3.320985387    0.228551601
    1.764350701    3.546582016    3.487775434    0.232944322
    1.784388778    3.736870931    3.669040443    0.236708030
    1.804426854    3.939697249    3.861149032    0.239837240
    1.824464930    4.149211482    4.058328944    0.242404906
    1.844503006    4.358030372    4.253271932    0.244530618
    1.864541082    4.558665268    4.438627455    0.246360395
    1.884579158    4.745086466    4.608694675    0.248048834
    1.904617234    4.913606617    4.760373546    0.249734112
    1.924655311    5.062736870    4.893029204    0.251513457
    1.944693387    5.192576814    5.007817524    0.253430201
    1.964731463    5.304571006    5.107235483    0.255475406
    1.984769539    5.401631101    5.194985053    0.257603326
    2.004807615    5.487984340    5.275721336    0.259757451
    2.024845691    5.568551631    5.354507421    0.261896962
    2.044883768    5.648154246    5.436075748    0.264012129
    2.064921844    5.730746313    5.523993426    0.266126779
    2.084959920    5.818777756    5.620008769    0.268294654
    2.104997996    5.912870128    5.723941552    0.270594447
    2.125036072    6.011963334    5.834162659    0.273120910
    2.145074148    6.114016497    5.948460638    0.275968062
    2.165112224    6.217145107    6.065031153    0.279206277
    2.185150301    6.320716551    6.183269362    0.282861427
    2.205188377    6.425874693    6.304159241    0.286906997
    2.225226453    6.535370055    6.430250343    0.291276350
    2.245264529    6.652908059    6.565215381    0.295891876
    2.265302605    6.782303132    6.713040622    0.300695345
    2.285340681    6.926787369    6.877199535    0.305657263
    2.305378758    7.088717142    7.060203560    0.310754509
    2.325416834    7.269519898    7.263496743    0.315934443
    2.345454910    7.469556629    7.487362721    0.321101578
    2.365492986    7.687928277    7.730739751    0.326147696
    2.385531062    7.922572476    7.991211618    0.331012801
    2.405569138    8.170789086    8.265421011    0.335738931
    2.425607214    8.429893609    8.549762851    0.340481606
    2.445645291    8.697581243    8.840983162    0.345476657
    2.465683367    8.971843902    9.136471842    0.350990952
    2.485721443    9.250625924    9.434286227    0.357284176
    2.505759519    9.531564168    9.733009707    0.364588256
    2.525797595    9.811942570   10.031489940    0.373097270
    2.545835671   10.088657167   10.328465747    0.382957884
    2.565873747   10.358100319   10.622144076    0.394254419
    2.585911824   10.616282085   10.909854308    0.406992469
    2.605949900   10.859492931   11.187925634    0.421094688
    2.625987976   11.085302670   11.451954963    0.436421354
    2.646026052   11.293300587   11.697570388    0.452813467
    2.666064128   11.485089109   11.921468045    0.470140848
    2.686102204   11.663492884   12.122116436    0.488337661
    2.706140281   11.831340047   12.299577125    0.507415905
    2.726178357   11.990211987   12.454453769    0.527450189
    2.746216433   12.139368650   12.586522027    0.548534082
    2.766254509   12.275031923   12.693681583    0.570724294
    2.786292585   12.390370971   12.771654308    0.593994674
    2.806330661   12.476472078   12.814592053    0.618212804
    2.826368737   12.524154303   12.816420511    0.643145496
    2.846406814   12.526066542   12.772377514    0.668504391
    2.866444890   12.478348097   12.680131589    0.694041630
    2.886482966   12.381279676   12.540210292    0.719672861
    2.906521042   12.238756244   12.355871257    0.745558175
    2.926559118   12.056909904   12.132637239    0.772074215
    2.946597194   11.842578616   11.877618671    0.799684501
    2.966635271   11.602345213   11.598788291    0.828792384
    2.986673347   11.342435592   11.304445025    0.859664408
    3.006711423   11.069141295   11.002880350    0.892446840
    3.026749499   10.789132142   10.701911454    0.927234195
    3.046787575   10.509199091   10.408022907    0.964132530
    3.066825651   10.235411320   10.125392822    1.003287664
    3.086863727    9.972127528    9.855450835    1.044890583
    3.106901804    9.721458485    9.597389763    1.089184741
    3.126939880    9.483506394    9.349447223    1.136465344
    3.146977956    9.257268789    9.110308796    1.187028920
    3.167016032    9.041775213    8.879974063    1.241053723
    3.187054108    8.836911632    8.659811932    1.298450633
    3.207092184    8.643564526    8.452019719    1.358765309
    3.227130261    8.463128313    8.258915379    1.421202992
    3.247168337    8.296747732    8.082332799    1.484788260
    3.267206413    8.144717135    7.923202315    1.548594711
    3.287244489    8.006319438    7.781403415    1.611944512
    3.307282565    7.880156853    7.655964877    1.674502681
    3.327320641    7.764760160    7.545511613    1.736241957
    3.347358717    7.659133408    7.448707730    1.797322106
    3.367396794    7.563033746    7.364514881    1.857981074
    3.387434870    7.477007983    7.292271049    1.918482619
    3.407472946    7.402235916    7.231678705    1.979033909
    3.427511022    7.340170454    7.182746093    2.039581972
    3.447549098    7.292024064    7.145654355    2.099585551
    3.467587174    7.258211078    7.120461975    2.157999107
    3.487625251    7.237817623    7.106580861    2.213574732
    3.507663327    7.228260167    7.102203257    2.265292854
    3.527701403    7.225486860    7.104150283    2.312621747
    3.547739479    7.224894183    7.108480417    2.355526538
    3.567777555    7.222540169    7.111591876    2.394401731
    3.587815631    7.215954959    7.111111360    2.430059375
    3.607853707    7.204263846    7.106097922    2.463668865
    3.627891784    7.187868307    7.096688324    2.496474627
    3.647929860    7.167984072    7.083610793    2.529333378
    3.667967936    7.146117461    7.067832971    2.562330356
    3.688006012    7.123521593    7.050326124    2.594697310
    3.708044088    7.100795179    7.031847064    2.625052980
    3.728082164    7.077777878    7.012742840    2.651825145
    3.748120240    7.053738355    6.992876419    2.673670867
    3.768158317    7.027736793    6.971756824    2.689764052
    3.788196393    6.999004379    6.948826697    2.699912572
    3.808234469    6.967160302    6.923710772    2.704536163
    3.828272545    6.932159507    6.896246026    2.704551319
    3.848310621    6.894098940    6.866339649    2.701193460
    3.868348697    6.853186673    6.833903448    2.695789657
    3.888386774    6.809992475    6.799035113    2.689511351
    3.908424850    6.765712399    6.762332122    2.683176909
    3.928462926    6.722111643    6.725056525    2.677158288
    3.948501002    6.681139150    6.688977505    2.671377683
    3.968539078    6.644481437    6.655965253    2.665373365
    3.988577154    6.613278762    6.627562338    2.658474037
    4.008615230    6.588045183    6.604728120    2.650105555
    4.028653307    6.568740077    6.587820530    2.640122760
    4.048691383    6.554927387    6.576745164    2.628979695
    4.068729459    6.545929975    6.571110679    2.617651048
    4.088767535    6.540859779    6.570231239    2.607389104
    4.108805611    6.538483078    6.572952685    2.599471768
    4.128843687    6.537052628    6.577466223    2.595039384
    4.148881764    6.534334184    6.581327645    2.595023583
    4.168919840    6.527931644    6.581758749    2.600130428
    4.188957916    6.515772999    6.576129255    2.610854068
    4.208995992    6.496523514    6.562471862    2.627512573
    4.229034068    6.469798943    6.539907110    2.650290955
    4.249072144    6.436171669    6.508845244    2.679262829
    4.269110220    6.397022935    6.470881466    2.714371815
    4.289148297    6.354316670    6.428425429    2.755396852
    4.309186373    6.310304711    6.384164301    2.801957230
    4.329224449    6.267101898    6.340462624    2.853591537
    4.349262525    6.226183960    6.298857132    2.909898286
    4.369300601    6.188068168    6.259855667    2.970697706
    4.389338677    6.152416028    6.223156708    3.036156978
    4.409376754    6.118504647    6.188166792    3.106812924
    4.429414830    6.085756622    6.154501526    3.183460063
    4.449452906    6.054036314    6.122209031    3.266939131
    4.469490982    6.023647260    6.091695094    3.357899714
    4.489529058    5.995165444    6.063507709    3.456595855
    4.509567134    5.969255540    6.038136540    3.562749772
    4.529605210    5.946505627    6.015893374    3.675523646
    4.549643287    5.927273672    5.996873591    3.793639238
    4.569681363    5.911602026    5.980968784    3.915625023
    4.589719439    5.899261820    5.967894250    4.040073443
    4.609757515    5.889871890    5.957215329    4.165758903
    4.629795591    5.882951696    5.948371929    4.291574889
    4.649833667    5.877859843    5.940698352    4.416428278
    4.669871743    5.873734383    5.933455316    4.539285524
    4.689909820    5.869568157    5.925911160    4.659410408
    4.709947896    5.864418790    5.917468757    4.776630367
    4.729985972    5.857639192    5.907770706    4.891421611
    4.750024048    5.848998834    5.896704136    5.004729226
    4.770062124    5.838617128    5.884277971    5.117618613
    4.790100200    5.826728740    5.870432910    5.230970115
    4.810138277    5.813413170    5.854902318    5.345395444
    4.830176353    5.798447292    5.837210290    5.461383664
    4.850214429    5.781346776    5.816813287    5.579517301
    4.870252505    5.761546510    5.793326831    5.700569161
    4.890290581    5.738616734    5.766734005    5.825408585
    4.910328657    5.712417391    5.737461535    5.954820759
    4.930366733    5.683129607    5.706257493    6.089424342
    4.950404810    5.651161933    5.673910421    6.229762540
    4.970442886    5.616990824    5.640962011    6.376452881
    4.990480962    5.581021479    5.607582707    6.530230033
    5.010519038    5.543523403    5.573655573    6.691824912
    5.030557114    5.504632111    5.538951800    6.861738915
    5.050595190    5.464369537    5.503234555    7.040021779
    5.070633267    5.422643885    5.466230161    7.226149362
    5.090671343    5.379229965    5.427544234    7.419031188
    5.110709419    5.333769563    5.386643573    7.617101196
    5.130747495    5.285835317    5.342949390    7.818394143
    5.150785571    5.235067357    5.295994743    8.020515294
    5.170823647    5.181341523    5.245585314    8.220515525
    5.190861723    5.124896094    5.191925723    8.414817872
    5.210899800    5.066358929    5.135648774    8.599362724
    5.230937876    5.006669036    5.077684439    8.770023453
    5.250975952    4.946928834    5.019017464    8.923192084
    5.271014028    4.888221212    4.960472732    9.056326794
    5.291052104    4.831404109    4.902597227    9.168227157
    5.311090180    4.776904532    4.845597077    9.258922300
    5.331128257    4.724574325    4.789294351    9.329270580
    5.351166333    4.673698474    4.733153676    9.380478981
    5.371204409    4.623224689    4.676471902    9.413714389
    5.391242485    4.572186110    4.618745537    9.429911375
    5.411280561    4.520142735    4.560051104    9.429789728
    5.431318637    4.467399884    4.501172947    9.413997382
    5.451356713    4.414888432    4.443370729    9.383294955
    5.471394790    4.363812401    4.387962158    9.338742607
    5.491432866    4.315284380    4.336000519    9.281809921
    5.511470942    4.270124782    4.288191793    9.214259277
    5.531509018    4.228868339    4.245001516    9.137739788
    5.551547094    4.191900860    4.206813095    9.053285516
    5.571585170    4.159614939    4.174040784    8.961048714
    5.591623246    4.132502716    4.147169334    8.860421726
    5.611661323    4.111128641    4.126706002    8.750410645
    5.631699399    4.095964063    4.113038242    8.630019952
    5.651737475    4.087163870    4.106254482    8.498524576
    5.671775551    4.084434588    4.106036729    8.355654853
    5.691813627    4.087071794    4.111679845    8.201742833
    5.711851703    4.094093388    4.122177454    8.037800985
    5.731889780    4.104327581    4.136268378    7.865475234
    5.751927856    4.116399871    4.152409149    7.686880341
    5.771965932    4.128705121    4.168746370    7.504392476
    5.792004008    4.139484809    4.183193700    7.320472645
    5.812042084    4.147016058    4.193642305    7.137527036
    5.832080160    4.149807200    4.198239134    6.957744506
    5.852118236    4.146720994    4.195649238    6.782887387
    5.872156313    4.137047674    4.185251714    6.614120649
    5.892194389    4.120579354    4.167223873    6.451990253
    5.912232465    4.097672224    4.142459585    6.296545822
    5.932270541    4.069231883    4.112325665    6.147485256
    5.952308617    4.036590729    4.078361459    6.004231244
    5.972346693    4.001309392    4.042050043    5.865975067
    5.992384770    3.964954731    4.004704210    5.731777530
    6.012422846    3.928893583    3.967421395    5.600751978
    6.032460922    3.894139791    3.931056853    5.472253072
    6.052498998    3.861297696    3.896210255    5.345969568
    6.072537074    3.830622973    3.863243944    5.221895252
    6.092575150    3.802169076    3.832338024    5.100229086
    6.112613226    3.775936761    3.803561403    4.981265820
    6.132651303    3.751944106    3.776922096    4.865322975
    6.152689379    3.730193199    3.752366384    4.752738222
    6.172727455    3.710569990    3.729725580    4.643935521
    6.192765531    3.692737422    3.708643519    4.539488380
    6.212803607    3.676078868    3.688526169    4.440067983
    6.232841683    3.659721171    3.668535548    4.346237963
    6.252879760    3.642617239    3.647630511    4.258205268
    6.272917836    3.623640886    3.624652291    4.175698979
    6.292955912    3.601674891    3.598454239    4.098056154
    6.312993988    3.575711174    3.568057334    4.024451752
    6.333032064    3.544968534    3.532785236    3.954150151
    6.353070140    3.508991014    3.492343046    3.886686453
