# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000-8552.445234721***************    0.694375523
    0.021038076   -1.615013082    2.601169869    4.931518996
    0.041076152   10.733217625   15.995442474    4.933778751
    0.061114228   12.307074206   16.994127032    4.933223442
    0.081152305   12.467734274   16.614304811    4.932853928
    0.101190381   12.303661125   16.016662707    4.932764173
    0.121228457   12.064758369   15.430430501    4.932942550
    0.141266533   11.829179059   14.907251654    4.933377498
    0.161304609   11.618967315   14.438410482    4.934053601
    0.181342685   11.432027888   13.987695727    4.934955298
    0.201380762   11.256595943   13.509700878    4.936076384
    0.221418838   11.080190023   12.964189023    4.937424741
    0.241456914   10.895638427   12.329536693    4.939017594
    0.261494990   10.704943538   11.615262158    4.940871978
    0.281533066   10.520128308   10.867170004    4.942998231
    0.301571142   10.359476641   10.156197597    4.945399007
    0.321609218   10.240177670    9.552525886    4.948071152
    0.341647295   10.171801806    9.100665285    4.951008269
    0.361685371   10.154402008    8.810629864    4.954203901
    0.381723447   10.181005062    8.665767880    4.957654434
    0.401761523   10.241561957    8.636869779    4.961359466
    0.421799599   10.325902180    8.693258630    4.965318911
    0.441837675   10.425015413    8.808209607    4.969529081
    0.461875752   10.531127754    8.960322876    4.973980362
    0.481913828   10.637251719    9.132981781    4.978656868
    0.501951904   10.736716059    9.313116199    4.983537125
    0.521989980   10.823002046    9.489843877    4.988595295
    0.542028056   10.890066284    9.653383377    4.993803269
    0.562066132   10.933162127    9.794625223    4.999133790
    0.582104208   10.949984932    9.905659217    5.004564075
    0.602142285   10.941755264    9.981242580    5.010078560
    0.622180361   10.913556278   10.020607402    5.015668362
    0.642218437   10.873131657   10.028383964    5.021324911
    0.662256513   10.828057427   10.013379455    5.027028097
    0.682294589   10.782469940    9.984972863    5.032732824
    0.702332665   10.735014366    9.948534887    5.038357249
    0.722370741   10.678904294    9.902233567    5.043773141
    0.742408818   10.604014258    9.837033602    5.048800371
    0.762446894   10.500475908    9.740308650    5.053211704
    0.782484970   10.362847824    9.602082191    5.056753020
    0.802523046   10.193301996    9.421459502    5.059179576
    0.822561122   10.002156147    9.209758925    5.060308169
    0.842599198    9.805286911    8.987982061    5.060083747
    0.862637275    9.619794706    8.779956620    5.058645844
    0.882675351    9.459897532    8.605302929    5.056357289
    0.902713427    9.334233797    8.475437036    5.053751145
    0.922751503    9.245099474    8.393127729    5.051394407
    0.942789579    9.189638497    8.354485003    5.049736623
    0.962827655    9.162105528    8.351843482    5.049025456
