# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000    7.919348183    7.918931636    4.516979106
    0.021038076    7.919643800    7.919227228    4.517024627
    0.041076152    7.920477207    7.920060563    4.517152937
    0.061114228    7.921849010    7.921432247    4.517364061
    0.081152305    7.923760205    7.923343276    4.517658045
    0.101190381    7.926212183    7.925795043    4.518034947
    0.121228457    7.929206735    7.928789335    4.518494847
    0.141266533    7.932746050    7.932328344    4.519037838
    0.161304609    7.936832725    7.936414665    4.519664033
    0.181342685    7.941469771    7.941051310    4.520373562
    0.201380762    7.946660617    7.946241706    4.521166570
    0.221418838    7.952409121    7.951989713    4.522043223
    0.241456914    7.958719578    7.958299623    4.523003703
    0.261494990    7.965596730    7.965176178    4.524048209
    0.281533066    7.973045778    7.972624580    4.525176960
    0.301571142    7.981072394    7.980650500    4.526390189
    0.321609218    7.989682737    7.989260095    4.527688152
    0.341647295    7.998883467    7.998460025    4.529071121
    0.361685371    8.008681760    8.008257466    4.530539386
    0.381723447    8.019085330    8.018660132    4.532093257
    0.401761523    8.030102449    8.029676292    4.533733062
    0.421799599    8.041741964    8.041314794    4.535459150
    0.441837675    8.054013328    8.053585088    4.537271887
    0.461875752    8.066926621    8.066497255    4.539171659
    0.481913828    8.080492578    8.080062028    4.541158875
    0.501951904    8.094722623    8.094290831    4.543233961
    0.521989980    8.109628900    8.109195805    4.545397364
    0.542028056    8.125224309    8.124789850    4.547649554
    0.562066132    8.141522544    8.141086659    4.549991021
    0.582104208    8.158538138    8.158100763    4.552422275
    0.602142285    8.176286507    8.175847576    4.554943850
    0.622180361    8.194784001    8.194343447    4.557556303
    0.642218437    8.214047955    8.213605710    4.560260212
    0.662256513    8.234096754    8.233652747    4.563056178
    0.682294589    8.254949893    8.254504052    4.565944829
    0.702332665    8.276628044    8.276180296    4.568926813
    0.722370741    8.299153141    8.298703408    4.572002805
    0.742408818    8.322548453    8.322096658    4.575173506
    0.762446894    8.346838682    8.346384745    4.578439642
    0.782484970    8.372050059    8.371593896    4.581801963
    0.802523046    8.398210449    8.397751975    4.585261250
    0.822561122    8.425349477    8.424888604    4.588818310
    0.842599198    8.453498651    8.453035288    4.592473978
    0.862637275    8.482691509    8.482225562    4.596229118
    0.882675351    8.512963769    8.512495142    4.600084624
    0.902713427    8.544353510    8.543882101    4.604041421
    0.922751503    8.576901351    8.576427058    4.608100466
    0.942789579    8.610650667    8.610173382    4.612262746
    0.962827655    8.645647813    8.645167423    4.616529283
    0.982865731    8.681942375    8.681458766    4.620901133
    1.002903808    8.719587451    8.719100503    4.625379386
