# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000   50.102107064   45.252499120    2.707195065
    0.021038076   41.916397636   35.852065750    0.656922586
    0.041076152   35.113325503   30.689398836    0.505006670
    0.061114228   31.527969516   28.000172875    0.449426486
    0.081152305   29.440782749   26.425355903    0.423617832
    0.101190381   28.144440628   25.399307696    0.411784533
    0.121228457   27.292612939   24.656038559    0.407600715
    0.141266533   26.691945275   24.056868609    0.407945397
    0.161304609   26.222732119   23.517144699    0.411196063
    0.181342685   25.806175558   22.977381764    0.416535734
    0.201380762   25.388963955   22.395170762    0.423583409
    0.221418838   24.933614211   21.745116918    0.432167887
    0.241456914   24.412631728   21.019798620    0.442190216
    0.261494990   23.807989298   20.228520112    0.453533352
    0.281533066   23.114448650   19.392480963    0.465971273
    0.301571142   22.341601784   18.536767502    0.479064188
    0.321609218   21.510459085   17.682263072    0.492090726
    0.341647295   20.645766410   16.841835028    0.504101507
    0.361685371   19.768824110   16.022211993    0.514126514
    0.381723447   18.893701658   15.228318931    0.521446562
    0.401761523   18.026924598   14.466253522    0.525768615
    0.421799599   17.170307882   13.744217357    0.527224114
    0.441837675   16.325783431   13.072219125    0.526257777
    0.461875752   15.499112684   12.460439858    0.523511736
    0.481913828   14.699905630   11.916081862    0.519718583
    0.501951904   13.938582895   11.439855083    0.515573526
    0.521989980   13.222897635   11.023928497    0.511615159
    0.542028056   12.555936069   10.652692491    0.508166383
    0.562066132   11.936039357   10.306673452    0.505325424
    0.582104208   11.358226305    9.968127310    0.502948641
    0.602142285   10.816286025    9.625140703    0.500592827
    0.622180361   10.304643382    9.272155903    0.497463428
    0.642218437    9.819604353    8.908065628    0.492484028
    0.662256513    9.360096109    8.534427876    0.484580457
    0.682294589    8.927857180    8.154974417    0.473115071
    0.702332665    8.526809065    7.775862876    0.458218105
    0.722370741    8.161786333    7.405665521    0.440774937
    0.742408818    7.837322514    7.054625275    0.422090509
    0.762446894    7.556921421    6.733337765    0.403481424
    0.782484970    7.322613496    6.451262176    0.386013151
    0.802523046    7.134433448    6.215384846    0.370423784
    0.822561122    6.989673826    6.029196380    0.357162090
    0.842599198    6.882065879    5.892018405    0.346457515
    0.862637275    6.801503894    5.798718207    0.338378036
    0.882675351    6.735340060    5.740133142    0.332867774
    0.902713427    6.671826068    5.704784859    0.329771175
    0.922751503    6.604635222    5.681951873    0.328855565
    0.942789579    6.535836176    5.664963599    0.329847971
    0.962827655    6.475112369    5.652922209    0.332490907
    0.982865731    6.435521741    5.649854765    0.336594843
    1.002903808    6.428407753    5.661946907    0.342055472
    1.022941884    6.460079811    5.694547421    0.348831177
    1.042979960    6.531032195    5.750322993    0.356910509
    1.063018036    6.636739702    5.828844694    0.366300922
    1.083056112    6.768602501    5.927031647    0.377037101
    1.103094188    6.914431501    6.039842013    0.389179243
    1.123132265    7.059247829    6.161121774    0.402784163
    1.143170341    7.187785063    6.284823273    0.417869910
    1.163208417    7.288855150    6.406475947    0.434408695
    1.183246493    7.359352802    6.524210479    0.452354597
    1.203284569    7.404816701    6.638590480    0.471675057
    1.223322645    7.435839870    6.751309838    0.492353026
    1.243360721    7.462951980    6.863724300    0.514359923
    1.263398798    7.493231790    6.976209153    0.537623026
    1.283436874    7.529686959    7.088519957    0.562009166
    1.303474950    7.572280162    7.200560053    0.587347155
    1.323513026    7.619240887    7.312832833    0.613503052
    1.343551102    7.668157240    7.426249612    0.640473595
    1.363589178    7.716821710    7.541378105    0.668420882
    1.383627255    7.763760382    7.657468550    0.697607982
    1.403665331    7.808364914    7.771819912    0.728275767
    1.423703407    7.850666120    7.880059309    0.760533791
    1.443741483    7.890858832    7.977362662    0.794307280
    1.463779559    7.928719536    8.059891746    0.829338763
    1.483817635    7.963143142    8.125625369    0.865231909
    1.503855711    7.992105351    8.174384324    0.901553793
    1.523893788    8.013191903    8.207298876    0.938020705
    1.543931864    8.024445522    8.225991290    0.974707833
    1.563969940    8.025079467    8.231856199    1.012119902
    1.584008016    8.015724066    8.225877070    1.051023577
    1.604046092    7.998093234    8.209022272    1.092148278
    1.624084168    7.974167100    8.182780703    1.135958351
    1.644122244    7.945104869    8.149274856    1.182592784
    1.664160321    7.910226939    8.110700108    1.231927102
    1.684198397    7.866668607    8.068412695    1.283680631
    1.704236473    7.810264962    8.022285565    1.337528793
    1.724274549    7.737452221    7.970689286    1.393190376
    1.744312625    7.647062086    7.911069567    1.450449104
    1.764350701    7.540921809    7.840923219    1.509080944
    1.784388778    7.423193558    7.758867036    1.568693224
    1.804426854    7.299210783    7.665369991    1.628539779
    1.824464930    7.174462436    7.562784818    1.687446263
    1.844503006    7.053889853    7.454662439    1.743966661
    1.864541082    6.941448640    7.344737837    1.796727353
    1.884579158    6.839875994    7.236122600    1.844727698
    1.904617234    6.750605716    7.131010167    1.887381201
    1.924655311    6.673838335    7.030832116    1.924317877
    1.944693387    6.608806758    6.936605324    1.955183590
    1.964731463    6.554140224    6.849188705    1.979646827
    1.984769539    6.508136838    6.769312239    1.997600568
    2.004807615    6.468914622    6.697513482    2.009363814
    2.024845691    6.434582074    6.634180963    2.015710768
    2.044883768    6.403516617    6.579681590    2.017722877
    2.064921844    6.374685906    6.534425942    2.016580943
    2.084959920    6.347850671    6.498837217    2.013391560
    2.104997996    6.323517439    6.473293523    2.009064577
    2.125036072    6.302672833    6.458112450    2.004242370
    2.145074148    6.286461006    6.453630863    1.999298857
    2.165112224    6.275957748    6.460370593    1.994408918
    2.185150301    6.272127206    6.479139925    1.989659450
    2.205188377    6.275937848    6.510893764    1.985176555
    2.225226453    6.288490509    6.556359179    1.981247922
    2.245264529    6.310994077    6.615596658    1.978379131
    2.265302605    6.344563678    6.687665150    1.977194864
    2.285340681    6.390004647    6.770516467    1.978168385
    2.305378758    6.447789259    6.861244450    1.981289523
    2.325416834    6.518252376    6.956746085    1.985840990
    2.345454910    6.601777312    7.054603097    1.990408579
    2.365492986    6.698704485    7.153763794    1.993154375
    2.385531062    6.808961668    7.254713865    1.992294097
    2.405569138    6.931678027    7.359140623    1.986640860
    2.425607214    7.065040081    7.469289023    1.975986680
    2.445645291    7.206480832    7.587274976    1.961096098
    2.465683367    7.353123111    7.714556604    1.943302468
    2.485721443    7.502257902    7.851527258    1.923967918
    2.505759519    7.651640333    7.997151400    1.904117984
    2.525797595    7.799571206    8.148847513    1.884377018
    2.545835671    7.944867793    8.302869125    1.865105079
    2.565873747    8.086808732    8.455072597    1.846536324
    2.585911824    8.225081379    8.601728113    1.828804494
    2.605949900    8.359685374    8.740133060    1.811915378
    2.625987976    8.490681943    8.868918452    1.795779988
