# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000   12.690740257   12.690666943    0.000304691
    0.021038076    1.077055482    1.077697698    0.006242716
    0.041076152    0.903825416    0.904228853    0.011356578
    0.061114228    0.940800318    0.941131194    0.015189884
    0.081152305    0.989422076    0.989710393    0.017669384
    0.101190381    1.009683695    1.009931817    0.018987458
    0.121228457    0.993670032    0.993875607    0.019462504
    0.141266533    0.945406169    0.945569889    0.019433331
    0.161304609    0.874617091    0.874744058    0.019189773
    0.181342685    0.792783810    0.792881589    0.018938974
    0.201380762    0.709989615    0.710065750    0.018803634
    0.221418838    0.633195163    0.633255749    0.018839566
    0.241456914    0.566097375    0.566146778    0.019058274
    0.261494990    0.509920402    0.509961566    0.019446428
    0.281533066    0.464394906    0.464429782    0.019980646
    0.301571142    0.428530721    0.428560621    0.020638408
    0.321609218    0.401102747    0.401128582    0.021404884
    0.341647295    0.380910155    0.380932585    0.022274631
    0.361685371    0.366892706    0.366912228    0.023249087
    0.381723447    0.358168870    0.358185870    0.024332858
    0.401761523    0.354036151    0.354050932    0.025531228
    0.421799599    0.353956028    0.353968835    0.026849129
    0.441837675    0.357534933    0.357545959    0.028290532
    0.461875752    0.364506523    0.364515922    0.029857243
    0.481913828    0.374717382    0.374725273    0.031546720
    0.501951904    0.388116659    0.388123130    0.033349499
    0.521989980    0.404749293    0.404754399    0.035248088
    0.542028056    0.424751864    0.424755634    0.037219851
    0.562066132    0.448349502    0.448351936    0.039244775
    0.582104208    0.475851693    0.475852763    0.041314352
    0.602142285    0.507644822    0.507644474    0.043434215
    0.622180361    0.544181360    0.544179514    0.045616299
    0.642218437    0.585971367    0.585967927    0.047865390
    0.662256513    0.633589850    0.633584717    0.050170667
    0.682294589    0.687713459    0.687706540    0.052508988
    0.702332665    0.749177059    0.749168274    0.054857367
    0.722370741    0.818997337    0.818986582    0.057205962
    0.742408818    0.898279867    0.898266951    0.059564139
    0.762446894    0.987942486    0.987927054    0.061957697
    0.782484970    1.088251993    1.088233519    0.064420006
    0.802523046    1.198274981    1.198252864    0.066982430
    0.822561122    1.315491137    1.315464912    0.069669819
    0.842599198    1.435939578    1.435909112    0.072502297
    0.862637275    1.555141263    1.555106820    0.075497976
    0.882675351    1.669520377    1.669482533    0.078671127
    0.902713427    1.777496135    1.777455656    0.082026275
    0.922751503    1.879483888    1.879441654    0.085552125
    0.942789579    1.976830358    1.976787356    0.089218593
    0.962827655    2.070516249    2.070473608    0.092979142
    0.982865731    2.160490756    2.160449839    0.096779014
    1.002903808    2.245806489    2.245769029    0.100566968
    1.022941884    2.325139357    2.325107563    0.104305090
    1.042979960    2.397246048    2.397222567    0.107972174
    1.063018036    2.461168459    2.461156052    0.111562364
    1.083056112    2.516280703    2.516281612    0.115084514
    1.103094188    2.562415738    2.562430905    0.118563691
    1.123132265    2.600136781    2.600165336    0.122041409
    1.143170341    2.630971625    2.631010999    0.125572452
    1.163208417    2.657400331    2.657447042    0.129220411
    1.183246493    2.682452664    2.682503429    0.133056925
    1.203284569    2.708940426    2.708993185    0.137167127
    1.223322645    2.738683845    2.738738356    0.141656686
    1.243360721    2.772180492    2.772238288    0.146654275
    1.263398798    2.808846414    2.808910060    0.152309687
    1.283436874    2.847614946    2.847686827    0.158790461
    1.303474950    2.887516764    2.887597966    0.166277759
    1.323513026    2.927886642    2.927976430    0.174961492
    1.343551102    2.968094592    2.968190572    0.185034808
    1.363589178    3.007108641    3.007207342    0.196686603
    1.383627255    3.043410774    3.043508461    0.210087781
    1.403665331    3.075430754    3.075524268    0.225365723
    1.423703407    3.102012153    3.102099439    0.242566112
    1.443741483    3.122346875    3.122426963    0.261610520
    1.463779559    3.135504618    3.135577258    0.282269026
    1.483817635    3.140248007    3.140313324    0.304176358
    1.503855711    3.135565732    3.135624054    0.326912592
    1.523893788    3.121611379    3.121663069    0.350127076
    1.543931864    3.100292195    3.100337387    0.373628992
    1.563969940    3.075005737    3.075044053    0.397371457
    1.584008016    3.049685079    3.049715543    0.421343594
    1.604046092    3.027753925    3.027775207    0.445456342
    1.624084168    3.011517785    3.011528650    0.469474641
    1.644122244    3.002165869    3.002165585    0.492980464
    1.664160321    3.000259491    3.000248055    0.515355193
    1.684198397    3.006437071    3.006415280    0.535825227
    1.704236473    3.021990454    3.021959896    0.553621033
    1.724274549    3.049001723    3.048964678    0.568220771
    1.744312625    3.089988172    3.089947324    0.579552180
    1.764350701    3.147287537    3.147245518    0.588017988
    1.784388778    3.222464404    3.222423305    0.594320359
    1.804426854    3.315865683    3.315826749    0.599183739
    1.824464930    3.426275104    3.426238672    0.603105100
    1.844503006    3.550641881    3.550607516    0.606219969
    1.864541082    3.684138776    3.684105518    0.608331446
    1.884579158    3.820896812    3.820863472    0.609093692
    1.904617234    3.955278453    3.955243918    0.608249408
    1.924655311    4.083002613    4.082966092    0.605771861
    1.944693387    4.201642358    4.201603543    0.601843820
    1.964731463    4.310681702    4.310640779    0.596761102
    1.984769539    4.411460674    4.411418183    0.590893388
    2.004807615    4.506968826    4.506925487    0.584709553
    2.024845691    4.601280024    4.601236686    0.578767837
    2.044883768    4.698525776    4.698483527    0.573624643
    2.064921844    4.801516120    4.801476386    0.569714466
    2.084959920    4.910562655    4.910527113    0.567263468
    2.104997996    5.023313898    5.023284202    0.566264515
    2.125036072    5.135795245    5.135772709    0.566532745
    2.145074148    5.243875639    5.243861034    0.567836608
    2.165112224    5.344268790    5.344262277    0.570020617
    2.185150301    5.434988843    5.434989989    0.573002639
    2.205188377    5.515778126    5.515785935    0.576647109
    2.225226453    5.588656369    5.588669299    0.580670058
    2.245264529    5.658015760    5.658031759    0.584714289
    2.265302605    5.729770708    5.729787351    0.588549230
    2.285340681    5.809991708    5.810006535    0.592207414
    2.305378758    5.903960469    5.903971484    0.595926864
    2.325416834    6.016049684    6.016055804    0.599949291
    2.345454910    6.150026267    6.150027492    0.604326149
    2.365492986    6.309227940    6.309225165    0.608848532
    2.385531062    6.496560318    6.496554887    0.613117046
    2.405569138    6.714626070    6.714619305    0.616682984
    2.425607214    6.966042420    6.966035386    0.619172171
    2.445645291    7.253554919    7.253548539    0.620343350
    2.465683367    7.579577996    7.579573354    0.620094494
    2.485721443    7.945260331    7.945258923    0.618465681
    2.505759519    8.349457647    8.349461418    0.615653912
    2.525797595    8.787809572    8.787820695    0.611987004
    2.545835671    9.252002576    9.252023051    0.607809554
    2.565873747    9.729754349    9.729785541    0.603340068
    2.585911824   10.206361126   10.206403364    0.598629982
    2.605949900   10.667721514   10.667773885    0.593675100
    2.625987976   11.103254469   11.103314889    0.588580202
    2.646026052   11.506992342   11.507057826    0.583641170
    2.666064128   11.876643801   11.876710779    0.579310735
    2.686102204   12.211787307   12.211851899    0.576101272
    2.706140281   12.512362519   12.512420866    0.574474907
    2.726178357   12.777850504   12.777899215    0.574750572
    2.746216433   13.006882946   13.006919577    0.577063055
    2.766254509   13.196796931   13.196820291    0.581401966
    2.786292585   13.342947540   13.342957755    0.587717916
    2.806330661   13.438193902   13.438192356    0.596037063
    2.826368737   13.473310406   13.473299633    0.606513832
    2.846406814   13.438739130   13.438722553    0.619393955
    2.866444890   13.327177433   13.327158823    0.634921561
    2.886482966   13.135792860   13.135775616    0.653243898
    2.906521042   12.867178285   12.867164770    0.674342516
    2.926559118   12.529124497   12.529115692    0.697996701
    2.946597194   12.133782271   12.133777860    0.723787325
    2.966635271   11.696486305   11.696485050    0.751160877
    2.986673347   11.234153844   11.234154037    0.779557672
    3.006711423   10.763349727   10.763349552    0.808564159
    3.026749499   10.298543816   10.298541607    0.838022075
    3.046787575    9.851106091    9.851100510    0.868042793
    3.066825651    9.429132321    9.429122489    0.898929394
    3.086863727    9.037863737    9.037849371    0.931068086
    3.106901804    8.680464708    8.680446226    0.964855780
    3.126939880    8.358869086    8.358847567    1.000675321
    3.146977956    8.074255874    8.074232841    1.038876522
    3.167016032    7.826918405    7.826895537    1.079719549
    3.187054108    7.615917402    7.615896319    1.123281389
    3.207092184    7.439244802    7.439226953    1.169375179
    3.227130261    7.294692712    7.294679303    1.217536889
    3.247168337    7.180775847    7.180767741    1.267089696
    3.267206413    7.096912027    7.096909618    1.317263674
    3.287244489    7.042752497    7.042755600    1.367350385
    3.307282565    7.017249871    7.017257753    1.416849460
    3.327320641    7.018078379    7.018089968    1.465520043
    3.347358717    7.041573991    7.041588250    1.513284466
    3.367396794    7.083039265    7.083055561    1.560053687
    3.387434870    7.137233649    7.137251906    1.605618231
    3.407472946    7.198921013    7.198941584    1.649679553
    3.427511022    7.263349674    7.263373010    1.691957014
    3.447549098    7.326466344    7.326492685    1.732248406
    3.467587174    7.384680753    7.384709979    1.770402803
    3.487625251    7.434473494    7.434505156    1.806275480
    3.507663327    7.472578785    7.472612263    1.839749705
    3.527701403    7.496873123    7.496907810    1.870820869
    3.547739479    7.507070984    7.507106393    1.899646224
    3.567777555    7.504389610    7.504425311    1.926491211
    3.587815631    7.490406455    7.490441885    1.951617516
    3.607853707    7.466091654    7.466125939    1.975199589
    3.627891784    7.431744222    7.431776161    1.997284877
    3.647929860    7.387621886    7.387650125    2.017760033
    3.667967936    7.334462438    7.334485755    2.036336384
    3.688006012    7.273451523    7.273469103    2.052608557
    3.708044088    7.205868662    7.205880264    2.066180220
    3.728082164    7.132832957    7.132838935    2.076790183
    3.748120240    7.055335109    7.055336293    2.084380635
    3.768158317    6.974517065    6.974514565    2.089082522
    3.788196393    6.892058264    6.892053296    2.091143634
    3.808234469    6.810454227    6.810448034    2.090880259
    3.828272545    6.732918579    6.732912418    2.088711082
    3.848310621    6.662713260    6.662708379    2.085237968
    3.868348697    6.602071587    6.602069098    2.081286311
    3.888386774    6.551376443    6.551377114    2.077852652
    3.908424850    6.509275271    6.509279319    2.075966349
    3.928462926    6.473749425    6.473756461    2.076510020
    3.948501002    6.443448280    6.443457450    2.080067426
    3.968539078    6.418443533    6.418453758    2.086875067
    3.988577154    6.400026870    6.400037051    2.096912058
    4.008615230    6.389900087    6.389909204    2.110068429
    4.028653307    6.389390455    6.389397562    2.126284609
    4.048691383    6.398901413    6.398905603    2.145611902
    4.068729459    6.417425060    6.417425468    2.168202375
    4.088767535    6.442251999    6.442247921    2.194232392
    4.108805611    6.469395590    6.469386687    2.223779698
    4.128843687    6.494871245    6.494857714    2.256748763
    4.148881764    6.516200238    6.516182851    2.292942926
    4.168919840    6.533186626    6.533166630    2.332229647
    4.188957916    6.547430549    6.547409489    2.374624080
    4.208995992    6.560938339    6.560917881    2.420237876
    4.229034068    6.574831354    6.574813125    2.469253811
    4.249072144    6.588833704    6.588819126    2.522050415
    4.269110220    6.601381259    6.601371370    2.579334116
    4.289148297    6.609950574    6.609945909    2.642044050
    4.309186373    6.611601448    6.611602061    2.711036938
    4.329224449    6.603876814    6.603882414    2.786817693
    4.349262525    6.585818754    6.585828841    2.869546678
    4.369300601    6.558505146    6.558519056    2.959294022
    4.389338677    6.524669258    6.524686151    3.056316761
    4.409376754    6.487522996    6.487541836    3.161152132
    4.429414830    6.449442338    6.449461928    3.274443897
    4.449452906    6.411230354    6.411249445    3.396536172
    4.469490982    6.372178024    6.372195484    3.526994645
    4.489529058    6.330663316    6.330678283    3.664294093
    4.509567134    6.284980249    6.284992232    3.805808120
    4.529605210    6.234181528    6.234190425    3.948068087
    4.549643287    6.178648188    6.178654187    4.087298866
    4.569681363    6.120063739    6.120067100    4.220356515
    4.589719439    6.060708736    6.060709606    4.345915582
    4.609757515    6.002440284    6.002438684    4.465173724
    4.629795591    5.945993171    5.945989167    4.581324528
    4.649833667    5.890978449    5.890972340    4.697975122
    4.669871743    5.836422597    5.836414955    4.817610863
    4.689909820    5.781437158    5.781428648    4.941070210
    4.709947896    5.725724971    5.725716095    5.068013704
    4.729985972    5.669805560    5.669796514    5.197653627
    4.750024048    5.614903519    5.614894277    5.329205021
    4.770062124    5.562526580    5.562517075    5.462142266
    4.790100200    5.513941077    5.513931330    5.596492486
    4.810138277    5.469820068    5.469810171    5.733053564
    4.830176353    5.430162438    5.430152476    5.873278158
    4.850214429    5.394357248    5.394347263    6.018796115
    4.870252505    5.361259849    5.361249878    6.170813674
    4.890290581    5.329367411    5.329357532    6.329685348
    4.910328657    5.297327278    5.297317626    6.494771909
    4.930366733    5.264737054    5.264727792    6.664472960
    4.950404810    5.232651511    5.232642780    6.836312211
    4.970442886    5.203176636    5.203168519    7.007124742
    4.990480962    5.178319605    5.178312111    7.173500416
    5.010519038    5.158916629    5.158909696    7.332519705
    5.030557114    5.144203044    5.144196524    7.482514236
    5.050595190    5.132029548    5.132023207    7.623382464
    5.070633267    5.119518240    5.119511794    7.756290972
    5.090671343    5.103865068    5.103858243    7.883194807
    5.110709419    5.082902221    5.082894804    8.006693687
    5.130747495    5.055206749    5.055198610    8.130166012
    5.150785571    5.019863947    5.019855063    8.257749048
    5.170823647    4.976130425    4.976120904    8.393902889
    5.190861723    4.923240118    4.923230185    8.542485878
    5.210899800    4.860576929    4.860566897    8.705413454
    5.230937876    4.788239932    4.788230169    8.881361420
    5.250975952    4.707645199    4.707636084    9.065267882
    5.271014028    4.621690065    4.621681933    9.249010357
    5.291052104    4.534320211    4.534313278    9.422815003
    5.311090180    4.449692392    4.449686708    9.576603636
    5.331128257    4.371310560    4.371306011    9.700987092
    5.351166333    4.301540701    4.301537057    9.788253251
    5.371204409    4.241657400    4.241654383    9.833571560
    5.391242485    4.192215797    4.192213155    9.835965704
    5.411280561    4.153452406    4.153449941    9.798378930
    5.431318637    4.125528667    4.125526220    9.726692662
    5.451356713    4.108499484    4.108496895    9.628254460
    5.471394790    4.101975421    4.101972515    9.510599989
    5.491432866    4.104677871    4.104674487    9.380591463
    5.511470942    4.114291024    4.114287064    9.243795797
    5.531509018    4.127890575    4.127886051    9.103975325
    5.551547094    4.142805702    4.142800758    8.962783916
    5.571585170    4.157421923    4.157416809    8.819839967
    5.591623246    4.171454938    4.171449950    8.673284577
    5.611661323    4.185574371    4.185569764    8.520727527
    5.631699399    4.200637632    4.200633549    8.360203957
    5.651737475    4.216967466    4.216963893    8.190724957
    5.671775551    4.234017925    4.234014698    8.012312477
    5.691813627    4.250522408    4.250519270    7.825709931
    5.711851703    4.264976683    4.264973352    7.632006331
    5.731889780    4.276170176    4.276166418    7.432424367
    5.751927856    4.283502402    4.283498093    7.228544736
    5.771965932    4.287028552    4.287023738    7.022847332
    5.792004008    4.287358805    4.287353730    6.818898451
    5.812042084    4.285496138    4.285491243    6.620739297
    5.832080160    4.282594084    4.282589931    6.431879079
    5.852118236    4.279658976    4.279656133    6.254640908
    5.872156313    4.277294481    4.277293364    6.090139543
    5.892194389    4.275529890    4.275530630    5.938600772
    5.912232465    4.273720004    4.273722372    5.799640242
    5.932270541    4.270586593    4.270590047    5.672372287
    5.952308617    4.264535714    4.264539544    5.555452760
    5.972346693    4.254242256    4.254245782    5.447183528
    5.992384770    4.239236874    4.239239605    5.345637329
    6.012422846    4.220151521    4.220153239    5.248682954
    6.032460922    4.198480346    4.198481083    5.153978352
    6.052498998    4.175963095    4.175963070    5.059179862
    6.072537074    4.153833231    4.153832757    4.962475231
    6.092575150    4.132248090    4.132247490    4.863160464
    6.112613226    4.110171812    4.110171339    4.761776426
    6.132651303    4.085738506    4.085738276    4.659623766
    6.152689379    4.056869224    4.056869199    4.557999671
    6.172727455    4.021854779    4.021854804    4.457680894
    6.192765531    3.979716565    3.979716440    4.358901432
    6.212803607    3.930272596    3.930272151    4.261686439
    6.232841683    3.873917608    3.873916754    4.166224521
    6.252879760    3.811246857    3.811245576    4.073045559
    6.272917836    3.742781140    3.742779422    3.982962991
    6.292955912    3.668977244    3.668975019    3.896867685
    6.312993988    3.590431796    3.590428924    3.815485267
    6.333032064    3.508033703    3.508030032    3.739179334
    6.353070140    3.422947352    3.422942806    3.667850859
    6.373108216    3.336492458    3.336487098    3.600954282
    6.393146293    3.250014348    3.250008391    3.537636994
    6.413184369    3.164767784    3.164761566    3.477007224
    6.433222445    3.081818101    3.081812015    3.418478378
    6.453260521    3.001997575    3.001991978    3.362045416
    6.473298597    2.925940682    2.925935812    3.308349143
    6.493336673    2.854155457    2.854151379    3.258503216
    6.513374749    2.787061668    2.787058277    3.213765007
    6.533412826    2.724977428    2.724974512    3.175174518
    6.553450902    2.668102420    2.668099735    3.143330173
    6.573488978    2.616532813    2.616530148    3.118418868
    6.593527054    2.570253981    2.570251184    3.100387677
    6.613565130    2.529053037    2.529050026    3.089014428
    6.633603206    2.492427195    2.492423950    3.083813143
    6.653641283    2.459624697    2.459621220    3.083914215
    6.673679359    2.429820944    2.429817204    3.088040607
    6.693717435    2.402296094    2.402291981    3.094619538
    6.713755511    2.376518278    2.376513588    3.102054688
    6.733793587    2.352152125    2.352146606    3.109104226
    6.753831663    2.329059438    2.329052866    3.115145707
    6.773869739    2.307318142    2.307310416    3.120130635
    6.793907816    2.287204259    2.287195453    3.124300635
    6.813945892    2.269072503    2.269062854    3.127905159
    6.833983968    2.253176249    2.253166075    3.131031241
    6.854022044    2.239532400    2.239522000    3.133482118
    6.874060120    2.227877805    2.227867400    3.134688484
    6.894098196    2.217715151    2.217704878    3.133748274
    6.914136273    2.208453413    2.208443357    3.129632864
    6.934174349    2.199587162    2.199577388    3.121475136
    6.954212425    2.190772645    2.190763214    3.108819031
    6.974250501    2.181726888    2.181717902    3.091733118
    6.994288577    2.172049490    2.172041130    3.070759936
    7.014326653    2.161144179    2.161136731    3.046742466
    7.034364729    2.148350185    2.148343994    3.020580825
    7.054402806    2.133245638    2.133241005    2.993013777
    7.074440882    2.115941807    2.115938885    2.964561281
    7.094478958    2.097172617    2.097171352    2.935661560
    7.114517034    2.078138951    2.078139096    2.906857343
    7.134555110    2.060241969    2.060243137    2.878834257
    7.154593186    2.044858534    2.044860241    2.852278705
    7.174631263    2.033176667    2.033178368    2.827727748
    7.194669339    2.026001623    2.026002761    2.805572204
    7.214707415    2.023523433    2.023523517    2.786199836
    7.234745491    2.025189047    2.025187711    2.770154217
    7.254783567    2.029803366    2.029800384    2.758177414
    7.274821643    2.035819375    2.035814639    2.751065112
    7.294859719    2.041681733    2.041675259    2.749390976
    7.314897796    2.046119193    2.046111164    2.753272415
    7.334935872    2.048339098    2.048329898    2.762335878
    7.354973948    2.048091442    2.048081621    2.775887226
    7.375012024    2.045577896    2.045568062    2.793132653
    7.395050100    2.041248476    2.041239131    2.813283165
    7.415088176    2.035606749    2.035598146    2.835521297
    7.435126253    2.029120479    2.029112576    2.858963248
    7.455164329    2.022215621    2.022208164    2.882754348
    7.475202405    2.015252431    2.015245103    2.906281458
    7.495240481    2.008427494    2.008420047    2.929346475
    7.515278557    2.001642864    2.001635188    2.952180514
    7.535316633    1.994416592    1.994408726    2.975317775
    7.555354709    1.985865917    1.985858014    2.999415639
    7.575392786    1.974750902    1.974743175    3.025084382
    7.595430862    1.959582769    1.959575421    3.052768478
    7.615468938    1.938843011    1.938836175    3.082700598
    7.635507014    1.911316823    1.911310541    3.114879371
    7.655545090    1.876421380    1.876415631    3.148995916
    7.675583166    1.834376829    1.834371570    3.184336479
    7.695621242    1.786167676    1.786162860    3.219790999
    7.715659319    1.733330989    1.733326547    3.254093860
    7.735697395    1.677654661    1.677650479    3.286317737
    7.755735471    1.620914896    1.620910826    3.316426090
    7.775773547    1.564752237    1.564748136    3.345518661
    7.795811623    1.510650263    1.510646019    3.375535160
    7.815849699    1.459899015    1.459894567    3.408554749
    7.835887776    1.413506078    1.413501409    3.446068341
    7.855925852    1.372126581    1.372121710    3.488500249
    7.875963928    1.336071148    1.336066115    3.535031128
    7.896002004    1.305367825    1.305362676    3.583730596
    7.916040080    1.279820565    1.279815339    3.632071552
    7.936078156    1.259050634    1.259045360    3.677773948
    7.956116232    1.242546555    1.242541252    3.719631437
    7.976154309    1.229718818    1.229713504    3.757849770
    7.996192385    1.219921312    1.219916009    3.793673028
    8.016230461    1.212440801    1.212435538    3.828516687
    8.036268537    1.206514064    1.206508867    3.863093347
    8.056306613    1.201410256    1.201405148    3.896902122
    8.076344689    1.196540650    1.196535653    3.928133279
    8.096382766    1.191526677    1.191521820    3.953855539
    8.116420842    1.186192218    1.186187545    3.970406838
    8.136458918    1.180503581    1.180499137    3.974022200
    8.156496994    1.174506979    1.174502791    3.961684603
    8.176535070    1.168288275    1.168284339    3.931937824
    8.196573146    1.161948770    1.161945065    3.885247241
    8.216611222    1.155586344    1.155582850    3.823747959
    8.236649299    1.149272718    1.149269429    3.750650913
    8.256687375    1.143028138    1.143025057    3.669690462
    8.276725451    1.136811832    1.136808960    3.584751007
    8.296763527    1.130544054    1.130541374    3.499568644
    8.316801603    1.124166217    1.124163687    3.417407200
    8.336839679    1.117732483    1.117730043    3.340759452
    8.356877756    1.111489559    1.111487145    3.271187579
    8.376915832    1.105879054    1.105876605    3.209330825
    8.396953908    1.101439328    1.101436799    3.155019546
    8.416991984    1.098655607    1.098652983    3.107447169
    8.437030060    1.097832774    1.097830073    3.065403647
    8.457068136    1.099036725    1.099033992    3.027573856
    8.477106212    1.102112552    1.102109849    2.992847890
    8.497144289    1.106764771    1.106762162    2.960517704
    8.517182365    1.112669561    1.112667105    2.930223047
    8.537220441    1.119579456    1.119577204    2.901658079
    8.557258517    1.127388442    1.127386429    2.874265003
    8.577296593    1.136144272    1.136142509    2.847170336
    8.597334669    1.146001343    1.145999815    2.819425685
    8.617372745    1.157116803    1.157115479    2.790402205
    8.637410822    1.169538165    1.169537021    2.760102720
    8.657448898    1.183163865    1.183162892    2.729198114
    8.677486974    1.197809547    1.197808753    2.698732666
    8.697525050    1.213325844    1.213325227    2.669636320
    8.717563126    1.229686962    1.229686498    2.642309888
    8.737601202    1.247012987    1.247012616    2.616490622
    8.757639279    1.265532237    1.265531874    2.591427967
    8.777677355    1.285507916    1.285507467    2.566269150
    8.797715431    1.307166373    1.307165759    2.540485639
    8.817753507    1.330658563    1.330657731    2.514126568
    8.837791583    1.356051523    1.356050447    2.487764941
    8.857829659    1.383320363    1.383319052    2.462226268
    8.877867735    1.412318248    1.412316745    2.438332740
    8.897905812    1.442725765    1.442724151    2.416794242
    8.917943888    1.473999296    1.473997694    2.398179917
    8.937981964    1.505349948    1.505348502    2.382862352
    8.958020040    1.535793669    1.535792522    2.370941683
