# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    2.453687952    3.815971042    0.000270381
    0.021038076    8.635710197    9.036504015    0.002415748
    0.041076152    8.578445634    8.330369362    0.003418814
    0.061114228    7.981737975    7.541371134    0.004227591
    0.081152305    7.358559558    6.936080251    0.004971031
    0.101190381    6.786008894    6.447389154    0.005680416
    0.121228457    6.283860510    6.024326227    0.006371973
    0.141266533    5.855190950    5.641038482    0.007058094
    0.161304609    5.495455386    5.286727949    0.007747666
    0.181342685    5.196665745    4.958185239    0.008445503
    0.201380762    4.950668385    4.656095490    0.009153263
    0.221418838    4.751883504    4.383733088    0.009871479
    0.241456914    4.598328885    4.145634475    0.010601210
    0.261494990    4.489961873    3.944932023    0.011344377
    0.281533066    4.425123024    3.780538564    0.012103129
    0.301571142    4.397044994    3.646367652    0.012879212
    0.321609218    4.391818335    3.533110422    0.013673773
    0.341647295    4.388358388    3.430915880    0.014487506
    0.361685371    4.361011002    3.331141217    0.015320853
    0.381723447    4.285267883    3.227000455    0.016174159
    0.401761523    4.145197674    3.113997891    0.017047860
    0.421799599    3.938937587    2.990291942    0.017942745
    0.441837675    3.678853011    2.856262055    0.018860187
    0.461875752    3.386225078    2.713141757    0.019802134
    0.481913828    3.083720980    2.561776759    0.020770907
    0.501951904    2.789656864    2.402688284    0.021769006
    0.521989980    2.515997481    2.237431759    0.022799069
    0.542028056    2.269276262    2.069941282    0.023863947
    0.562066132    2.052413893    1.906449944    0.024966781
    0.582104208    1.866077403    1.753860001    0.026111036
    0.602142285    1.709413798    1.617783171    0.027300493
    0.622180361    1.580527699    1.501484911    0.028539241
    0.642218437    1.476931879    1.405963895    0.029831692
    0.662256513    1.395954981    1.330647147    0.031182618
    0.682294589    1.335032403    1.274142416    0.032597216
    0.702332665    1.291866145    1.234782539    0.034081188
    0.722370741    1.264491267    1.210934725    0.035640846
    0.742408818    1.251279755    1.201132421    0.037283249
    0.762446894    1.250876598    1.204087520    0.039016390
    0.782484970    1.262067202    1.218638139    0.040849484
    0.802523046    1.283628050    1.243690859    0.042793342
    0.822561122    1.314243113    1.278195224    0.044860704
    0.842599198    1.352543106    1.321152946    0.047066420
    0.862637275    1.397269748    1.371643822    0.049427396
    0.882675351    1.447496346    1.428837542    0.051962103
    0.902713427    1.502784093    1.491961544    0.054689282
    0.922751503    1.563188234    1.560245402    0.057625724
    0.942789579    1.629131135    1.632928700    0.060783614
    0.962827655    1.701213389    1.709391249    0.064168137
    0.982865731    1.779987223    1.789311678    0.067776141
    1.002903808    1.865657282    1.872646716    0.071596944
    1.022941884    1.957712710    1.959337372    0.075616314
    1.042979960    2.054617876    2.048921380    0.079822997
    1.063018036    2.153757933    2.140358527    0.084214799
    1.083056112    2.251738621    2.232166520    0.088801027
    1.103094188    2.344948325    2.322639033    0.093601007
    1.123132265    2.430163471    2.409880424    0.098640869
    1.143170341    2.504985858    2.491694259    0.103950114
    1.163208417    2.568028308    2.565633121    0.109557211
    1.183246493    2.618899630    2.629416394    0.115483095
    1.203284569    2.658054204    2.681537305    0.121733163
    1.223322645    2.686546601    2.721652997    0.128290123
    1.243360721    2.705776681    2.750536667    0.135111209
    1.263398798    2.717325582    2.769719689    0.142133021
    1.283436874    2.722891201    2.781104080    0.149283847
    1.303474950    2.724239107    2.786722842    0.156498061
    1.323513026    2.723090038    2.788627884    0.163725920
    1.343551102    2.720953759    2.788770510    0.170936087
    1.363589178    2.719022160    2.788811690    0.178113348
    1.383627255    2.718233251    2.789967613    0.185256085
    1.403665331    2.719458585    2.793015422    0.192376581
    1.423703407    2.723634970    2.798419855    0.199504343
    1.443741483    2.731745118    2.806459556    0.206690210
    1.463779559    2.744734376    2.817351790    0.214007705
    1.483817635    2.763494419    2.831456367    0.221547642
    1.503855711    2.788905423    2.849502201    0.229402996
    1.523893788    2.821802703    2.872631772    0.237646640
    1.543931864    2.862803229    2.902158421    0.246310089
    1.563969940    2.912098014    2.939176206    0.255368454
    1.584008016    2.969376792    2.984275513    0.264732909
    1.604046092    3.033965479    3.037524111    0.274256095
    1.624084168    3.105138607    3.098711438    0.283758346
    1.644122244    3.182499065    3.167757503    0.293073798
    1.664160321    3.266293005    3.245142994    0.302102259
    1.684198397    3.357535340    3.332168305    0.310843394
    1.704236473    3.457885864    3.430872621    0.319389213
    1.724274549    3.569358792    3.543632888    0.327868545
    1.744312625    3.694069766    3.672679412    0.336365696
    1.764350701    3.834137631    3.819768635    0.344848834
    1.784388778    3.991615279    3.986058368    0.353135460
    1.804426854    4.168220161    4.172049687    0.360911346
    1.824464930    4.364756090    4.377376349    0.367811536
    1.844503006    4.580308201    4.600261752    0.373548482
    1.864541082    4.811520883    4.836766154    0.378025932
    1.884579158    5.052507986    5.080443100    0.381354329
    1.904617234    5.295848963    5.323140497    0.383747559
    1.924655311    5.534436841    5.556960908    0.385392204
    1.944693387    5.763216968    5.776412246    0.386402595
    1.964731463    5.979977203    5.979629557    0.386871961
    1.984769539    6.185154038    6.168285286    0.386934539
    2.004807615    6.381064255    6.346483644    0.386775693
    2.024845691    6.570855523    6.519187704    0.386603640
    2.044883768    6.757360524    6.690771056    0.386617099
    2.064921844    6.942019956    6.864037825    0.386979645
    2.084959920    7.124055945    7.039671361    0.387805705
    2.104997996    7.300203055    7.215993107    0.389168165
    2.125036072    7.465328132    7.389144814    0.391123405
    2.145074148    7.614013606    7.553987669    0.393732870
    2.165112224    7.742654467    7.705738490    0.397066537
    2.185150301    7.851051658    7.841652873    0.401192538
    2.205188377    7.942520692    7.961703988    0.406167838
    2.225226453    8.022459889    8.067880300    0.412041644
    2.245264529    8.096335538    8.162836400    0.418869237
    2.265302605    8.168226095    8.248982750    0.426720446
    2.285340681    8.240497265    8.328488628    0.435669164
    2.305378758    8.314497359    8.403860342    0.445768485
    2.325416834    8.391706840    8.478437841    0.457031607
    2.345454910    8.474603579    8.556406488    0.469434980
    2.365492986    8.566709670    8.642335712    0.482944213
    2.385531062    8.671834880    8.740485480    0.497552180
    2.405569138    8.793042142    8.854143512    0.513315128
    2.425607214    8.931903292    8.985154692    0.530372487
    2.445645291    9.088265620    9.133699557    0.548942805
    2.465683367    9.260486712    9.298392055    0.569302259
    2.485721443    9.446063894    9.476769038    0.591762212
    2.505759519    9.642497389    9.666043688    0.616658172
    2.525797595    9.848017212    9.863798827    0.644348845
    2.545835671   10.061730768   10.068341945    0.675213904
    2.565873747   10.283007405   10.278618130    0.709640366
    2.585911824   10.510468720   10.493785866    0.747994187
    2.605949900   10.741350181   10.712748756    0.790573708
    2.625987976   10.971691597   10.933893750    0.837539526
    2.646026052   11.197005929   11.154985853    0.888828688
    2.666064128   11.412687167   11.372953518    0.944086208
    2.686102204   11.613871908   11.583440759    1.002655947
    2.706140281   11.795149393   11.780391465    1.063647713
    2.726178357   11.950704724   11.956235504    1.126055324
    2.746216433   12.075136292   12.103081387    1.188875959
    2.766254509   12.164640487   12.214573288    1.251196012
    2.786292585   12.217862247   12.287309030    1.312247942
    2.806330661   12.235801521   12.320836620    1.371451697
    2.826368737   12.220739805   12.316312313    1.428412719
    2.846406814   12.174756043   12.274838840    1.482836622
    2.866444890   12.098595453   12.196487334    1.534398969
    2.886482966   11.991370199   12.080379527    1.582689295
    2.906521042   11.851150657   11.925630529    1.627323082
    2.926559118   11.676250873   11.732634265    1.668186642
    2.946597194   11.466751881   11.504064870    1.705639649
    2.966635271   11.225528592   11.245122108    1.740486144
    2.986673347   10.958267683   10.962999250    1.773682379
    3.006711423   10.672641539   10.665961281    1.805935173
    3.026749499   10.377139954   10.362410924    1.837402590
    3.046787575   10.079912645   10.060068239    1.867638364
    3.066825651    9.787855656    9.765301457    1.895798147
    3.086863727    9.506154602    9.482741869    1.921012158
    3.106901804    9.238317534    9.215318164    1.942766041
    3.126939880    8.986472220    8.964624632    1.961120402
    3.146977956    8.751675331    8.731319680    1.976650376
    3.167016032    8.534162344    8.515333480    1.990135509
    3.187054108    8.333589510    8.315976633    2.002199545
    3.207092184    8.149315221    8.132188393    2.013114153
    3.227130261    7.980707630    7.962960696    2.022821598
    3.247168337    7.827397567    7.807742633    2.031085741
    3.267206413    7.689366272    7.666641043    2.037674881
    3.287244489    7.566780066    7.540324037    2.042534069
    3.307282565    7.459580322    7.429590647    2.045905038
    3.327320641    7.366998484    7.334708060    2.048326625
    3.347358717    7.287272604    7.254806395    2.050495816
    3.367396794    7.217781525    7.187658383    2.053070455
    3.387434870    7.155600684    7.129994765    2.056525814
    3.407472946    7.098239504    7.078258927    2.061112374
    3.427511022    7.044202129    7.029511591    2.066892741
    3.447549098    6.993118664    6.982103555    2.073806806
    3.467587174    6.945446086    6.935812228    2.081714207
    3.487625251    6.901927891    6.891390712    2.090395219
    3.507663327    6.863010022    6.849757319    2.099536197
    3.527701403    6.828336806    6.811201165    2.108739375
    3.547739479    6.796471065    6.774966193    2.117571884
    3.567777555    6.765053398    6.739414920    2.125636096
    3.587815631    6.731475058    6.702669184    2.132633168
    3.607853707    6.693748545    6.663326628    2.138406134
    3.627891784    6.651038734    6.620826723    2.142963676
    3.647929860    6.603622052    6.575368237    2.146485429
    3.667967936    6.552542233    6.527654798    2.149306532
    3.688006012    6.499323521    6.478762246    2.151867630
