# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000186261    0.000186261    0.000028442
    0.021038076    0.003919103    0.003919105    0.000598390
    0.041076152    0.007654869    0.007654871    0.001168462
    0.061114228    0.011396349    0.011396352    0.001738777
    0.081152305    0.015146348    0.015146353    0.002309452
    0.101190381    0.018907693    0.018907699    0.002880607
    0.121228457    0.022683235    0.022683242    0.003452360
    0.141266533    0.026475864    0.026475872    0.004024831
    0.161304609    0.030288507    0.030288517    0.004598141
    0.181342685    0.034124145    0.034124155    0.005172408
    0.201380762    0.037985813    0.037985824    0.005747756
    0.221418838    0.041876612    0.041876624    0.006324304
    0.241456914    0.045799716    0.045799730    0.006902177
    0.261494990    0.049758383    0.049758398    0.007481497
    0.281533066    0.053755961    0.053755978    0.008062390
    0.301571142    0.057795901    0.057795919    0.008644982
    0.321609218    0.061881765    0.061881784    0.009229398
    0.341647295    0.066017239    0.066017259    0.009815767
    0.361685371    0.070206144    0.070206165    0.010404219
    0.381723447    0.074452447    0.074452470    0.010994886
    0.401761523    0.078760280    0.078760304    0.011587898
    0.421799599    0.083133949    0.083133974    0.012183392
    0.441837675    0.087577952    0.087577979    0.012781502
    0.461875752    0.092096999    0.092097027    0.013382367
    0.481913828    0.096696026    0.096696056    0.013986127
    0.501951904    0.101380219    0.101380250    0.014592924
    0.521989980    0.106155034    0.106155067    0.015202903
    0.542028056    0.111026224    0.111026258    0.015816209
    0.562066132    0.115999862    0.115999898    0.016432993
    0.582104208    0.121082375    0.121082412    0.017053406
    0.602142285    0.126280571    0.126280609    0.017677602
    0.622180361    0.131601678    0.131601718    0.018305740
    0.642218437    0.137053385    0.137053426    0.018937980
    0.662256513    0.142643880    0.142643923    0.019574485
    0.682294589    0.148381903    0.148381948    0.020215423
    0.702332665    0.154276800    0.154276847    0.020860964
    0.722370741    0.160338579    0.160338627    0.021511284
    0.742408818    0.166577982    0.166578032    0.022166559
    0.762446894    0.173006558    0.173006610    0.022826973
    0.782484970    0.179636748    0.179636803    0.023492712
    0.802523046    0.186481982    0.186482038    0.024163967
    0.822561122    0.193556783    0.193556842    0.024840935
    0.842599198    0.200876896    0.200876957    0.025523815
    0.862637275    0.208459418    0.208459482    0.026212814
    0.882675351    0.216322965    0.216323031    0.026908143
    0.902713427    0.224487847    0.224487915    0.027610019
    0.922751503    0.232976276    0.232976347    0.028318664
    0.942789579    0.241812607    0.241812680    0.029034309
    0.962827655    0.251023606    0.251023682    0.029757188
    0.982865731    0.260638778    0.260638857    0.030487544
    1.002903808    0.270690725    0.270690806    0.031225627
    1.022941884    0.281215583    0.281215667    0.031971694
    1.042979960    0.292253523    0.292253611    0.032726010
    1.063018036    0.303849342    0.303849433    0.033488849
    1.083056112    0.316053159    0.316053254    0.034260491
    1.103094188    0.328921242    0.328921340    0.035041230
    1.123132265    0.342516986    0.342517088    0.035831366
    1.143170341    0.356912085    0.356912191    0.036631208
    1.163208417    0.372187940    0.372188050    0.037441081
    1.183246493    0.388437350    0.388437464    0.038261315
    1.203284569    0.405766562    0.405766681    0.039092255
    1.223322645    0.424297767    0.424297891    0.039934259
    1.243360721    0.444172150    0.444172279    0.040787696
    1.263398798    0.465553626    0.465553760    0.041652951
    1.283436874    0.488633459    0.488633599    0.042530421
    1.303474950    0.513635966    0.513636111    0.043420520
    1.323513026    0.540825603    0.540825755    0.044323677
    1.343551102    0.570515782    0.570515941    0.045240340
    1.363589178    0.603079835    0.603080002    0.046170973
    1.383627255    0.638964642    0.638964816    0.047116061
