# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    4.820983325
    0.021038076  -12.436219910  -12.423496565    4.820088474
    0.041076152    4.157598767    4.161009716    4.817822378
    0.061114228    7.261607385    7.263165947    4.814789512
    0.081152305    8.246133537    8.247000066    4.811631272
    0.101190381    8.606975516    8.607498215    4.808847889
    0.121228457    8.732925034    8.733251736    4.806744287
    0.141266533    8.765773770    8.765983117    4.805443067
    0.161304609    8.767576101    8.767714833    4.804928483
    0.181342685    8.766524181    8.766620436    4.805103336
    0.201380762    8.773735140    8.773805309    4.805841068
    0.221418838    8.791631833    8.791685182    4.807020816
    0.241456914    8.818847279    8.818889063    4.808544430
    0.261494990    8.852931937    8.852965270    4.810341386
    0.281533066    8.891591726    8.891618590    4.812367493
    0.301571142    8.933090057    8.933111817    4.814600011
    0.321609218    8.976266186    8.976283839    4.817030054
    0.341647295    9.020422488    9.020436794    4.819654290
    0.361685371    9.065194113    9.065205662    4.822469021
    0.381723447    9.110440390    9.110449648    4.825467949
    0.401761523    9.156165174    9.156172508    4.828642298
    0.421799599    9.202462023    9.202467727    4.831981272
    0.441837675    9.249477696    9.249482000    4.835471937
    0.461875752    9.297388015    9.297391101    4.839098801
    0.481913828    9.346381480    9.346383492    4.842844054
    0.501951904    9.396647134    9.396648185    4.846689686
    0.521989980    9.448364044    9.448364223    4.850622095
    0.542028056    9.501690394    9.501689773    4.854637803
    0.562066132    9.556750787    9.556749426    4.858746210
    0.582104208    9.613621459    9.613619413    4.862964994
    0.602142285    9.672314964    9.672312292    4.867308897
    0.622180361    9.732768402    9.732765172    4.871779766
    0.642218437    9.794839837    9.794836138    4.876366683
    0.662256513    9.858310641    9.858306584    4.881057044
    0.682294589    9.922873157    9.922868864    4.885850340
    0.702332665    9.988064015    9.988059595    4.890764747
    0.722370741   10.053111276   10.053106796    4.895832801
    0.742408818   10.116714039   10.116709524    4.901089968
    0.762446894   10.176842993   10.176838502    4.906562982
    0.782484970   10.230703541   10.230699300    4.912263408
    0.802523046   10.275021247   10.275017795    4.918188753
    0.822561122   10.306752262   10.306750501    4.924328653
    0.842599198   10.324098913   10.324099993    4.930669535
    0.862637275   10.327343465   10.327348580    4.937193692
    0.882675351   10.318845216   10.318855435    4.943875863
    0.902713427   10.301975371   10.301991597    4.950682776
    0.922751503   10.279579065   10.279602071    4.957577620
    0.942789579   10.252977420   10.253007898    4.964528488
    0.962827655   10.222071976   10.222110575    4.971518368
    0.982865731   10.186208435   10.186255768    4.978552979
    1.002903808   10.145027744   10.145084305    4.985662511
    1.022941884   10.098852389   10.098918328    4.992896167
    1.042979960   10.048644823   10.048719590    5.000313799
    1.063018036    9.995811430    9.995893384    5.007980635
    1.083056112    9.942103923    9.942190158    5.015965584
    1.103094188    9.889624898    9.889711523    5.024338889
    1.123132265    9.840718421    9.840801395    5.033167529
    1.143170341    9.797608449    9.797684653    5.042511330
    1.163208417    9.761847555    9.761915602    5.052423249
    1.183246493    9.733769970    9.733830400    5.062953589
    1.203284569    9.712281096    9.712335909    5.074152537
    1.223322645    9.695226434    9.695278125    5.086065912
    1.243360721    9.680168441    9.680218838    5.098726549
    1.263398798    9.665127760    9.665177066    5.112146402
    1.283436874    9.648931404    9.648977878    5.126310214
    1.303474950    9.631058964    9.631099440    5.141169733
    1.323513026    9.611173869    9.611204778    5.156638148
    1.343551102    9.588759309    9.588777692    5.172583908
    1.363589178    9.563223263    9.563227459    5.188822315
    1.383627255    9.534386169    9.534376118    5.205104547
    1.403665331    9.502795290    9.502772343    5.221108994
    1.423703407    9.469474974    9.469441254    5.236445777
    1.443741483    9.435449686    9.435407363    5.250686603
    1.463779559    9.401710184    9.401661071    5.263426812
    1.483817635    9.369761031    9.369706514    5.274370283
    1.503855711    9.342165538    9.342106587    5.283398429
    1.523893788    9.322409003    9.322346134    5.290565401
    1.543931864    9.313984929    9.313918224    5.295996261
    1.563969940    9.319274479    9.319203802    5.299748264
    1.584008016    9.338930917    9.338856346    5.301734086
    1.604046092    9.372052624    9.371974859    5.301739939
    1.624084168    9.416913657    9.416834164    5.299491474
    1.644122244    9.471806167    9.471727025    5.294729831
    1.664160321    9.535620819    9.535544428    5.287314350
    1.684198397    9.607954281    9.607883053    5.277362372
    1.704236473    9.688711393    9.688647460    5.265365595
    1.724274549    9.777419539    9.777364425    5.252177095
    1.744312625    9.872638948    9.872593267    5.238817327
    1.764350701    9.971730509    9.971693827    5.226176048
    1.784388778   10.070980240   10.070951227    5.214769192
    1.804426854   10.165926788   10.165903605    5.204664746
    1.824464930   10.251795785   10.251776522    5.195585333
    1.844503006   10.324141759   10.324124804    5.187129188
    1.864541082   10.379791502   10.379775785    5.179022223
    1.884579158   10.417772396   10.417757509    5.171287107
    1.904617234   10.439605161   10.439591339    5.164238001
    1.924655311   10.448753556   10.448741541    5.158323124
    1.944693387   10.449715226   10.449706037    5.153956057
    1.964731463   10.447253062   10.447247734    5.151458453
    1.984769539   10.445744015   10.445743404    5.151083837
    2.004807615   10.448455651   10.448460416    5.153004788
    2.024845691   10.456809813   10.456820513    5.157235263
    2.044883768   10.469893749   10.469910860    5.163569494
    2.064921844   10.484617206   10.484640961    5.171599993
    2.084959920   10.496837588   10.496867720    5.180804218
    2.104997996   10.503115924   10.503151518    5.190666925
    2.125036072   10.502092606   10.502132155    5.200801255
    2.145074148   10.494778903   10.494820515    5.211001479
    2.165112224   10.484064509   10.484106134    5.221171887
    2.185150301   10.474185093   10.474224712    5.231190706
    2.205188377   10.470338043   10.470373803    5.240863944
    2.225226453   10.477983643   10.478013996    5.250039712
    2.245264529   10.501614359   10.501638253    5.258765221
    2.265302605   10.543622270   10.543639408    5.267302823
    2.285340681   10.604078760   10.604089821    5.275958503
    2.305378758   10.681417547   10.681424182    5.284863307
    2.325416834   10.773262758   10.773267256    5.293880762
    2.345454910   10.876803665   10.876808404    5.302690455
    2.365492986   10.988802769   10.988809688    5.310971568
    2.385531062   11.105637027   11.105647343    5.318566612
    2.405569138   11.223425771   11.223440050    5.325546187
    2.425607214   11.337906825   11.337925329    5.332174335
    2.445645291   11.443889916   11.443912930    5.338830019
    2.465683367   11.534616048   11.534643964    5.345943982
    2.485721443   11.601513458   11.601546572    5.353961625
    2.505759519   11.634510819   11.634548974    5.363289310
    2.525797595   11.622813549   11.622855808    5.374203015
    2.545835671   11.556251003   11.556295479    5.386785956
