# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000 -885.788125399 -881.261243355    4.609844532
    0.021038076    6.337585424    6.347764912    4.621626360
    0.041076152    7.829050228    7.831682466    4.621798053
    0.061114228    8.121765387    8.122927589    4.622052181
    0.081152305    8.228430735    8.229070117    4.622402154
    0.101190381    8.280753156    8.281149596    4.622849839
    0.121228457    8.311932236    8.312197265    4.623395848
    0.141266533    8.333476352    8.333663049    4.624040547
    0.161304609    8.350228094    8.350364878    4.624784255
    0.181342685    8.364514203    8.364617616    4.625627299
    0.201380762    8.377568069    8.377648352    4.626570034
    0.221418838    8.390096356    8.390160157    4.627612850
    0.241456914    8.402531238    8.402583032    4.628756179
    0.261494990    8.415152741    8.415195635    4.630000493
    0.281533066    8.428152275    8.428188476    4.631346314
    0.301571142    8.441667494    8.441698606    4.632794207
    0.321609218    8.455802304    8.455829510    4.634344787
    0.341647295    8.470638730    8.470662921    4.635998718
    0.361685371    8.486244093    8.486265947    4.637756712
    0.381723447    8.502675274    8.502695315    4.639619530
    0.401761523    8.519981008    8.519999649    4.641587981
    0.421799599    8.538202645    8.538220211    4.643662911
    0.441837675    8.557373476    8.557390231    4.645845201
    0.461875752    8.577516516    8.577532674    4.648135749
    0.481913828    8.598640481    8.598656221    4.650535445
    0.501951904    8.620733708    8.620749178    4.653045144
    0.521989980    8.643756159    8.643771486    4.655665625
    0.542028056    8.667630783    8.667646075    4.658397547
    0.562066132    8.692237792    8.692253144    4.661241432
    0.582104208    8.717418424    8.717433921    4.664197715
    0.602142285    8.742995813    8.743011534    4.667266891
    0.622180361    8.768814548    8.768830569    4.670449800
    0.642218437    8.794785548    8.794801941    4.673747926
    0.662256513    8.820910379    8.820927209    4.677163545
    0.682294589    8.847266434    8.847283742    4.680699563
    0.702332665    8.873958596    8.873976389    4.684359103
    0.722370741    8.901061313    8.901079561    4.688145007
    0.742408818    8.928576337    8.928594990    4.692059414
    0.762446894    8.956419992    8.956438982    4.696103478
    0.782484970    8.984443758    8.984462933    4.700277239
    0.802523046    9.012495858    9.012514863    4.704579669
