# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************   -0.896463091
    0.021038076  -21.543453522  -27.979060810    3.142995595
    0.041076152    5.940249899    3.469117074    3.149035263
    0.061114228    9.671709053    8.251159425    3.150057346
    0.081152305   10.290759850    9.352636922    3.150497187
    0.101190381   10.226490813    9.516389394    3.150895189
    0.121228457   10.005062777    9.381987103    3.151377707
    0.141266533    9.767438615    9.155295885    3.151982425
    0.161304609    9.550922034    8.915226727    3.152719518
    0.181342685    9.362088574    8.694269457    3.153589667
    0.201380762    9.199354166    8.505455882    3.154591498
    0.221418838    9.059387301    8.352196228    3.155724431
    0.241456914    8.937033028    8.231238456    3.156988747
    0.261494990    8.823423487    8.133909568    3.158384644
    0.281533066    8.705392508    8.048623210    3.159911708
    0.301571142    8.567223648    7.964614956    3.161569113
    0.321609218    8.394112750    7.874837380    3.163356090
    0.341647295    8.176552868    7.776603482    3.165272262
    0.361685371    7.914850140    7.670642247    3.167317775
    0.381723447    7.621957128    7.560053508    3.169493358
    0.401761523    7.322103038    7.449539014    3.171800384
    0.421799599    7.044421863    7.344315017    3.174240836
    0.441837675    6.814222654    7.248744694    3.176817076
    0.461875752    6.646401750    7.165694037    3.179531524
    0.481913828    6.543938246    7.097246625    3.182386488
    0.501951904    6.500969749    7.046070573    3.185384203
    0.521989980    6.507506432    7.015972503    3.188526964
    0.542028056    6.553011420    7.010843303    3.191817203
    0.562066132    6.627981204    7.032711382    3.195257462
    0.582104208    6.724244428    7.080484279    3.198850354
    0.602142285    6.834929198    7.150263241    3.202598522
    0.622180361    6.954473344    7.236736208    3.206504648
    0.642218437    7.078613453    7.334596867    3.210571466
    0.662256513    7.204256512    7.439375872    3.214801800
    0.682294589    7.329254995    7.547674178    3.219198569
    0.702332665    7.452159899    7.657049232    3.223764805
    0.722370741    7.571997844    7.765777790    3.228503653
    0.742408818    7.688073343    7.872613576    3.233418358
    0.762446894    7.799798397    7.976593486    3.238512247
    0.782484970    7.906590550    8.076921292    3.243788638
    0.802523046    8.007884178    8.172927443    3.249250587
    0.822561122    8.103245043    8.264070594    3.254900378
    0.842599198    8.192520539    8.349941879    3.260738783
    0.862637275    8.275930727    8.430247623    3.266764101
    0.882675351    8.354016811    8.504764223    3.272970941
    0.902713427    8.427437906    8.573294889    3.279348993
    0.922751503    8.496705073    8.635685197    3.285882435
    0.942789579    8.561960992    8.691903453    3.292550603
    0.962827655    8.622838506    8.742078748    3.299330135
    0.982865731    8.678371500    8.786361990    3.306198566
    1.002903808    8.726971075    8.824635938    3.313138978
    1.022941884    8.766561217    8.856308266    3.320144105
    1.042979960    8.794960040    8.880412470    3.327217297
    1.063018036    8.810449185    8.895965359    3.334368916
    1.083056112    8.812316594    8.902278519    3.341609898
    1.103094188    8.801144298    8.899014639    3.348945850
    1.123132265    8.778744537    8.886119599    3.356373291
    1.143170341    8.747819411    8.863922107    3.363877062
    1.163208417    8.711521634    8.833469421    3.371427976
    1.183246493    8.673052099    8.796813061    3.378981808
    1.203284569    8.635339707    8.756897866    3.386481772
    1.223322645    8.600843179    8.717037572    3.393865875
    1.243360721    8.571509654    8.680300471    3.401078780
    1.263398798    8.548836637    8.649129241    3.408084840
    1.283436874    8.533925277    8.625266879    3.414876298
    1.303474950    8.527470677    8.609842991    3.421472471
    1.323513026    8.529737150    8.603443036    3.427911564
    1.343551102    8.540616968    8.606118394    3.434240894
    1.363589178    8.559816306    8.617447662    3.440510469
    1.383627255    8.587068017    8.636736680    3.446770931
    1.403665331    8.622204370    8.663271476    3.453073388
