# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000    2.583975128    2.546446345    4.517120366
    0.021038076    7.907370965    7.907286995    4.517165891
    0.041076152    7.917096371    7.917074952    4.517294212
    0.061114228    7.920201668    7.920192443    4.517505355
    0.081152305    7.922731043    7.922726169    4.517799364
    0.101190381    7.925471907    7.925469067    4.518176300
    0.121228457    7.928624237    7.928622510    4.518636239
    0.141266533    7.932258961    7.932257907    4.519179278
    0.161304609    7.936407614    7.936407000    4.519805527
    0.181342685    7.941087109    7.941086798    4.520515118
    0.201380762    7.946308230    7.946308136    4.521308196
    0.221418838    7.952079018    7.952079086    4.522184925
    0.241456914    7.958406292    7.958406483    4.523145489
    0.261494990    7.965296390    7.965296678    4.524190086
    0.281533066    7.972755561    7.972755927    4.525318935
    0.301571142    7.980790189    7.980790619    4.526532271
    0.321609218    7.989406931    7.989407412    4.527830347
    0.341647295    7.998612799    7.998613325    4.529213437
    0.361685371    8.008415232    8.008415795    4.530681831
    0.381723447    8.018822135    8.018822731    4.532235838
    0.401761523    8.029841924    8.029842549    4.533875787
    0.421799599    8.041483561    8.041484210    4.535602026
    0.441837675    8.053756582    8.053757254    4.537414922
    0.461875752    8.066671135    8.066671827    4.539314861
    0.481913828    8.080238009    8.080238720    4.541302252
    0.501951904    8.094468671    8.094469399    4.543377520
    0.521989980    8.109375298    8.109376042    4.545541114
    0.542028056    8.124970817    8.124971575    4.547793502
    0.562066132    8.141268945    8.141269717    4.550135175
    0.582104208    8.158284232    8.158285017    4.552566644
    0.602142285    8.176032108    8.176032906    4.555088442
    0.622180361    8.194528934    8.194529744    4.557701126
    0.642218437    8.213792055    8.213792876    4.560405274
    0.662256513    8.233839861    8.233840695    4.563201488
    0.682294589    8.254691853    8.254692698    4.566090395
    0.702332665    8.276368708    8.276369564    4.569072644
    0.722370741    8.298892360    8.298893227    4.572148910
    0.742408818    8.322286081    8.322286959    4.575319893
    0.762446894    8.346574571    8.346575460    4.578586319
    0.782484970    8.371784061    8.371784961    4.581948941
    0.802523046    8.397942415    8.397943326    4.585408537
    0.822561122    8.425079253    8.425080175    4.588965915
    0.842599198    8.453226081    8.453227014    4.592621911
    0.862637275    8.482416430    8.482417374    4.596377387
    0.882675351    8.512686015    8.512686971    4.600233240
